seed,encoder_method,rank_k,rank_clipped,projection_symmetric,projection_idempotent,original_target_acc,projected_target_acc,target_delta_vs_original,source_env0_acc,source_env1_acc,source_mean_acc,scalar_logit_color_response,scalar_logit_color_suppression_ratio,probability_color_response,counterfactual_prediction_consistency,counterfactual_prediction_flip_rate,clean_oracle_coverage_acc,clean_oracle_delta_vs_rank0,red_green_color_probe_acc,ridge
14,ERM,2,2,True,True,0.1131,0.5317,0.41859999999999997,0.564,0.56924,0.5666199999999999,0.011784405418101168,0.0010111599803372129,0.0007178425272969685,0.8458,0.1542,0.91395,0.0003500000000000725,0.4117,0.001
14,ERM,4,4,True,True,0.1131,0.5023,0.3892,0.49436,0.49048,0.49242,0.0006010130465902719,5.156987720730931e-05,3.742402128477556e-05,0.9912,0.00880000000000003,0.913,-0.0005999999999999339,0.4205,0.001
14,ERM,8,8,True,True,0.1131,0.4965,0.38339999999999996,0.49448,0.49148,0.49298,4.026378909981148e-05,3.4548312579207927e-06,2.5105762550093903e-06,1.0,0.0,0.9078,-0.005799999999999916,0.4361,0.001
14,ERM,16,16,True,True,0.1131,0.4965,0.38339999999999996,0.49448,0.49148,0.49298,1.6011135803126302e-05,1.3738342486925674e-06,9.983027797283355e-07,1.0,0.0,0.9027,-0.01090000000000002,0.46585,0.001
14,ERM,32,32,True,True,0.1131,0.4965,0.38339999999999996,0.49448,0.49148,0.49298,4.195734084222055e-07,3.6001463320206735e-08,2.6172406636142772e-08,1.0,0.0,0.87135,-0.04225000000000001,0.4834,0.001
14,ERM,64,64,True,True,0.1131,0.4965,0.38339999999999996,0.49448,0.49148,0.49298,1.0771224137169556e-30,9.24224040189465e-32,6.181249045351501e-32,1.0,0.0,0.486,-0.4276,0.5,0.001
14,IRMv1,0,0,True,True,0.6667,0.6667,0.0,0.60936,0.59904,0.6042000000000001,0.2318038925255299,1.0,0.01107542717979015,0.8585,0.14149999999999996,0.81905,0.0,1.0,0.001
14,IRMv1,1,1,True,True,0.6667,0.6816,0.014900000000000024,0.5984,0.58548,0.59194,0.22242617748933707,0.9595446179353524,0.011073630369661004,0.8434,0.15659999999999996,0.819,-4.999999999999449e-05,0.4325,0.001
14,IRMv1,2,2,True,True,0.6667,0.6732,0.006500000000000061,0.6,0.59192,0.59596,0.12452866462475681,0.5372155888669633,0.005670459838831343,0.8562,0.14380000000000004,0.819,-4.999999999999449e-05,0.42915,0.001
14,IRMv1,4,4,True,True,0.6667,0.6624,-0.0042999999999999705,0.60036,0.59296,0.59666,0.014878440238763207,0.06418546330978699,0.0009184927558571697,0.7468,0.2532,0.80875,-0.010299999999999976,0.4271,0.001
14,IRMv1,8,8,True,True,0.6667,0.5609,-0.1058,0.55288,0.55492,0.5539000000000001,0.005914499431737588,0.025515099713375993,0.00036717255101587635,0.8173,0.18269999999999997,0.8025,-0.016549999999999954,0.45785,0.001
14,IRMv1,16,16,True,True,0.6667,0.4562,-0.21049999999999996,0.49736,0.502,0.49968,0.0009963706438697293,0.004298334393845407,6.222923136295694e-05,0.682,0.31799999999999995,0.7959,-0.023149999999999893,0.46375,0.001
14,IRMv1,32,32,True,True,0.6667,0.4943,-0.17239999999999994,0.50304,0.50284,0.5029399999999999,0.00019563880097368908,0.0008439841058844266,1.2223173054795084e-05,0.8951,0.1049,0.76345,-0.05559999999999998,0.48605,0.001
14,IRMv1,64,64,True,True,0.6667,0.4965,-0.17019999999999996,0.49448,0.49148,0.49298,1.2367625999550554e-31,5.3353832262279355e-31,5.5528412156572786e-33,1.0,0.0,0.486,-0.33304999999999996,0.5,0.001
