method,lambda,seed,initial_regularizer,final_regularizer,final_to_initial_ratio
hess_align,1.0,0,0.0217921808362007,0.0003664979012683,0.016817862517893648
hess_align,1.0,1,0.0687786117196083,0.0007530077127739,0.010948283106435874
hess_align,1.0,2,0.0227152872830629,0.0002351781004108,0.010353296327718243
hess_align,1.0,3,0.1053854376077652,0.0008301448542624,0.007877225479217745
hess_align,1.0,4,0.1064370796084404,0.000706264632754,0.00663551306886847
irmv1,0.03,0,0.018340291455388,0.0015433512162417,0.08415085550825831
irmv1,0.03,1,0.0359418094158172,0.0004824437783099,0.013422912929296964
irmv1,0.03,2,0.0185274817049503,0.0030363027472049,0.1638810279539307
irmv1,0.03,3,0.0034457077272236,0.0040004262700676,1.1609882749083213
irmv1,0.03,4,0.0164099466055631,0.0043045114725828,0.26231111995961864
irmv1,0.1,0,0.018340291455388,0.0014434912009164,0.07870601208424809
irmv1,0.1,1,0.0359418094158172,0.0004652746720239,0.0129452211668326
irmv1,0.1,2,0.0185274817049503,0.0029204513411968,0.1576280785324696
irmv1,0.1,3,0.0034457077272236,0.0035016874317079,1.0162462138161108
irmv1,0.1,4,0.0164099466055631,0.0040050758980214,0.24406392015094355
irmv1,0.3,0,0.018340291455388,0.0012149363756179,0.06624411496257748
irmv1,0.3,1,0.0359418094158172,0.0004233128856867,0.011777728850245623
irmv1,0.3,2,0.0185274817049503,0.0026430510915815,0.14265571185938947
irmv1,0.3,3,0.0034457077272236,0.0026953571941703,0.7822361638147703
irmv1,0.3,4,0.0164099466055631,0.0033253792207688,0.20264412192794523
irmv1,1.0,0,0.018340291455388,0.0007604109123349,0.041461222913745294
irmv1,1.0,1,0.0359418094158172,0.0003215849865227,0.008947378881297431
irmv1,1.0,2,0.0185274817049503,0.0019973905291408,0.10780690872883839
irmv1,1.0,3,0.0034457077272236,0.0017088650492951,0.49594022029025325
irmv1,1.0,4,0.0164099466055631,0.0019926754757761,0.12143095426651586
l1,0.03,0,0.2921362519264221,0.2446323186159134,0.8373911727926422
l1,0.03,1,0.3313604891300201,0.2400683015584945,0.7244928391697777
l1,0.03,2,0.2619485557079315,0.246506467461586,0.9410491567528885
l1,0.03,3,0.3386314809322357,0.2370744496583938,0.7000957176389495
l1,0.03,4,0.4050531387329101,0.2076390385627746,0.5126217246762053
l1,0.1,0,0.2921362519264221,0.1954273283481598,0.66895952508277
l1,0.1,1,0.3313604891300201,0.1941513270139694,0.5859217781930174
l1,0.1,2,0.2619485557079315,0.1970001608133316,0.7520566787662829
l1,0.1,3,0.3386314809322357,0.1939739882946014,0.5728173522455757
l1,0.1,4,0.4050531387329101,0.1973883360624313,0.48731466858867656
l1,0.3,0,0.2921362519264221,0.1874977797269821,0.6418162021679034
l1,0.3,1,0.3313604891300201,0.1865194141864776,0.5628897237452188
l1,0.3,2,0.2619485557079315,0.1862499862909317,0.7110174201479373
l1,0.3,3,0.3386314809322357,0.1381004601716995,0.40781931966725526
l1,0.3,4,0.4050531387329101,0.1890055239200592,0.46661908240313243
l1,1.0,0,0.2921362519264221,0.1210127994418144,0.4142341070093994
l1,1.0,1,0.3313604891300201,0.0021817481610924,0.0065842133647874964
l1,1.0,2,0.2619485557079315,0.1208228394389152,0.46124644250236196
l1,1.0,3,0.3386314809322357,0.1187145486474037,0.35057150717525853
l1,1.0,4,0.4050531387329101,0.1254028528928756,0.3095960527183214
l2,0.03,0,0.1426108181476593,0.1178502589464187,0.8263767116488772
l2,0.03,1,0.1630308926105499,0.1159940436482429,0.7114850553221886
l2,0.03,2,0.1335953474044799,0.1135133355855941,0.8496803054219807
l2,0.03,3,0.1616779118776321,0.1141144633293151,0.7058135647848051
l2,0.03,4,0.2176396995782852,0.1176423355937004,0.5405371162598226
l2,0.1,0,0.1426108181476593,0.1122619956731796,0.7871913023943491
l2,0.1,1,0.1630308926105499,0.1102779060602188,0.6764233716345524
l2,0.1,2,0.1335953474044799,0.1074357479810714,0.8041877959701217
l2,0.1,3,0.1616779118776321,0.1074257120490074,0.6644427231984159
l2,0.1,4,0.2176396995782852,0.1139748468995094,0.5236859227445889
l2,0.3,0,0.1426108181476593,0.0964997038245201,0.6766646813890673
l2,0.3,1,0.1630308926105499,0.0949502065777778,0.5824062241049981
l2,0.3,2,0.1335953474044799,0.0906679034233093,0.6786756064849973
l2,0.3,3,0.1616779118776321,0.0915765613317489,0.566413558093574
l2,0.3,4,0.2176396995782852,0.1042348966002464,0.478933286538346
l2,1.0,0,0.1426108181476593,0.0567924454808235,0.398233782110559
l2,1.0,1,0.1630308926105499,0.0567488372325897,0.3480864045083283
l2,1.0,2,0.1335953474044799,0.0546543821692466,0.40910393386509397
l2,1.0,3,0.1616779118776321,0.0576677396893501,0.3566828580331779
l2,1.0,4,0.2176396995782852,0.071169726550579,0.3270070979167989
mmd,0.03,0,0.0623686946928501,0.0195004604756832,0.3126642391943264
mmd,0.03,1,0.2951195836067199,0.0182737428694963,0.06191979077148645
mmd,0.03,2,0.2614609003067016,0.0155147444456815,0.05933867904333777
mmd,0.03,3,0.1126889884471893,0.0204851701855659,0.1817850214811902
