method,lambda,source_mse_mean,source_mse_std,cross_domain_mse_mean,cross_domain_mse_std,cross_task_mse_mean,cross_task_mse_std,joint_mse_mean,joint_mse_std,core_probe_r2_mean,core_probe_r2_std,spurious_probe_r2_mean,spurious_probe_r2_std,domain_probe_accuracy_mean,domain_probe_accuracy_std,latent_mean_gap_mean,latent_mean_gap_std,latent_covariance_gap_mean,latent_covariance_gap_std,effective_rank_mean,effective_rank_std,latent_variance_mean,latent_variance_std,own_regularizer_mean,own_regularizer_std
hess_align,0.1,0.2662781119346619,0.00792182985552611,1.1855517387390138,0.05371131096232164,0.3120224416255951,0.020248613218879528,0.8029682159423828,0.1509570460215919,0.8937745928764343,0.025964643267890317,0.812388801574707,0.04332452441505697,0.6802734375,0.15903448491433478,0.13746935036033386,0.08740896946248454,0.08025564849376673,0.04422883598432685,1.976583433151245,0.48101709875845233,0.9347485542297364,0.25232507267204274,0.00315259234048424,0.0014863706674214717
hess_align,0.3,0.2663660287857056,0.007976182704824733,1.1895370006561279,0.054155631292531016,0.2975648880004883,0.014716595196830173,0.9002642869949341,0.15757585846969133,0.9115933895111084,0.03326348200385149,0.8486271381378174,0.05098088846092234,0.6615234375,0.15163369620371936,0.11689589992165564,0.05044927549276917,0.05251099281013007,0.028620689783160073,1.9470444202423096,0.43027389234112756,0.6325023651123047,0.16442537726247325,0.00139097828650842,0.0006191278594583173
hess_align,1.0,0.2665644645690918,0.008042993130386767,1.1939095497131347,0.05634173854550335,0.30802366733551023,0.015701729297868096,0.8205288529396058,0.17776454246552692,0.8958465695381165,0.03705944178025571,0.8216776371002197,0.05378270909086352,0.6607421875,0.16257177381744617,0.13426741659641264,0.08266621688751923,0.03638560324907299,0.016364078679375404,2.0152879476547243,0.31130396485145556,0.5019456923007966,0.24787834392926072,0.0005782186402938799,0.0002612069565808154
irmv1,0.03,0.26604793667793275,0.007764491047177307,1.168338990211487,0.04391853825358026,0.3079369187355041,0.018417340395546638,0.762703800201416,0.04838659923959425,0.8985214591026306,0.019204164042963972,0.8045378684997558,0.037107623831120026,0.66884765625,0.11652614895987276,0.6308638393878937,0.5215058202792642,0.3098548769950866,0.048348013682734746,2.4176371097564697,0.2268357743197138,4.583309936523437,0.7656681402769293,0.0026734070968813797,0.0016302240014913567
irmv1,0.1,0.2658886313438415,0.007827756947237977,1.152013397216797,0.039429415700765545,0.3103298366069794,0.018486299533121416,0.7500062704086303,0.05078082245840779,0.8983866810798645,0.018685875744401354,0.7971970319747925,0.03551680398092695,0.65791015625,0.12437214527016893,0.6097756415605545,0.536134866425275,0.3044713199138641,0.05122029296751029,2.450010299682617,0.2285436901428535,4.543591117858886,0.7397773263561821,0.00246719610877328,0.001474478554134573
irmv1,0.3,0.2659141838550568,0.007948402143840615,1.1179798126220704,0.04469960562516163,0.3110899984836578,0.01768333209890854,0.7428016901016236,0.06130166282521298,0.9018423318862915,0.02139055155002029,0.7904052257537841,0.04158800658661764,0.6697265625,0.11374469535112404,0.6514516323804855,0.4800563963206835,0.3697782516479492,0.11542521897461622,2.404809045791626,0.21701417353741878,5.209848499298095,1.1982767075812302,0.00206040735356504,0.0011976736118054206
irmv1,1.0,0.267564707994461,0.008011953429670999,1.054419755935669,0.06568544139693093,0.3190352976322174,0.025228086512784673,0.7456514716148377,0.08622623516787246,0.9085748791694641,0.016353116947285716,0.7744962573051453,0.047126231673730874,0.684765625,0.09036673214397735,0.6512735724449158,0.3601512047760929,0.41366429924964904,0.09273395550480003,2.2807765007019043,0.23808211134641621,5.738483238220215,1.1221948660869583,0.00135618539061392,0.0007690890431128346
l1,0.03,0.2659147262573242,0.007463820125032493,1.1821964263916016,0.04733866114295821,0.27535498142242426,0.022158041564971902,1.0440064907073974,0.22390569818373218,0.9722551941871643,0.0552068261433121,0.94913649559021,0.10030888783317347,0.53779296875,0.05371826121943952,0.06082803765311832,0.05388814469764596,0.1720672383904457,0.05944261562666256,1.8394148826599122,0.14535024632389912,1.91416757106781,0.12308833854198781,0.23518411517143245,0.015840013385597516
l1,0.1,0.26693220734596246,0.0077377378976533,1.1929102659225463,0.05381117107585192,0.28466386198997495,0.012380013954972178,0.8959366202354431,0.12474158481645675,0.9094797849655152,0.04791636777927022,0.8488781332969666,0.07590068589538126,0.65859375,0.14504723075634862,0.04223731709644194,0.03931536970756104,0.1420232757925987,0.04749319842633359,1.566820240020752,0.07720775201063274,1.4371190547943116,0.0851947937372041,0.1955882281064987,0.0015756178370639222
l1,0.3,0.2830331623554229,0.025165712426510365,1.2847814798355102,0.1777768728271889,0.3127774357795715,0.06877188153533403,1.0076291799545287,0.2073408884715145,0.8806787133216858,0.07527368729204964,0.8738833069801331,0.06811240260770832,0.7361328125,0.1482677894970575,0.03311183229088776,0.03097100407735492,0.12212449237704275,0.042216430277853205,1.4472023248672485,0.25465558449893727,1.2252597093582154,0.08495265746181463,0.17747463285923,0.02203727123378549
