method,lambda,metric,mean_paired_delta_vs_erm,std_paired_delta,positive_seed_count,negative_seed_count,zero_seed_count,n_seeds,exact_two_sided_sign_flip_p,bh_q_across_all_reported_tests,interpretation
grad_align,0.1,spurious_probe_r2,-0.04336589574813843,0.010921749817113913,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.1,domain_probe_accuracy,0.05732421875,0.17191543103561596,3,2,0,5,0.4375,0.5884279475982532,exploratory_only
grad_align,0.1,latent_mean_gap,0.09081264138221741,0.6550746365651061,3,2,0,5,0.75,0.84,exploratory_only
grad_align,0.1,latent_covariance_gap,-0.1546788588166237,0.04128232218765059,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.1,effective_rank,-0.2383238077163697,0.49643752672592784,1,4,0,5,0.375,0.525,exploratory_only
grad_align,0.1,latent_variance,-2.200714945793152,0.7928770257874102,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.3,source_mse,0.0010058999061584363,0.001728723248601245,4,1,0,5,0.3125,0.4605263157894737,exploratory_only
grad_align,0.3,cross_domain_mse,-0.08423732519149787,0.02633309118951368,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.3,cross_task_mse,0.019693678617477416,0.023003699579847946,4,1,0,5,0.1875,0.3071808510638298,exploratory_only
grad_align,0.3,joint_mse,-0.07769657373428344,0.04568893449585176,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.3,core_probe_r2,0.000811159610748291,0.016939398338742178,3,2,0,5,0.9375,0.9625,exploratory_only
grad_align,0.3,spurious_probe_r2,-0.053581607341766355,0.013708099892311755,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.3,domain_probe_accuracy,0.09345703125,0.16331040701563332,4,1,0,5,0.375,0.525,exploratory_only
grad_align,0.3,latent_mean_gap,0.10531408786773681,0.6706506176836089,3,2,0,5,0.75,0.84,exploratory_only
grad_align,0.3,latent_covariance_gap,-0.1786021642386913,0.05809199086435582,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.3,effective_rank,-0.3534863948822022,0.5321159249288694,1,4,0,5,0.1875,0.3071808510638298,exploratory_only
grad_align,0.3,latent_variance,-2.4431916236877442,0.8799154098866258,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,1.0,source_mse,0.002701413631439198,0.0021397535303906492,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,1.0,cross_domain_mse,-0.12211012840270999,0.02686670915563382,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,1.0,cross_task_mse,0.037814486026763926,0.04768229099385976,4,1,0,5,0.125,0.22647058823529412,exploratory_only
grad_align,1.0,joint_mse,-0.09398819208145141,0.07555463041264775,1,4,0,5,0.125,0.22647058823529412,exploratory_only
grad_align,1.0,core_probe_r2,0.002364921569824241,0.021942685863468894,3,2,0,5,0.9375,0.9625,exploratory_only
grad_align,1.0,spurious_probe_r2,-0.06987407207489013,0.018332504973258463,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,1.0,domain_probe_accuracy,0.106640625,0.1820518514738618,4,1,0,5,0.3125,0.4605263157894737,exploratory_only
grad_align,1.0,latent_mean_gap,0.23345675468444824,0.6393961249884055,4,1,0,5,0.4375,0.5884279475982532,exploratory_only
grad_align,1.0,latent_covariance_gap,-0.17842333316802977,0.07437170239016591,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,1.0,effective_rank,-0.3366286516189575,0.3306616652728687,1,4,0,5,0.1875,0.3071808510638298,exploratory_only
grad_align,1.0,latent_variance,-2.3452761650085447,0.7257839599732022,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.03,source_mse,6.444454193116345e-05,0.0003022459505575399,3,2,0,5,0.6875,0.7871747211895911,exploratory_only
hess_align,0.03,cross_domain_mse,0.0061600685119628466,0.005698893485273014,4,1,0,5,0.125,0.22647058823529412,exploratory_only
hess_align,0.03,cross_task_mse,-0.011018335819244385,0.024451341045818174,3,2,0,5,0.5,0.6390041493775933,exploratory_only
hess_align,0.03,joint_mse,0.11885327100753784,0.11919346524414752,4,1,0,5,0.125,0.22647058823529412,exploratory_only
hess_align,0.03,core_probe_r2,0.013770735263824418,0.025662743962467153,3,2,0,5,0.375,0.525,exploratory_only
hess_align,0.03,spurious_probe_r2,0.03918067216873167,0.04999904279488519,4,1,0,5,0.1875,0.3071808510638298,exploratory_only
hess_align,0.03,domain_probe_accuracy,-0.006640625,0.06940690827519116,1,4,0,5,0.8125,0.8811619718309859,exploratory_only
hess_align,0.03,latent_mean_gap,-0.41644121780991555,0.4274023964669378,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.03,latent_covariance_gap,-0.19509132280945776,0.03930180460166528,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.03,effective_rank,-0.30781195163726804,0.2777829925272916,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.03,latent_variance,-3.1807652831077577,0.7098294420450054,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.1,source_mse,0.0001146554946899414,0.00047309201041171884,3,2,0,5,0.625,0.7432432432432432,exploratory_only
hess_align,0.1,cross_domain_mse,0.008990120887756303,0.007882906392033236,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.1,cross_task_mse,0.00523677468299868,0.02115014720633415,4,1,0,5,0.625,0.7432432432432432,exploratory_only
hess_align,0.1,joint_mse,0.03498851060867307,0.15207454150388247,2,3,0,5,0.8125,0.8811619718309859,exploratory_only
hess_align,0.1,core_probe_r2,-0.004654288291931152,0.023916598697834517,1,4,0,5,0.6875,0.7871747211895911,exploratory_only
hess_align,0.1,spurious_probe_r2,0.0046294212341308595,0.05452901845421806,2,3,0,5,0.875,0.9357638888888888,exploratory_only
hess_align,0.1,domain_probe_accuracy,0.009375,0.10016396907870176,2,3,0,5,0.9375,0.9625,exploratory_only
hess_align,0.1,latent_mean_gap,-0.5019010910764337,0.45174762862294915,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.1,latent_covariance_gap,-0.2392442435026169,0.03260310660603222,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.1,effective_rank,-0.43516535758972175,0.2779486115715874,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.1,latent_variance,-3.732182502746582,0.7559392903234949,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.3,source_mse,0.00020257234573364257,0.0006015894329401013,4,1,0,5,0.5625,0.6957831325301205,exploratory_only
hess_align,0.3,cross_domain_mse,0.012975382804870561,0.010282107300487318,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.3,cross_task_mse,-0.009220778942108154,0.026528728351724186,2,3,0,5,0.625,0.7432432432432432,exploratory_only
hess_align,0.3,joint_mse,0.13228458166122434,0.19003697782555765,3,2,0,5,0.25,0.3888888888888889,exploratory_only
hess_align,0.3,core_probe_r2,0.013164508342742898,0.04592161591377948,3,2,0,5,0.5625,0.6957831325301205,exploratory_only
hess_align,0.3,spurious_probe_r2,0.04086775779724121,0.0848272616301984,3,2,0,5,0.4375,0.5884279475982532,exploratory_only
hess_align,0.3,domain_probe_accuracy,-0.009375,0.12988345497373993,3,2,0,5,1.0,1.0,exploratory_only
hess_align,0.3,latent_mean_gap,-0.522474541515112,0.47908173165596835,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.3,latent_covariance_gap,-0.26698889918625357,0.03419968355535165,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.3,effective_rank,-0.4647043704986572,0.28811068754176306,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,0.3,latent_variance,-4.034428691864013,0.7416847908275724,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,1.0,source_mse,0.00040100812911986194,0.0008729014151230885,4,1,0,5,0.4375,0.5884279475982532,exploratory_only
hess_align,1.0,cross_domain_mse,0.01734793186187744,0.015140477626939828,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,1.0,cross_task_mse,0.0012380003929138073,0.02806789001666876,4,1,0,5,0.9375,0.9625,exploratory_only
hess_align,1.0,joint_mse,0.05254914760589604,0.2075127087888137,3,2,0,5,0.8125,0.8811619718309859,exploratory_only
hess_align,1.0,core_probe_r2,-0.0025823116302490677,0.04674887887223505,3,2,0,5,0.875,0.9357638888888888,exploratory_only
hess_align,1.0,spurious_probe_r2,0.013918256759643578,0.08651344245853342,2,3,0,5,0.8125,0.8811619718309859,exploratory_only
hess_align,1.0,domain_probe_accuracy,-0.01015625,0.12862499650041373,2,3,0,5,0.9375,0.9625,exploratory_only
hess_align,1.0,latent_mean_gap,-0.505103024840355,0.4917506287238625,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,1.0,latent_covariance_gap,-0.28311428874731065,0.04557671361591795,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,1.0,effective_rank,-0.39646084308624263,0.2304777940554244,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
hess_align,1.0,latent_variance,-4.1649853646755215,0.5923204875393723,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
irmv1,0.03,source_mse,-0.00011551976203917347,0.000235723747466773,2,3,0,5,0.375,0.525,exploratory_only
irmv1,0.03,cross_domain_mse,-0.008222627639770552,0.008741161728091772,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
irmv1,0.03,cross_task_mse,0.0011512517929077037,0.001733610576342733,4,1,0,5,0.1875,0.3071808510638298,exploratory_only
irmv1,0.03,joint_mse,-0.005275905132293701,0.007201965831710045,1,4,0,5,0.25,0.3888888888888889,exploratory_only
irmv1,0.03,core_probe_r2,9.257793426515892e-05,0.0011366398050053964,2,3,0,5,1.0,1.0,exploratory_only
irmv1,0.03,spurious_probe_r2,-0.0032215118408203125,0.002813933035359864,1,4,0,5,0.125,0.22647058823529412,exploratory_only
irmv1,0.03,domain_probe_accuracy,-0.00205078125,0.005008156798811753,3,2,0,5,0.625,0.7432432432432432,exploratory_only
irmv1,0.03,latent_mean_gap,-0.008506602048873897,0.01325830595301036,1,4,0,5,0.1875,0.3071808510638298,exploratory_only
irmv1,0.03,latent_covariance_gap,-0.00964501500129698,0.01293310989429379,1,4,0,5,0.125,0.22647058823529412,exploratory_only
irmv1,0.03,effective_rank,0.00588831901550293,0.021046300509165203,3,2,0,5,0.625,0.7432432432432432,exploratory_only
irmv1,0.03,latent_variance,-0.08362112045288095,0.11406287528354848,1,4,0,5,0.125,0.22647058823529412,exploratory_only
irmv1,0.1,source_mse,-0.0002748250961303822,0.0006096238620244692,2,3,0,5,0.4375,0.5884279475982532,exploratory_only
irmv1,0.1,cross_domain_mse,-0.024548220634460494,0.024421245540448343,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
irmv1,0.1,cross_task_mse,0.0035441696643829347,0.004553944045428312,4,1,0,5,0.1875,0.3071808510638298,exploratory_only
irmv1,0.1,joint_mse,-0.017973434925079346,0.018902127374256464,1,4,0,5,0.125,0.22647058823529412,exploratory_only
irmv1,0.1,core_probe_r2,-4.220008850099877e-05,0.002136461893616203,3,2,0,5,1.0,1.0,exploratory_only
irmv1,0.1,spurious_probe_r2,-0.01056234836578369,0.007375753223918659,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
irmv1,0.1,domain_probe_accuracy,-0.01298828125,0.019745528668657752,2,2,1,5,0.5,0.6390041493775933,exploratory_only
irmv1,0.1,latent_mean_gap,-0.029594799876213072,0.06789170331966128,1,4,0,5,0.3125,0.4605263157894737,exploratory_only
irmv1,0.1,latent_covariance_gap,-0.015028572082519514,0.014663039394890045,1,4,0,5,0.125,0.22647058823529412,exploratory_only
irmv1,0.1,effective_rank,0.03826150894165039,0.037290383244573067,4,1,0,5,0.125,0.22647058823529412,exploratory_only
irmv1,0.1,latent_variance,-0.12333993911743164,0.1245815524212025,1,4,0,5,0.125,0.22647058823529412,exploratory_only
irmv1,0.3,source_mse,-0.00024927258491513893,0.001043036633072318,2,3,0,5,0.6875,0.7871747211895911,exploratory_only
irmv1,0.3,cross_domain_mse,-0.0585818052291871,0.05098961459708162,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
irmv1,0.3,cross_task_mse,0.0043043315410614125,0.007008826342896865,3,2,0,5,0.25,0.3888888888888889,exploratory_only
irmv1,0.3,joint_mse,-0.02517801523208618,0.02510973697664252,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
irmv1,0.3,core_probe_r2,0.0034134507179260252,0.0035524025828795815,4,1,0,5,0.125,0.22647058823529412,exploratory_only
irmv1,0.3,spurious_probe_r2,-0.017354154586791994,0.01029887736357304,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
irmv1,0.3,domain_probe_accuracy,-0.001171875,0.016222405111829277,2,3,0,5,0.9375,0.9625,exploratory_only
irmv1,0.3,latent_mean_gap,0.012081190943717957,0.07545638188732862,3,2,0,5,0.8125,0.8811619718309859,exploratory_only
irmv1,0.3,latent_covariance_gap,0.050278359651565574,0.08684247359342571,3,2,0,5,0.4375,0.5884279475982532,exploratory_only
irmv1,0.3,effective_rank,-0.006939744949340821,0.14750391296243287,2,3,0,5,0.875,0.9357638888888888,exploratory_only
irmv1,0.3,latent_variance,0.5429174423217773,0.9894453154216557,3,2,0,5,0.375,0.525,exploratory_only
irmv1,1.0,source_mse,0.0014012515544891246,0.002050672849303576,4,1,0,5,0.1875,0.3071808510638298,exploratory_only
irmv1,1.0,cross_domain_mse,-0.12214186191558837,0.08353891226267822,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
irmv1,1.0,cross_task_mse,0.012249630689620983,0.020367676498479686,3,2,0,5,0.3125,0.4605263157894737,exploratory_only
irmv1,1.0,joint_mse,-0.02232823371887207,0.06561167019258192,3,2,0,5,0.5,0.6390041493775933,exploratory_only
irmv1,1.0,core_probe_r2,0.010145998001098677,0.007841354475579008,4,1,0,5,0.125,0.22647058823529412,exploratory_only
irmv1,1.0,spurious_probe_r2,-0.03326312303543091,0.033600999000016334,1,4,0,5,0.125,0.22647058823529412,exploratory_only
irmv1,1.0,domain_probe_accuracy,0.0138671875,0.05329383500106831,2,3,0,5,0.6875,0.7871747211895911,exploratory_only
