lambda,method,seed,setting,task1_E_norm,task1_pi_error,task2_E_operator_norm,task2_information_floor,task2_slack_ratio,task2_total_excess,task2_total_regret
0.01,IRMV1,3,declared_source_target_coupled_correlation,9.01112469576757,8.106875181227101e-11,9.010719007291044,0.0,inf,40.61835258923403,40.61835258923403
0.1,IRMV1,3,declared_source_target_coupled_correlation,9.065516534095224,1.6578989155539998e-10,9.02363295746587,0.0,inf,40.89421205654908,40.89421205654908
0.001,VREX,3,declared_source_target_coupled_correlation,9.012270222464348,7.908100227547267e-11,9.012270176714647,0.0,inf,40.61064833617111,40.61064833617111
0.01,VREX,3,declared_source_target_coupled_correlation,9.010726145192896,8.93676447418177e-11,9.01072158713827,0.0,inf,40.597963703119596,40.597963703119596
0.1,VREX,3,declared_source_target_coupled_correlation,8.996145956595557,7.295060764198034e-11,8.995706593340822,0.0,inf,40.4752227117983,40.4752227117983
0.0,L2,3,mechanism_defined_hidden,9.012442787932994,9.540913557188113e-11,9.012442787932994,16.68049513761949,inf,39.40190452274888,56.08239966036837
0.001,L2,3,mechanism_defined_hidden,9.036595255575984,1.1428567459060648e-10,9.036595255575985,16.68049513761949,inf,39.65979552810674,56.34029066572623
0.01,L2,3,mechanism_defined_hidden,9.168428934501613,3.562396176303723e-11,9.168428934501613,16.68049513761949,inf,41.176059788147526,57.856554925767014
0.1,L2,3,mechanism_defined_hidden,9.216475406474416,1.4843957119808288e-11,9.216475406474418,16.68049513761949,inf,42.69307696076437,59.37357209838387
0.001,IRMV1,3,mechanism_defined_hidden,9.012060166140676,9.114432373674231e-11,9.012056438831218,16.68049513761949,inf,39.40153932068654,56.08203445830603
0.01,IRMV1,3,mechanism_defined_hidden,9.01112469576757,8.106875181227101e-11,9.010719007291044,16.68049513761949,inf,39.41405616258794,56.09455130020743
0.1,IRMV1,3,mechanism_defined_hidden,9.065516534095224,1.6578989155539998e-10,9.02363295746587,16.68049513761949,inf,39.726210174887626,56.40670531250712
0.001,VREX,3,mechanism_defined_hidden,9.012270222464348,7.908100227547267e-11,9.012270176714647,16.68049513761949,inf,39.40082455733783,56.08131969495732
0.01,VREX,3,mechanism_defined_hidden,9.010726145192896,8.93676447418177e-11,9.01072158713827,16.68049513761949,inf,39.39113695876611,56.0716320963856
0.1,VREX,3,mechanism_defined_hidden,8.996145956595557,7.295060764198034e-11,8.995706593340822,16.68049513761949,inf,39.297336268626594,55.97783140624608
0.0,L2,3,mechanism_defined_exposed,11.236073768181162,9.540913557188113e-11,11.23607376818116,5.56016504587316,inf,62.121921675488764,67.68208672136193
0.001,L2,3,mechanism_defined_exposed,11.279207290084225,1.1428567459060648e-10,11.279207290084225,5.56016504587316,inf,62.632458654103445,68.19262369997661
0.01,L2,3,mechanism_defined_exposed,11.521854926864105,3.562396176303723e-11,11.521854926864103,5.56016504587316,inf,65.52915746856345,71.08932251443662
