A_recoverable_norm,E_mode_norm,PiO_mode_norm,alignment_with_negative_Arec,lambda,method,mode,policy,setting,source_visible_norm
0.016939847902615573,4.0884441422998064e-07,0.016939704503775032,0.9999999997445767,0.001,IRMV1,1,actual,hidden_u_hurts,1.179566679912516
0.016939847902615573,9.39184824568217e-13,0.016939847902397068,1.0000000000000002,0.001,IRMV1,1,Pi00,hidden_u_hurts,1.179566679912516
0.016939847902615573,8.942667372244786e-06,0.0169412279068541,0.9999998639863549,0.001,IRMV1,1,PiC0,hidden_u_hurts,1.179566679912516
0.016939847902615573,8.598849117890602e-06,0.016938353998081,0.9999998750432675,0.001,IRMV1,1,Pi0K,hidden_u_hurts,1.179566679912516
0.016939847902615573,5.062544963537807e-07,0.016939725054045715,0.9999999995797239,0.001,IRMV1,1,PiCK,hidden_u_hurts,1.179566679912516
0.0,0.0,0.0,0.0,0.001,IRMV1,2,actual,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.001,IRMV1,2,Pi00,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.001,IRMV1,2,PiC0,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.001,IRMV1,2,Pi0K,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.001,IRMV1,2,PiCK,hidden_u_hurts,1.1180339887572193
0.17753407154173476,8.056211165001647e-07,0.17753327000891544,0.9999999999998959,0.001,IRMV1,3,actual,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.001,IRMV1,3,Pi00,hidden_u_hurts,1.0491124338579063
0.17753407154173476,0.00015849334847113736,0.17758128595250502,0.9999996369597821,0.001,IRMV1,3,PiC0,hidden_u_hurts,1.0491124338579063
0.17753407154173476,0.00015767434923421198,0.1774871810108694,0.9999996403925298,0.001,IRMV1,3,Pi0K,hidden_u_hurts,1.0491124338579063
0.17753407154173476,6.001919511442704e-07,0.17753412636515367,0.999999999994333,0.001,IRMV1,3,PiCK,hidden_u_hurts,1.0491124338579063
0.06589107497652855,5.112750612394859e-07,0.06589068718506993,0.9999999999872146,0.001,IRMV1,4,actual,hidden_u_hurts,1.0178008433018144
0.06589107497652855,1.4467491681715249e-12,0.06589107497625257,1.0,0.001,IRMV1,4,Pi00,hidden_u_hurts,1.0178008433018144
0.06589107497652855,6.55820704269143e-05,0.06591285219025748,0.9999995594404326,0.001,IRMV1,4,PiC0,hidden_u_hurts,1.0178008433018144
