actual_target_risk_change,blind_fraction,control_score_c,curvature_ratio,exact_optimizer_success,exact_target_risk,exposure_posthoc,intervention_family_posthoc,lambda,local_valid,local_vulnerability,method,metric_min_eigenvalue,relevance_squared,shift_id,shift_index,source_optimum_target_risk,steering,steering_class
1.4586341157141192e-07,0.0,0.5883393018106385,0.9999411708268423,True,0.26630876293945427,S1,relation,0.0001,True,0.0003719377462750356,L2,1.0711950225474327,0.0006917238640540102,S1-relation--1-0.25,0,0.2663086170760427,1.4557212511571728e-07,harmful
-4.055549998049912e-07,0.0,0.5238226477125492,0.9999476206669277,True,0.2571161194202757,S1,mean,0.0001,True,0.0006857188149174106,L2,1.0711950225474327,0.0023513876484882934,S1-mean--1-0.25,1,0.2571165249752755,-4.0622306369246446e-07,helpful
-2.1165968200342888e-07,0.0,0.5089655861320902,0.9999491073119693,True,0.2463578641451878,S1,relation,0.0001,True,0.0003485865642308248,L2,1.0711950225474327,0.000607596385055951,S1-relation-+1-0.25,2,0.2463580758048698,-2.1221661403188426e-07,helpful
2.0227427288688204e-07,0.0,0.4840782484542645,0.9999515945827729,True,0.2571167272495485,S1,mean,0.0001,True,0.0006857221290615532,L2,1.0711950225474327,0.002351387648488293,S1-mean-+1-0.25,3,0.2571165249752756,2.0212431638670791e-07,harmful
-9.994555226766622e-07,0.0,0.8630695322344472,0.9999137008945241,True,0.2673443118381499,S1,variance,0.0001,True,0.0007006687553088834,L2,1.0711950225474327,0.002455110819924973,S1-variance-0.25,4,0.26734531129367256,-9.996673337424787e-07,helpful
2.2463626303537154e-07,0.0,0.6238688454353158,0.9999376182695207,True,0.27742328112581127,S1,relation,0.0001,True,0.0007704198594463243,L2,1.0711950225474327,0.0029678852251444803,S1-relation--1-0.5,5,0.27742305648954824,2.244997613152698e-07,harmful
-1.0156850154263708e-06,0.0,0.553790362349973,0.9999446243046184,True,0.26060421367263675,S1,mean,0.0001,True,0.0013936372339760103,L2,1.0711950225474327,0.009712567316798997,S1-mean--1-0.5,6,0.2606052293576522,-1.016544874690683e-06,helpful
-4.904099240032878e-07,0.0,0.4661666223263419,0.999953386730695,True,0.23752148353727787,S1,relation,0.0001,True,0.0006774555373558342,L2,1.0711950225474327,0.002294865393160023,S1-relation-+1-0.5,7,0.23752197394720187,-4.910777169799315e-07,helpful
1.9997353017942032e-07,0.0,0.47681422496897224,0.9999523209033288,True,0.26060542933118236,S1,mean,0.0001,True,0.0013936502793556493,L2,1.0711950225474327,0.009712567316799004,S1-mean-+1-0.5,8,0.2606052293576522,2.0014988546765855e-07,harmful
-1.999342474912069e-06,0.0,0.8630695322344473,0.9999137008945239,True,0.27873499973038696,S1,variance,0.0001,True,0.0014013375106177689,L2,1.0711950225474327,0.009820443279699921,S1-variance-0.5,9,0.27873699907286187,-1.999334667484961e-06,helpful
