exact_displacement_norm,exact_optimizer_gradient_norm,exact_optimizer_success,exact_source_risk,lambda,local_displacement_norm,local_exact_error,local_valid,method,metric_min_eigenvalue,source_exposure_used_for_selection
0.0,0.0,True,0.25595362351448325,3.162277660168379e-06,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,1e-05,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,3.1622776601683795e-05,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,0.0001,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,0.00031622776601683794,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,0.001,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,0.0031622776601683794,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,0.01,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,0.03162277660168379,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,0.1,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,0.31622776601683794,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,1.0,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,3.1622776601683795,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,10.0,0.0,0.0,True,CORAL,1.0710950225474327,False
0.0,0.0,True,0.25595362351448325,0.0,0.0,0.0,True,IRMV1,1.0710950225474327,False
1.5225711148255161e-09,1.659400788635552e-09,True,0.25595362351448325,1e-06,2.24088448426105e-09,1.347157178776508e-09,True,IRMV1,1.071095076568364,False
5.309750303218398e-09,6.271451886938911e-09,True,0.25595362351448314,3.162277660168379e-06,7.086272261827762e-09,4.180895055960003e-09,True,IRMV1,1.07109519337529,False
2.2482850037274835e-08,1.1591976685960502e-09,True,0.2559536235144838,1e-05,2.2408493685485685e-08,5.875324032479046e-10,True,IRMV1,1.0710955627392882,False
7.035062109081374e-08,3.0845191654522063e-09,True,0.2559536235144899,3.1622776601683795e-05,7.085921196585818e-08,1.6086626393108432e-09,True,IRMV1,1.07109673065147,False
2.2244034184291099e-07,9.757586355301627e-09,True,0.2559536235145503,0.0001,2.240498411552642e-07,5.0892055158424975e-09,True,IRMV1,1.0711004227211451,False
7.082394936225044e-07,1.790563286029928e-11,True,0.25595362351515655,0.00031622776601683794,7.082414432137069e-07,1.4320182642608665e-11,True,IRMV1,1.0711120861554366,False
2.237018742441584e-06,1.0060977598377346e-10,True,0.2559536235211938,0.001,2.2370005056160657e-06,8.751521365974139e-11,True,IRMV1,1.0711488504668394,False
7.047894967483075e-06,9.839293420950228e-10,True,0.25595362358086227,0.0031622776601683794,7.0477131060192744e-06,8.60142452078746e-10,True,IRMV1,1.0712639362787695,False
2.203157906198073e-05,1.4231296897037356e-12,True,0.25595362415616557,0.01,2.2031531813238676e-05,4.773822604314902e-11,True,IRMV1,1.0716165619349403,False
6.73411302781564e-05,2.282387001427839e-09,True,0.25595362931222043,0.03162277660168379,6.734025638464786e-05,2.170268767226652e-09,True,IRMV1,1.0726305475333988,False
0.00019509561110954182,7.815947581907508e-10,True,0.2559536676351531,0.1,0.0001950676408252085,2.811010599643609e-08,True,IRMV1,1.0750998573908477,False
0.0005254582282790545,3.500098615272676e-10,True,0.2559538768489745,0.31622776601683794,0.000525019608226524,4.3870208676875215e-07,True,IRMV1,1.0794776998914408,False
0.0014225773810834055,1.940102744411877e-09,True,0.25595500769930124,1.0,0.001416932009097932,5.657358978510693e-06,True,IRMV1,1.0854767312733202,False
0.004204203277112654,6.245708599104947e-11,True,0.25596453290475135,3.1622776601683795,0.004139086810076457,6.512057639049397e-05,True,IRMV1,1.096285300531751,False
0.013265055671353993,5.698304422984825e-11,True,0.25606252041925137,10.0,0.012596750324242924,0.0006702407192321141,True,IRMV1,1.1255593636643595,False
