method,seed,checkpoint,radius,cell,delta_norm,raw_direction_norm,common_alpha,functional_response_norm,source_response_norm,counterfactual_response_norm,clean_response_norm,projected_condition_number,min_eigenvalue,negative_eigenvalue_count,pd_gate,linear_solve_residual,radius_error_half,radius_error_quarter,linearity_gate,resolution_gate,cosine_to_R00,cosine_to_C,cosine_to_K,derived_valid,required_cells
IRMv1,12,300,0.0005,delta_interaction,,,,0.00023245935265904364,0.00015813378906270295,0.00015914029607163056,6.08721739513868e-05,,,,False,,,,True,False,0.956893625015791,-0.9996861630504302,-0.9604208913639339,False,"11,10,01,00"
IRMv1,12,300,0.00025,delta_C,,,,0.00011821195979856434,8.049961932637759e-05,8.091789715903772e-05,3.075991949087457e-05,,,,True,,,,True,True,-0.9556102821765331,0.9999284439946834,0.9586152457588405,True,"10,00"
IRMv1,12,300,0.00025,delta_K,,,,1.710498171107764e-06,1.1650879934939193e-06,1.18162606017958e-06,4.1489012362769276e-07,,,,False,,,,True,False,-0.7468752519417096,0.9586152457588405,0.7452751075472421,False,"01,00"
IRMv1,12,300,0.00025,delta_interaction,,,,0.00011622991137333624,7.906829617627255e-05,7.956920518637963e-05,3.0435808246909897e-05,,,,False,,,,True,False,0.9533450931791013,-0.9996315984408639,-0.9568130780712399,False,"11,10,01,00"
IRMv1,13,300,0.001,00,3.96452323378305e-06,2.514073874817114,1.576931876781653e-06,4.419730694857597e-06,2.7962904679634014e-06,3.205463833110803e-06,1.1999086000450363e-06,1.3799369800442918,0.0018371103019857477,0.0,True,4.756917726146736e-19,3.4253616156194934e-08,5.148051896536149e-08,True,True,,,,,
IRMv1,13,300,0.0005,00,1.982261616891525e-06,2.514073874817114,7.884659383908265e-07,2.2098653124814067e-06,1.3981452190245085e-06,1.6027318913648805e-06,5.999542734487365e-07,1.3799369800442918,0.0018371103019857477,0.0,True,4.756917726146736e-19,3.4253616156194934e-08,5.148051896536149e-08,True,True,,,,,
IRMv1,13,300,0.00025,00,9.911308084457626e-07,2.514073874817114,3.9423296919541323e-07,1.104932648265855e-06,6.99072606344339e-07,8.013659400786817e-07,2.9997712970248384e-07,1.3799369800442918,0.0018371103019857477,0.0,True,4.756917726146736e-19,3.4253616156194934e-08,5.148051896536149e-08,True,True,,,,,
IRMv1,13,300,0.001,01,5.202413954992387e-07,0.3299073366193818,1.576931876781653e-06,2.9279630914611195e-07,1.7729186480034294e-07,2.0506580914008335e-07,1.1065842600961467e-07,159.70890404273518,-0.17741501583341945,4.0,False,1.5860510429238068e-18,5.421636314776684e-08,1.0526701149884383e-07,True,False,,,,,
IRMv1,13,300,0.0005,01,2.6012069774961936e-07,0.3299073366193818,7.884659383908265e-07,1.463981545555872e-07,8.864593234349308e-08,1.0253290464194728e-07,5.532921291614215e-08,159.70890404273518,-0.17741501583341945,4.0,False,1.5860510429238068e-18,5.421636314776684e-08,1.0526701149884383e-07,True,False,,,,,
IRMv1,13,300,0.00025,01,1.3006034887480968e-07,0.3299073366193818,3.9423296919541323e-07,7.319907770419713e-08,4.432296625020651e-08,5.1266452678842e-08,2.7664606797426086e-08,159.70890404273518,-0.17741501583341945,4.0,False,1.5860510429238068e-18,5.421636314776684e-08,1.0526701149884383e-07,True,False,,,,,
IRMv1,13,300,0.001,10,0.0010000000000000059,634.1428026941098,1.576931876781653e-06,0.0009273105577422318,0.0005874900054564106,0.000679903408159377,0.00022911071463879685,1.3799369800442918,0.0018371103019857477,0.0,True,2.779024842816778e-16,0.002053690260651582,0.002463679162216019,True,True,,,,,
IRMv1,13,300,0.0005,10,0.0005000000000000029,634.1428026941098,7.884659383908265e-07,0.0004636861070189955,0.0002937490041641071,0.00033998793554367376,0.00011456235018441953,1.3799369800442918,0.0018371103019857477,0.0,True,2.779024842816778e-16,0.002053690260651582,0.002463679162216019,True,True,,,,,
IRMv1,13,300,0.00025,10,0.00025000000000000147,634.1428026941098,3.9423296919541323e-07,0.0002318486493475382,0.00014687761033644082,0.0001699980016861125,5.728388262733962e-05,1.3799369800442918,0.0018371103019857477,0.0,True,2.779024842816778e-16,0.002053690260651582,0.002463679162216019,True,True,,,,,
