B_R_norm,C_O_operator_norm,C_operator_norm,E_norm,H_R_norm,K_operator_norm,PiO_norm,g_norm,information_floor,lambda,method,pi_operator_norm,pi_reconstruction_relative_error,rank_C_O,rank_K,reconstructed_pi_operator_norm,representation_method,seed,setting,source_factorization_residual,total_B_relative_error,total_H_relative_error,total_regret
4.649866850299166,1.0485502650532434e-14,4.249187360970369e-13,3.6591976038993255,4.005288581908035,1.000000000001,0.9859222944636963,0.6017692020620024,0.0,0.0,L2,442.8339412572232,1.5069894736728577e-12,0,9,442.8339412571748,ERM,4,cleanroom_cpu_source_target_coupled,7.783450920304403e-12,1.1925547281574434e-12,1.6305167342659239e-12,6.694863552191281
4.585434577215918,8.35456491451877e-16,7.511572993685796e-14,3.6190785770903964,4.005288581908037,1.0000000000010005,0.7425840981012627,0.5501100128085734,0.0,0.1,L2,14.664160289918273,5.821004489703573e-13,0,9,14.664160289918573,ERM,4,cleanroom_cpu_source_target_coupled,1.3447981603460116e-12,9.094983248329495e-13,1.3790520183900092e-12,6.601332540893806
4.649374156823685,0.9666391465042934,2.760329643539976,3.6585185705271948,4.005288581907979,3.8499423165177946,0.9843587371581356,0.0033763083074191623,0.0,0.1,IRMV1,442.6952372109399,1.996190820926663e-12,2,9,442.6952372106227,ERM,4,cleanroom_cpu_source_target_coupled,2.3416315503707453e-10,1.541357514370396e-12,4.721859972433869e-10,6.693063979495348
4.649453151489462,0.13815657190495512,0.252290578090041,3.6584246648055676,4.005288581906812,0.012010216768398776,0.9846209097198492,0.004884572442999124,0.0,0.1,VREX,442.739153194336,1.5414872813527257e-12,1,9,442.7391531941977,ERM,4,cleanroom_cpu_source_target_coupled,1.0470286713418767e-11,1.2350606978488788e-12,1.6270402285882542e-12,6.693061100921798
4.674735819156497,3.466193850549098e-13,1.6638883060640372e-12,3.2646187357961587,3.2724675406476678,1.0000000000010831,0.9479243369579079,0.620737865681041,0.0,0.0,L2,52.568613295759434,1.5345996091935025e-12,0,9,52.56861329576446,IRMv1,4,cleanroom_cpu_source_target_coupled,6.002322488499427e-13,1.3306079301335141e-12,1.7891410031910562e-12,5.328867745055654
4.621365688176738,1.4808556641525947e-13,1.931706309781658e-12,3.249137815432634,3.272467540647709,1.000000000001228,0.8903616866530282,0.5793980345025633,0.0,0.1,L2,11.811573696776374,6.794620418462049e-13,0,9,11.811573696777682,IRMv1,4,cleanroom_cpu_source_target_coupled,5.398636249730412e-13,9.989484319131206e-13,1.399219225776074e-12,5.350162091331389
4.67480866252707,0.9480165034085777,2.6052924504876334,3.2639910731867388,3.272467540647576,3.1605800970871076,0.9468927747305047,0.00474194646504811,0.0,0.1,IRMV1,52.56614890638284,9.891302873968048e-12,2,9,52.566148906125925,IRMv1,4,cleanroom_cpu_source_target_coupled,2.3230897235312066e-10,1.3250672875608175e-12,3.3712304692083884e-10,5.327627257402626
4.674691263625769,0.15478157483869132,0.2750992015536549,3.263887084567816,3.2724675406476993,0.018437783870124933,0.946947428754407,0.005472355058516572,0.0,0.1,VREX,52.5662257961122,1.3524960646120703e-12,1,9,52.56622579611421,IRMv1,4,cleanroom_cpu_source_target_coupled,1.7898762929870835e-12,1.1758752836552459e-12,1.965147066766302e-12,5.3275121601013335
4.703222374635091,2.1338354567108524e-14,8.498374721940738e-13,3.7807833689052814,3.8333975170826067,1.0000000000010778,0.9970576726828745,0.6418956850814874,0.0,0.0,L2,363.5248756525047,1.930667407744412e-12,0,9,363.5248756525895,ERM,5,cleanroom_cpu_source_target_coupled,1.1018225977170215e-11,1.153794616210813e-12,1.5521124443938233e-12,7.147161441295383
4.5915154843567665,1.007345137227581e-15,2.29482345545008e-13,3.7424252524392743,3.8333975170837475,1.0000000000010023,0.7455593255066416,0.5551589360790858,0.0,0.1,L2,14.569874639732918,9.083125077623557e-13,0,9,14.569874639732648,ERM,5,cleanroom_cpu_source_target_coupled,3.9433950991609465e-13,9.36766120835335e-13,1.5055330993066725e-12,7.062942194348231
4.70273196229689,0.9159898340691048,2.940855317250497,3.7801055127729724,3.83339751708383,3.706763212045638,0.9953752620409368,0.003081799823336579,0.0,0.1,IRMV1,363.4854245010434,3.2176979914644387e-12,2,9,363.4854245007992,ERM,5,cleanroom_cpu_source_target_coupled,2.2899198250181245e-10,1.1446516815210236e-12,4.4398381861529274e-10,7.145241702783714
4.702764679046233,0.12893533003118166,0.25081344603085975,3.7800011103838522,3.8333975170827252,0.010885715383618356,0.9956529051130094,0.004558552310009678,0.0,0.1,VREX,363.48920113024826,1.7710521333850186e-12,1,9,363.4892011302045,ERM,5,cleanroom_cpu_source_target_coupled,5.83474145873582e-12,1.1865741436982897e-12,1.5907916059136209e-12,7.145208315513906
4.789752273361554,2.7019208162681678e-14,1.2509268882771003e-12,3.441049734519437,2.991839369821138,1.0000000000011817,0.9598544127045892,0.7029741702344292,0.0,0.0,L2,41.4383681113361,1.8580028438668015e-12,0,9,41.43836811132726,IRMv1,5,cleanroom_cpu_source_target_coupled,1.6643156794649716e-12,1.4327244009556504e-12,1.8894639886159492e-12,5.920411637718144
4.667491977740594,1.403518905751004e-13,1.5515838457795451e-12,3.424858021600642,2.991839369821127,1.0000000000011044,0.9066869792267439,0.6152626562914784,0.0,0.1,L2,11.164740077220262,5.872813252327398e-13,0,9,11.164740077220664,IRMv1,5,cleanroom_cpu_source_target_coupled,6.105001617362976e-13,1.036954155084103e-12,1.3145652727881158e-12,5.98281734109227
4.789907960458361,0.918743792799199,2.936821865614667,3.4404274801950554,2.991839369820381,2.9052423888010384,0.9587081820898385,0.004715725115492802,0.0,0.1,IRMV1,41.44309775949279,1.2995929229107973e-11,2,9,41.44309775923735,IRMv1,5,cleanroom_cpu_source_target_coupled,2.1946196169098183e-10,1.2495334894019922e-12,2.94006465219765e-10,5.919089505568477
4.789627021297108,0.15014338325482882,0.2891024867700181,3.4403125183487666,2.9918393698202332,0.01836699258727191,0.9587787969276114,0.005308370222517645,0.0,0.1,VREX,41.43894677364912,2.3867277706473964e-12,1,9,41.43894677365657,IRMv1,5,cleanroom_cpu_source_target_coupled,2.4279207335528973e-12,1.046013281171571e-12,1.91245181517817e-12,5.918935919780926
4.754114204384646,2.977546848340006e-15,5.485677294651095e-13,3.748572279567711,3.4786602407857288,1.0000000000010072,0.9873022727046699,0.6783510793330272,0.0,0.0,L2,341.280624583196,2.316431680874248e-12,0,9,341.2806245830307,ERM,6,cleanroom_cpu_source_target_coupled,9.110189605785664e-12,1.2864979601573452e-12,1.911122179064378e-12,7.025897067571731
4.608157534184368,1.190189311706155e-14,2.1245936804851845e-13,3.699140920269632,3.478660240785621,1.000000000001,0.669262236782306,0.5687807890440487,0.0,0.1,L2,14.570806010243137,4.910763230072881e-13,0,9,14.570806010242988,ERM,6,cleanroom_cpu_source_target_coupled,3.374306884459152e-13,9.199663297540464e-13,1.4117209744601054e-12,6.915376266311306
4.753500125897849,0.8968137563898969,3.111678154633873,3.747980100747258,3.4786602407844773,3.59605623458334,0.9858548214719269,0.0027064067780441506,0.0,0.1,IRMV1,341.2129801581171,4.113479031529564e-12,2,9,341.212980157855,ERM,6,cleanroom_cpu_source_target_coupled,2.054497716189779e-10,1.28838661294729e-12,3.8439146248927695e-10,7.02428341080817
4.753516970111122,0.11963055481727271,0.24517066313401625,3.7478133077622693,3.4786602407855165,0.008442146757673933,0.9859902014315665,0.004229578827384996,0.0,0.1,VREX,341.22555656284294,2.2485699339705184e-12,1,9,341.2255565630145,ERM,6,cleanroom_cpu_source_target_coupled,6.281279887092379e-12,1.1071245208980582e-12,1.8956066710520204e-12,7.024075381498922
4.745964603614456,5.923545463345679e-14,1.9626155733547186e-12,3.4087903148534786,2.851325261612102,1.0000000000010445,0.9684005439016945,0.6726202508663678,0.0,0.0,L2,46.15188464284879,1.1236334221785735e-12,0,9,46.151884642838155,IRMv1,6,cleanroom_cpu_source_target_coupled,1.2624127958881428e-12,1.3007268495943958e-12,1.6822201148170752e-12,5.809925705319439
4.654791328320171,4.264629268257325e-15,2.7428386473255474e-13,3.3825029083238993,2.8513252616128657,1.000000000001,0.8934525264507014,0.6055643904820723,0.0,0.1,L2,11.483956203574836,6.420477830093448e-13,0,9,11.48395620357526,IRMv1,6,cleanroom_cpu_source_target_coupled,7.038700117771328e-13,1.0077761149182697e-12,1.4349377816506721e-12,5.825752674575759
