decomposition_residual,head_method,lambda,norm_E,norm_PiO,rank_A,rank_O,representation_method,seed,snapshot_passes
0.0,VREX,0.1,3.6935276282459797,0.9931910303662174,1,2,ERM,7,True
0.0,L2,0.0,3.3386653144203833,0.9572843091925094,1,2,IRMv1,7,True
0.0,L2,0.1,3.2933446525144126,0.8496205780258637,1,2,IRMv1,7,True
0.0,IRMV1,0.1,3.3380383262794946,0.9562173221582099,1,2,IRMv1,7,True
0.0,VREX,0.1,3.3379202660123446,0.9562703420960156,1,2,IRMv1,7,True
0.0,L2,0.0,3.709135093757934,0.9918997612762963,1,2,ERM,8,True
0.0,L2,0.1,3.63634606473915,0.6209665351571639,1,2,ERM,8,True
0.0,IRMV1,0.1,3.708497170154351,0.9903813221736634,1,2,ERM,8,True
0.0,VREX,0.1,3.7083558603078695,0.9905576807105231,1,2,ERM,8,True
0.0,L2,0.0,3.3679047653689844,0.9554356885613597,1,2,IRMv1,8,True
0.0,L2,0.1,3.3207461722363787,0.8695036080110005,1,2,IRMv1,8,True
0.0,IRMV1,0.1,3.3673004809202003,0.9543960687520164,1,2,IRMv1,8,True
0.0,VREX,0.1,3.367170066430997,0.9544305187981441,1,2,IRMv1,8,True
0.0,L2,0.0,3.722335995343451,1.0062657648977007,1,2,ERM,9,True
0.0,L2,0.1,3.682359608271518,0.7109156448244962,1,2,ERM,9,True
0.0,IRMV1,0.1,3.721678777044033,1.0047010439095245,1,2,ERM,9,True
0.0,VREX,0.1,3.7215215706007045,1.0048567124100107,1,2,ERM,9,True
0.0,L2,0.0,3.364394548973256,0.9635338338957214,1,2,IRMv1,9,True
0.0,L2,0.1,3.3408107325947127,0.9024210578585281,1,2,IRMv1,9,True
0.0,IRMV1,0.1,3.3637465395211352,0.9624077101590408,1,2,IRMv1,9,True
0.0,VREX,0.1,3.3636403383704607,0.9624968578030995,1,2,IRMv1,9,True
