adaptive_condition_holds,alpha,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,6.7373805017029245,0.0,0.0,1.1241571551048528e-14,cmnist,0.1,L2,-105.60839471636184,False,1,mechanism_defined_hidden,inf,False
False,6.7373805017029245,0.0,0.0,1.02326350562588e-14,cmnist,0.001,IRMV1,-100.5200789466167,False,1,mechanism_defined_hidden,inf,False
False,6.7373805017029245,0.0,0.0,1.0247490535873833e-14,cmnist,0.01,IRMV1,-100.47885612271027,False,1,mechanism_defined_hidden,inf,False
False,6.7373805017029245,0.0,0.0,2.422178587144561e-15,cmnist,0.1,IRMV1,-100.48639020381694,False,1,mechanism_defined_hidden,inf,False
False,6.7373805017029245,0.0,0.0,9.070059922194057e-15,cmnist,0.001,VREX,-100.5277594352671,False,1,mechanism_defined_hidden,inf,False
False,6.7373805017029245,0.0,0.0,7.588252258029286e-15,cmnist,0.01,VREX,-100.5186529105324,False,1,mechanism_defined_hidden,inf,False
False,6.7373805017029245,0.0,0.0,3.3238595235424044e-15,cmnist,0.1,VREX,-100.4292793430381,False,1,mechanism_defined_hidden,inf,False
False,3.889828446291121,1.1846267443191743e-14,1.1846267443191745e-14,2.0836802401610555e-14,cmnist,0.0,L2,-147.24919319320054,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,1.3795738462294144e-14,1.3795738462294144e-14,2.7345780796796998e-14,cmnist,0.001,L2,-148.97090093973398,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,7.695290776087692e-15,7.69529077608769e-15,2.904598913163607e-14,cmnist,0.01,L2,-156.09487951659878,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,1.2089832842457654e-14,1.208983284245766e-14,3.496217263318586e-14,cmnist,0.1,L2,-160.3009805396731,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,7.873907738204321e-15,7.873907738204324e-15,1.2548981061883654e-14,cmnist,0.001,IRMV1,-147.22726868627623,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,8.008337496556916e-15,8.00833749655691e-15,1.4811172467974178e-14,cmnist,0.01,IRMV1,-147.0981702549435,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,8.23307765418883e-15,8.233077654188826e-15,3.2659005907008665e-14,cmnist,0.1,IRMV1,-146.5008672123984,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,1.2656878574194926e-14,1.2656878574194926e-14,2.3721569640763495e-14,cmnist,0.001,VREX,-147.24585252277328,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,1.2398198900702197e-14,1.2398198900702205e-14,1.5858082171859725e-14,cmnist,0.01,VREX,-147.21584284285407,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,6.790410371010893e-15,6.790410371010896e-15,1.1070463684614395e-14,cmnist,0.1,VREX,-146.92122090703674,False,1,mechanism_defined_exposed,inf,False
False,0.0,0.0,0.0,3.594863328425563e-15,cmnist,0.0,L2,-106.76767845092385,False,1,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,3.3918029381596e-16,cmnist,0.001,L2,-107.37900193909061,False,1,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,1.4210854715202004e-14,cmnist,0.01,L2,-110.424806306345,False,1,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,4.311204604444136e-16,cmnist,0.1,L2,-113.09344215729915,False,1,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,1.0615674578337644e-15,cmnist,0.001,IRMV1,-106.75712251275516,False,1,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,9.240829246652292e-16,cmnist,0.01,IRMV1,-106.69880193240371,False,1,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,3.7290544069412014e-15,cmnist,0.1,IRMV1,-106.55118952640916,False,1,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,3.80490994640793e-15,cmnist,0.001,VREX,-106.76637301375138,False,1,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,3.691220894673331e-15,cmnist,0.01,VREX,-106.75464647584428,False,1,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,7.114131592615304e-15,cmnist,0.1,VREX,-106.63955550459579,False,1,irrelevant_source_diversity,inf,False
False,0.0,0.0,0.0,5.444199010073991e-15,cmnist,0.0,L2,-91.91865324671143,False,2,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,3.99656673513424e-15,cmnist,0.001,L2,-92.41280321004011,False,2,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,7.457278849650018e-15,cmnist,0.01,L2,-93.85703476511915,False,2,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,7.755810860212435e-15,cmnist,0.1,L2,-88.8568836486262,False,2,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,3.943564206497878e-15,cmnist,0.001,IRMV1,-91.91239467152161,False,2,declared_source_target_coupled_correlation,inf,False
