method,seed,checkpoint,radius,cell,delta_norm,raw_direction_norm,common_alpha,functional_response_norm,source_response_norm,counterfactual_response_norm,clean_response_norm,projected_condition_number,min_eigenvalue,negative_eigenvalue_count,pd_gate,linear_solve_residual,radius_error_half,radius_error_quarter,linearity_gate,resolution_gate,derived_valid,required_cells
IRMv1,10,300,0.0005,11,1.0608749528768122e-06,3.827368862234799,2.7718126761823795e-07,1.7405055286842546e-06,9.979981297256011e-07,1.218867566139475e-06,7.400818094358825e-07,475.5474087559224,-0.25715621538432953,3.0,False,1.2138317696330011e-15,4.801624413441916e-08,6.787493544957995e-08,True,False,,
IRMv1,10,300,0.00025,11,5.304374764384061e-07,3.827368862234799,1.3859063380911898e-07,8.702527702526855e-07,4.98999069115695e-07,6.094337866102041e-07,3.700409070523024e-07,475.5474087559224,-0.25715621538432953,3.0,False,1.2138317696330011e-15,4.801624413441916e-08,6.787493544957995e-08,True,False,,
IRMv1,10,300,0.001,delta_C,,,,0.0026769922883182287,0.0015208029238922885,0.002021324786179967,0.0008761805106086506,,,,True,,,,True,True,True,"10,00"
IRMv1,10,300,0.001,delta_K,,,,8.585747536965637e-06,5.134908591525271e-06,6.463854281947634e-06,2.3593139568397373e-06,,,,False,,,,True,False,False,"01,00"
IRMv1,10,300,0.001,delta_interaction,,,,0.0026752058894998943,0.001519875038739694,0.002020074333259501,0.0008752177477274539,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,10,300,0.0005,delta_C,,,,0.0013384988090317895,0.0007603997532424691,0.0010106687789188586,0.0004380866311210296,,,,True,,,,True,True,True,"10,00"
IRMv1,10,300,0.0005,delta_K,,,,4.292873670952853e-06,2.56745424617266e-06,3.231927058075487e-06,1.179656958547588e-06,,,,False,,,,True,False,False,"01,00"
IRMv1,10,300,0.0005,delta_interaction,,,,0.001337605635283775,0.0007599358073717319,0.00101004358231143,0.0004376052628210507,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,10,300,0.00025,delta_C,,,,0.0006692562090834891,0.0003801994494262977,0.0005053436962948033,0.00021904337622454691,,,,True,,,,True,True,True,"10,00"
IRMv1,10,300,0.00025,delta_K,,,,2.1464368108439695e-06,1.2837271111893844e-06,1.6159635077044527e-06,5.898284739743492e-07,,,,False,,,,True,False,False,"01,00"
