seed,method,step,source_env0_acc,source_env1_acc,target_acc,prediction_color_agreement,raw_grad_disagreement,local_response_disagreement,loss
11,IRMv1,200,0.6947199702262878,0.7269600033760071,0.4544999897480011,0.6001999974250793,0.001916470006108284,0.0477592923055247,0.000438693561591208
11,IRMv1,300,0.6460400223731995,0.6507599949836731,0.6341000199317932,0.39980000257492065,0.0006178129697218537,0.05341654648203093,0.0007930851425044239
11,IRMv1,400,0.656440019607544,0.6623600125312805,0.6230999827384949,0.41440001130104065,0.0013432244304567575,0.03376280924772284,0.0005318873445503414
11,IRMv1,500,0.6255599856376648,0.6194400191307068,0.663100004196167,0.36340001225471497,0.005920670926570892,0.04444280893394661,0.0001269979984499514
11,GRAD,0,0.3245199918746948,0.2622399926185608,0.7099000215530396,0.23019999265670776,0.0024037621915340424,0.08280584738619037,0.9129081964492798
11,GRAD,100,0.7969599962234497,0.9009199738502502,0.10170000046491623,0.9990000128746033,0.0034567101392894983,0.06843250301626627,0.47734948992729187
11,GRAD,200,0.7968000173568726,0.9011200070381165,0.10429999977350235,0.9965999722480774,0.0007005122024565935,0.0458308672939058,0.4347175359725952
11,GRAD,300,0.7977200150489807,0.900600016117096,0.10400000214576721,0.9970999956130981,0.0006005887989886105,0.05364070730642995,0.4183213710784912
11,GRAD,400,0.799839973449707,0.8997200131416321,0.11259999871253967,0.987500011920929,0.0010446535889059305,0.044699257478328924,0.3915739953517914
11,GRAD,500,0.799839973449707,0.8997200131416321,0.1177000030875206,0.9825999736785889,0.001300846692174673,0.03499550944985301,0.40445080399513245
11,LOCAL_RESPONSE,0,0.3245199918746948,0.2622399926185608,0.7099000215530396,0.23019999265670776,0.0024037621915340424,0.08280584738619037,0.9086443070273613
11,LOCAL_RESPONSE,100,0.7972800135612488,0.9010400176048279,0.10130000114440918,0.9995999932289124,0.006994406692683697,0.062080124054093404,0.4734969449387831
11,LOCAL_RESPONSE,200,0.7970799803733826,0.9007999897003174,0.10300000011920929,0.9979000091552734,0.0008777606999501586,0.034131274698752226,0.4385195274349066
11,LOCAL_RESPONSE,300,0.7972000241279602,0.9010000228881836,0.10180000215768814,0.9993000030517578,0.0010920942295342684,0.03995292808921379,0.42144749575473467
11,LOCAL_RESPONSE,400,0.7979199886322021,0.9005200266838074,0.10750000178813934,0.9929999709129333,0.0016225709114223719,0.03549439689619842,0.3913945113457239
11,LOCAL_RESPONSE,500,0.7990000247955322,0.9006800055503845,0.10830000042915344,0.9919999837875366,0.002067304216325283,0.034054296719197324,0.4040919424277502
12,ERM,0,0.4692800045013428,0.46215999126434326,0.5185999870300293,0.47589999437332153,0.0008006284479051828,0.06833681156965771,0.8822062611579895
12,ERM,100,0.798520028591156,0.901639997959137,0.09730000048875809,0.9991999864578247,0.007237166631966829,0.06539263144956756,0.47555747628211975
12,ERM,200,0.7983999848365784,0.9016799926757812,0.09730000048875809,0.9991999864578247,0.010056030936539173,0.0658643703311316,0.4569588899612427
12,ERM,300,0.7986800074577332,0.9014800190925598,0.09849999845027924,0.9977999925613403,0.002278583589941263,0.039144043144467996,0.4109848737716675
12,ERM,400,0.7990800142288208,0.9009600281715393,0.10369999706745148,0.9926000237464905,0.003064204240217805,0.05200873909774279,0.422367125749588
12,ERM,500,0.7993999719619751,0.9010000228881836,0.10429999977350235,0.991599977016449,0.0028266613371670246,0.05305771065885758,0.3962083160877228
12,IRMv1,0,0.4692800045013428,0.46215999126434326,0.5185999870300293,0.47589999437332153,0.0008006284479051828,0.06833681156965771,0.882462739944458
12,IRMv1,100,0.7985600233078003,0.9013599753379822,0.09809999912977219,0.9983999729156494,0.006880029104650021,0.063568004663848,0.008099027909338474
12,IRMv1,200,0.6724799871444702,0.7009599804878235,0.5175999999046326,0.5235000252723694,0.0072966464795172215,0.08183713452665257,0.0009840501006692648
12,IRMv1,300,0.6583600044250488,0.6660799980163574,0.5967000126838684,0.43540000915527344,0.0011048105079680681,0.04772322042428745,0.0007927044061943889
12,IRMv1,400,0.6290000081062317,0.6298400163650513,0.6308000087738037,0.3939000070095062,0.004928949289023876,0.06121084059945211,0.0008759458432905376
12,IRMv1,500,0.5912799835205078,0.5825200080871582,0.6725000143051147,0.34060001373291016,0.0033130839001387358,0.06625342587892752,0.00028396028210408986
12,GRAD,0,0.4692800045013428,0.46215999126434326,0.5185999870300293,0.47589999437332153,0.0008006284479051828,0.06833681156965771,0.8885886669158936
12,GRAD,100,0.7973600029945374,0.8988400101661682,0.1096000000834465,0.9866999983787537,0.0019075899617746472,0.06008455527939768,0.494987815618515
12,GRAD,200,0.7991999983787537,0.9003599882125854,0.10199999809265137,0.9937000274658203,0.0030204933136701584,0.06649806900839303,0.48359328508377075
12,GRAD,300,0.799839973449707,0.8996000289916992,0.11079999804496765,0.9835000038146973,0.0005746184615418315,0.04149584255701629,0.41685712337493896
12,GRAD,400,0.8016800284385681,0.9001200199127197,0.11670000106096268,0.978600025177002,0.0008484503487125039,0.05095559076925477,0.4241281747817993
12,GRAD,500,0.8012400269508362,0.8992000222206116,0.11469999700784683,0.980400025844574,0.0008815971668809652,0.04769540932907951,0.4040084779262543
12,LOCAL_RESPONSE,0,0.4692800045013428,0.46215999126434326,0.5185999870300293,0.47589999437332153,0.0008006284479051828,0.06833681156965771,0.8860172237364016
12,LOCAL_RESPONSE,100,0.7985600233078003,0.901639997959137,0.09700000286102295,0.9994999766349792,0.006328149698674679,0.0559727614680329,0.4854979341571786
12,LOCAL_RESPONSE,200,0.7986400127410889,0.9014400243759155,0.09830000251531601,0.9980000257492065,0.006365761626511812,0.060244556289486335,0.46408296048341485
12,LOCAL_RESPONSE,300,0.7987200021743774,0.9017199873924255,0.09950000047683716,0.9968000054359436,0.001490650000050664,0.038149165280510086,0.4149513684226359
12,LOCAL_RESPONSE,400,0.7993999719619751,0.900600016117096,0.10419999808073044,0.9912999868392944,0.0017976374365389347,0.04121689112766144,0.4264733600490951
12,LOCAL_RESPONSE,500,0.7993599772453308,0.9011200070381165,0.10249999910593033,0.9936000108718872,0.0018863516161218286,0.04002883111483652,0.40017186701857044
13,ERM,0,0.47863999009132385,0.47464001178741455,0.5166000127792358,0.4706999957561493,0.0002870424650609493,0.05949710971138311,0.8695996999740601
13,ERM,100,0.7993599772453308,0.9020799994468689,0.10649999976158142,0.9986000061035156,0.0032705797348171473,0.044625269135905685,0.4840576648712158
13,ERM,200,0.7995200157165527,0.901960015296936,0.10830000042915344,0.9968000054359436,0.004126569256186485,0.05370090275023748,0.442055344581604
13,ERM,300,0.7993199825286865,0.9023600220680237,0.10540000349283218,0.9994999766349792,0.005674425046890974,0.05662879947086244,0.40117672085762024
13,ERM,400,0.7991999983787537,0.9019200205802917,0.11010000109672546,0.9945999979972839,0.0009110570535995066,0.027678499527640912,0.3890819847583771
13,ERM,500,0.7990400195121765,0.9005200266838074,0.11620000004768372,0.9876999855041504,0.001070784404873848,0.027864161234441923,0.3884817957878113
13,IRMv1,0,0.47863999009132385,0.47464001178741455,0.5166000127792358,0.4706999957561493,0.0002870424650609493,0.05949710971138311,0.8696185946464539
13,IRMv1,100,0.7990000247955322,0.9017999768257141,0.10939999669790268,0.9955000281333923,0.003023351076990366,0.04453924506111326,0.003574836766347289
13,IRMv1,200,0.6571599841117859,0.6794000267982483,0.4772999882698059,0.5694000124931335,0.002529618563130498,0.050165273442890894,0.0012526835780590773
13,IRMv1,300,0.6357200145721436,0.6369600296020508,0.6398000121116638,0.3912999927997589,0.004247123375535011,0.060341434368592614,0.00032074470072984695
13,IRMv1,400,0.5921199917793274,0.5829600095748901,0.6869999766349792,0.3260999917984009,0.001515188836492598,0.04077261326517102,0.0005646177451126277
13,IRMv1,500,0.5793600082397461,0.5669599771499634,0.6894000172615051,0.3149000108242035,0.0026185638271272182,0.04197705164995729,0.0001276194816455245
13,GRAD,0,0.47863999009132385,0.47464001178741455,0.5166000127792358,0.4706999957561493,0.0002870424650609493,0.05949710971138311,0.8731484413146973
13,GRAD,100,0.7991600036621094,0.8996800184249878,0.11940000206232071,0.9854999780654907,0.0013531999429687858,0.04428093123721237,0.511021077632904
13,GRAD,200,0.7995200157165527,0.8993200063705444,0.11890000104904175,0.9855999946594238,0.0012268881546333432,0.052082387451817605,0.4614781141281128
13,GRAD,300,0.7996799945831299,0.9011600017547607,0.11389999836683273,0.9904000163078308,0.001858209609054029,0.05765346816764881,0.4304903745651245
13,GRAD,400,0.8005599975585938,0.8994799852371216,0.125,0.9782999753952026,0.0003201856161467731,0.035629132477297994,0.4036846160888672
