method,shift_id,lambda,relevance_squared,control_score_c,curvature_ratio,blind_fraction,steering,steering_class,local_vulnerability,actual_target_risk_change,exposure_posthoc,intervention_family_posthoc
L2,S1-variance-1.0,1e-05,0.03928177311879963,0.8630695322344473,0.9999913693831618,0.0,-3.99892700752413e-07,helpful,0.002802894552447959,-3.9998405798602477e-07,S1,variance
L2,S2-relation--1-0.25,1e-05,0.0005652361647570547,0.7211412494579069,0.9999927886456429,0.0,2.3481347022702007e-08,harmful,0.00033622506863670125,2.3501962154170997e-08,S2,relation
L2,S2-mean--1-0.25,1e-05,0.0008779851951268903,0.5071493165991059,0.9999949285336478,0.0,-2.0523376104435363e-08,helpful,0.00041904091266984635,-2.050176961532202e-08,S2,mean
L2,S2-relation-+1-0.25,1e-05,0.0004927389512466441,0.6965890713945313,0.9999930341649796,0.0,-2.474392523008421e-08,helpful,0.0003139234027060156,-2.4754452598862997e-08,S2,relation
L2,S2-mean-+1-0.25,1e-05,0.000877985195126891,0.4989096574808727,0.9999950109296675,0.0,1.6656730344327504e-08,harmful,0.00041904112161634415,1.664821880353884e-08,S2,mean
L2,S2-variance-0.25,1e-05,0.0009003570023965495,0.7834861591082698,0.9999921652019641,0.0,-1.8938673110732644e-08,helpful,0.0004243455997920256,-1.891248646579413e-08,S2,variance
L2,S2-relation--1-0.5,1e-05,0.00241794384608098,0.7314574793652026,0.9999926854843666,0.0,4.570011583802183e-08,harmful,0.0006954055634325788,4.5738489107272073e-08,S2,relation
L2,S2-mean--1-0.5,1e-05,0.0036245322994010055,0.5197252239152748,0.9999948027759926,0.0,-4.4913397968978716e-08,helpful,0.000851409902953625,-4.487003413267132e-08,S2,mean
L2,S2-relation-+1-0.5,1e-05,0.0018379661379977136,0.6820554090531951,0.9999931795001512,0.0,-5.075042866755046e-08,helpful,0.0006062950977429524,-5.077434017675131e-08,S2,relation
L2,S2-mean-+1-0.5,1e-05,0.003624532299401007,0.5037578148900681,0.9999949624489759,0.0,2.9446814928547142e-08,harmful,0.0008514107256559249,2.942994248300579e-08,S2,mean
L2,S2-variance-0.5,1e-05,0.003601428009586209,0.7834861591082698,0.9999921652019641,0.0,-3.787734622146536e-08,helpful,0.0008486911995840525,-3.7829287591328864e-08,S2,variance
L2,S2-relation--1-1.0,1e-05,0.011023806961001728,0.7488373313963753,0.9999925116875631,0.0,8.634991884651496e-08,harmful,0.0014848436466320955,8.642818360993232e-08,S2,relation
L2,S2-mean--1-1.0,1e-05,0.01629959349989912,0.5559779493953934,0.9999944402531341,0.0,-1.0529337897838909e-07,helpful,0.0018055140329954619,-1.0519310400525228e-07,S2,mean
L2,S2-relation-+1-1.0,1e-05,0.006383985296335569,0.6476849610374783,0.9999935232011856,0.0,-1.0655117016462967e-07,helpful,0.0011299555027065999,-1.0659747540220366e-07,S2,relation
L2,S2-mean-+1-1.0,1e-05,0.016299593499899127,0.5275726325388882,0.9999947243043333,0.0,4.3427046816662525e-08,harmful,0.001805517136628483,4.340684967019115e-08,S2,mean
L2,S2-variance-1.0,1e-05,0.014405712038344811,0.7834861591082699,0.9999921652019641,0.0,-7.575469244293064e-08,helpful,0.0016973823991681036,-7.566288995342063e-08,S2,variance
L2,U-emergent-0.25,1e-05,0.006397681385761115,0.6944444444444444,0.9999930556037807,0.0,0.0,neutral,0.0011311689571917665,4.314659740600746e-12,U,emergent
L2,U-emergent-0.5,1e-05,0.02559072554304446,0.6944444444444444,0.9999930556037807,0.0,0.0,neutral,0.002262337914383533,4.314659740600746e-12,U,emergent
L2,U-emergent-1.0,1e-05,0.10236290217217783,0.6944444444444444,0.9999930556037807,0.0,0.0,neutral,0.004524675828767066,4.314659740600746e-12,U,emergent
L2,S1-relation--1-0.25,0.0001,0.0006917238640540102,0.5883393018106385,0.9999411708268423,0.0,1.4557212511571728e-07,harmful,0.0003719377462750356,1.4586341157141192e-07,S1,relation
L2,S1-mean--1-0.25,0.0001,0.0023513876484882934,0.5238226477125492,0.9999476206669277,0.0,-4.0622306369246446e-07,helpful,0.0006857188149174106,-4.055549998049912e-07,S1,mean
L2,S1-relation-+1-0.25,0.0001,0.000607596385055951,0.5089655861320902,0.9999491073119693,0.0,-2.1221661403188426e-07,helpful,0.0003485865642308248,-2.1165968200342888e-07,S1,relation
L2,S1-mean-+1-0.25,0.0001,0.002351387648488293,0.4840782484542645,0.9999515945827729,0.0,2.0212431638670791e-07,harmful,0.0006857221290615532,2.0227427288688204e-07,S1,mean
L2,S1-variance-0.25,0.0001,0.002455110819924973,0.8630695322344472,0.9999137008945241,0.0,-9.996673337424787e-07,helpful,0.0007006687553088834,-9.994555226766622e-07,S1,variance
L2,S1-relation--1-0.5,0.0001,0.0029678852251444803,0.6238688454353158,0.9999376182695207,0.0,2.244997613152698e-07,harmful,0.0007704198594463243,2.2463626303537154e-07,S1,relation
L2,S1-mean--1-0.5,0.0001,0.009712567316798997,0.553790362349973,0.9999446243046184,0.0,-1.016544874690683e-06,helpful,0.0013936372339760103,-1.0156850154263708e-06,S1,mean
L2,S1-relation-+1-0.5,0.0001,0.002294865393160023,0.4661666223263419,0.999953386730695,0.0,-4.910777169799315e-07,helpful,0.0006774555373558342,-4.904099240032878e-07,S1,relation
L2,S1-mean-+1-0.5,0.0001,0.009712567316799004,0.47681422496897224,0.9999523209033288,0.0,2.0014988546765855e-07,harmful,0.0013936502793556493,1.9997353017942032e-07,S1,mean
L2,S1-variance-0.5,0.0001,0.009820443279699921,0.8630695322344473,0.9999137008945239,0.0,-1.999334667484961e-06,helpful,0.0014013375106177689,-1.999342474912069e-06,S1,variance
L2,S1-relation--1-1.0,0.0001,0.013741337539464145,0.6856600483769424,0.9999314398401327,0.0,1.8242156696588123e-07,harmful,0.0016577459734379379,1.8220457564943615e-07,S1,relation
L2,S1-mean--1-1.0,0.0001,0.04376253683272921,0.6226742544936366,0.9999377368718414,0.0,-2.8494847386043914e-06,helpful,0.0029582273003443175,-2.8483758046649044e-06,S1,mean
L2,S1-relation-+1-1.0,0.0001,0.008357178883588494,0.37903153301099995,0.9999620992679527,0.0,-1.2487333896245258e-06,helpful,0.0012927937478840175,-1.2478877982058378e-06,S1,relation
L2,S1-mean-+1-1.0,0.0001,0.043762536832729265,0.4860028510130237,0.9999514022100037,0.0,-4.1609521828770807e-07,helpful,0.0029582764661695545,-4.1705871356434443e-07,S1,mean
L2,S1-variance-1.0,0.0001,0.03928177311879963,0.8630695322344473,0.9999137008945241,0.0,-3.998669334969919e-06,helpful,0.002802675021235536,-3.999116379382883e-06,S1,variance
L2,S2-relation--1-0.25,0.0001,0.0005652361647570547,0.7211412494579069,0.9999278916883666,0.0,2.348062281280374e-07,harmful,0.00033622592283525494,2.3539332549837866e-07,S2,relation
L2,S2-mean--1-0.25,0.0001,0.0008779851951268903,0.5071493165991059,0.9999492877495969,0.0,-2.0521855462457992e-07,helpful,0.0004190220935477133,-2.0461029537344189e-07,S2,mean
L2,S2-relation-+1-0.25,0.0001,0.0004927389512466441,0.6965890713945313,0.9999303466617997,0.0,-2.474318318240023e-07,helpful,0.00031392501552214656,-2.4714134949643807e-07,S2,relation
L2,S2-mean-+1-0.25,0.0001,0.000877985195126891,0.4989096574808727,0.9999501116583759,0.0,1.665526433056887e-07,harmful,0.00041902418275663046,1.6685232318014442e-07,S2,mean
L2,S2-variance-0.25,0.0001,0.0009003570023965495,0.7834861591082698,0.9999216577391388,0.0,-1.8938405543946982e-07,helpful,0.0004243221395394986,-1.8873182572320957e-07,S2,variance
L2,S2-relation--1-0.5,0.0001,0.00241794384608098,0.7314574793652026,0.9999268601676643,0.0,4.5698685256011015e-07,harmful,0.0006954063944333046,4.577443373232626e-07,S2,relation
L2,S2-mean--1-0.5,0.0001,0.0036245322994010055,0.5197252239152748,0.9999480303006663,0.0,-4.491030205680522e-07,helpful,0.0008513695408848132,-4.4827285139437123e-07,S2,mean
L2,S2-relation-+1-0.5,0.0001,0.0018379661379977136,0.6820554090531951,0.9999317998828626,0.0,-5.07489267343968e-07,helpful,0.0006062989418529621,-5.073250126663709e-07,S2,relation
L2,S2-mean-+1-0.5,0.0001,0.003624532299401007,0.5037578148900681,0.9999496269308523,0.0,2.9443937529248613e-07,harmful,0.0008513777669028273,2.946523853797345e-07,S2,mean
L2,S2-variance-0.5,0.0001,0.003601428009586209,0.7834861591082698,0.999921657739139,0.0,-3.7876811087894017e-07,helpful,0.0008486442790789985,-3.77895081005164e-07,S2,variance
L2,S2-relation--1-1.0,0.0001,0.011023806961001728,0.7488373313963753,0.9999251223541217,0.0,8.634712903363616e-07,harmful,0.0014848414122021196,8.646137104051377e-07,S2,relation
L2,S2-mean--1-1.0,0.0001,0.01629959349989912,0.5559779493953934,0.9999444054677209,0.0,-1.0528696864116716e-06,helpful,0.0018054198858430297,-1.0514604578126807e-06,S2,mean
L2,S2-relation-+1-1.0,0.0001,0.006383985296335569,0.6476849610374783,0.9999352365831192,0.0,-1.0654809494717946e-06,helpful,0.0011299649760840918,-1.0655249899071961e-06,S2,relation
L2,S2-mean-+1-1.0,0.0001,0.016299593499899127,0.5275726325388882,0.9999472458024473,0.0,4.3421510530940426e-07,harmful,0.0018054509184238922,4.343900160685976e-07,S2,mean
L2,S2-variance-1.0,0.0001,0.014405712038344811,0.7834861591082699,0.9999216577391389,0.0,-7.575362217578798e-07,helpful,0.0016972885581579957,-7.562215917911175e-07,S2,variance
L2,U-emergent-0.25,0.0001,0.006397681385761115,0.6944444444444444,0.9999305603777515,0.0,0.0,neutral,0.0011311965341875133,4.3142966976716934e-10,U,emergent
L2,U-emergent-0.5,0.0001,0.02559072554304446,0.6944444444444444,0.9999305603777515,0.0,0.0,neutral,0.0022623930683750267,4.3142966976716934e-10,U,emergent
