diagnostic_only,frobenius_norm,linear_index,method,module,nuclear_norm,penalized_by_weight_nuclear,seed,singular_value_max,singular_value_min,stable_rank,stage
True,1.3149515246160564,2,IRMv1,head,1.3149515246160564,False,11,1.3149515246160564,1.3149515246160564,1.0,initial
True,5.75276626160756,0,IRMv1,encoder.0,43.10894098729915,True,11,1.5072338141296622,0.2783257192404453,14.567740611276417,final
True,6.082173248010673,1,IRMv1,encoder.2,40.66997407623843,True,11,1.710031880738554,0.007689702963849875,12.650542762008273,final
True,1.3597463297407635,2,IRMv1,head,1.3597463297407637,False,11,1.3597463297407637,1.3597463297407637,0.9999999999999999,final
True,10.469490127304782,0,VREX,encoder.0,82.02333861020952,True,11,1.781586291002532,0.7538478573712983,34.53324095756309,initial
True,7.967820920741748,1,VREX,encoder.2,54.39860349225954,True,11,1.9523263036349086,0.019800467093747314,16.65613829597273,initial
True,1.3149515246160564,2,VREX,head,1.3149515246160564,False,11,1.3149515246160564,1.3149515246160564,1.0,initial
True,5.895446296963761,0,VREX,encoder.0,44.620986245364726,True,11,1.363584956533783,0.3070907790728009,18.692568146945302,final
True,6.140038593448663,1,VREX,encoder.2,41.268289436116035,True,11,1.520662583600903,0.0014844097994396153,16.303336092999363,final
True,1.276291681582055,2,VREX,head,1.2762916815820553,False,11,1.2762916815820553,1.2762916815820553,0.9999999999999999,final
True,10.469490127304782,0,CORAL,encoder.0,82.02333861020952,True,11,1.781586291002532,0.7538478573712983,34.53324095756309,initial
True,7.967820920741748,1,CORAL,encoder.2,54.39860349225954,True,11,1.9523263036349086,0.019800467093747314,16.65613829597273,initial
True,1.3149515246160564,2,CORAL,head,1.3149515246160564,False,11,1.3149515246160564,1.3149515246160564,1.0,initial
True,3.4204583864595817,0,CORAL,encoder.0,22.3162196422953,True,11,1.1768611437904335,0.013009887740330076,8.447304979709147,final
True,3.271882693230986,1,CORAL,encoder.2,15.367000895983065,True,11,2.2524769158180757,0.0004668471634108006,2.1099625708454455,final
True,1.8052733547861697,2,CORAL,head,1.8052733547861697,False,11,1.8052733547861697,1.8052733547861697,1.0,final
True,10.469490127304782,0,FISHR,encoder.0,82.02333861020952,True,11,1.781586291002532,0.7538478573712983,34.53324095756309,initial
True,7.967820920741748,1,FISHR,encoder.2,54.39860349225954,True,11,1.9523263036349086,0.019800467093747314,16.65613829597273,initial
True,1.3149515246160564,2,FISHR,head,1.3149515246160564,False,11,1.3149515246160564,1.3149515246160564,1.0,initial
True,5.5971627639663994,0,FISHR,encoder.0,42.16215374203338,True,11,1.28107837354565,0.28468899305781165,19.089056924335612,final
True,5.889849924877954,1,FISHR,encoder.2,39.339266116740966,True,11,1.535231272497842,0.009166608424867943,14.718408124817113,final
True,1.3230452459341937,2,FISHR,head,1.3230452459341935,False,11,1.3230452459341935,1.3230452459341935,1.0000000000000002,final
True,10.469490127304782,0,MLDG,encoder.0,82.02333861020952,True,11,1.781586291002532,0.7538478573712983,34.53324095756309,initial
True,7.967820920741748,1,MLDG,encoder.2,54.39860349225954,True,11,1.9523263036349086,0.019800467093747314,16.65613829597273,initial
True,1.3149515246160564,2,MLDG,head,1.3149515246160564,False,11,1.3149515246160564,1.3149515246160564,1.0,initial
True,4.729150385487514,0,MLDG,encoder.0,33.4588341921945,True,11,1.3469328226248891,0.031068305233358656,12.32748200071792,final
True,4.550590414742164,1,MLDG,encoder.2,25.1133684994781,True,11,2.5798098402557628,0.00022207813880359664,3.111430506188128,final
True,1.8291414668735373,2,MLDG,head,1.8291414668735373,False,11,1.8291414668735373,1.8291414668735373,1.0000000000000002,final
True,10.469490127304782,0,SPECTRAL_NORM_REG,encoder.0,82.02333861020952,True,11,1.781586291002532,0.7538478573712983,34.53324095756309,initial
True,7.967820920741748,1,SPECTRAL_NORM_REG,encoder.2,54.39860349225954,True,11,1.9523263036349086,0.019800467093747314,16.65613829597273,initial
True,1.3149515246160564,2,SPECTRAL_NORM_REG,head,1.3149515246160564,False,11,1.3149515246160564,1.3149515246160564,1.0,initial
True,3.121507885191789,0,SPECTRAL_NORM_REG,encoder.0,24.958575635207495,True,11,0.41416816958224273,0.36921259773229576,56.803544391907316,final
True,4.060562049516523,1,SPECTRAL_NORM_REG,encoder.2,30.605957768196326,True,11,0.5932894873358832,0.016273572786198398,46.84238471810065,final
True,0.1283101290251347,2,SPECTRAL_NORM_REG,head,0.1283101290251347,False,11,0.1283101290251347,0.1283101290251347,0.9999999999999998,final
True,10.469490127304782,0,SPECTRAL_REG_2024,encoder.0,82.02333861020952,True,11,1.781586291002532,0.7538478573712983,34.53324095756309,initial
True,7.967820920741748,1,SPECTRAL_REG_2024,encoder.2,54.39860349225954,True,11,1.9523263036349086,0.019800467093747314,16.65613829597273,initial
True,1.3149515246160564,2,SPECTRAL_REG_2024,head,1.3149515246160564,False,11,1.3149515246160564,1.3149515246160564,1.0,initial
True,7.7612479414891276,0,SPECTRAL_REG_2024,encoder.0,61.96503110602709,True,11,1.0070735534208144,0.7182410466279786,59.39374813313198,final
True,6.19089646405281,1,SPECTRAL_REG_2024,encoder.2,44.62303695522067,True,11,1.028384194032396,0.019095172593704433,36.24067648899752,final
True,1.0080905321883202,2,SPECTRAL_REG_2024,head,1.0080905321883202,False,11,1.0080905321883202,1.0080905321883202,0.9999999999999998,final
True,10.469490127304782,0,SVB_ORTHDNN,encoder.0,82.02333861020952,True,11,1.781586291002532,0.7538478573712983,34.53324095756309,initial
True,7.967820920741748,1,SVB_ORTHDNN,encoder.2,54.39860349225954,True,11,1.9523263036349086,0.019800467093747314,16.65613829597273,initial
True,1.3149515246160564,2,SVB_ORTHDNN,head,1.3149515246160564,False,11,1.3149515246160564,1.3149515246160564,1.0,initial
True,7.692999472217428,0,SVB_ORTHDNN,encoder.0,61.52030656395984,True,11,1.050000335706567,0.9523799244904837,53.6800027537411,final
True,7.69252889306343,1,SVB_ORTHDNN,encoder.2,61.51810326092831,True,11,1.050000622498552,0.9523798289695714,53.67340644553049,final
True,1.0499999885904732,2,SVB_ORTHDNN,head,1.0499999885904732,False,11,1.0499999885904732,1.0499999885904732,0.9999999999999998,final
True,10.469490127304782,0,STABLE_RANK_NORM,encoder.0,82.02333861020952,True,11,1.781586291002532,0.7538478573712983,34.53324095756309,initial
True,7.967820920741748,1,STABLE_RANK_NORM,encoder.2,54.39860349225954,True,11,1.9523263036349086,0.019800467093747314,16.65613829597273,initial
True,1.3149515246160564,2,STABLE_RANK_NORM,head,1.3149515246160564,False,11,1.3149515246160564,1.3149515246160564,1.0,initial
True,1.2436169424348937,0,STABLE_RANK_NORM,encoder.0,3.5996227216958934,True,11,0.9999999066753624,5.002877537534997e-08,1.5465833881797586,final
