A_norm,A_normalized_norm,A_rank_primary,basis_index,finite,method,opaque_direction_id,seed
1.273296275629051,0.6033235462621734,5,0,True,VREX,u000,12
1.2794011228343178,0.6062161943722536,5,1,True,VREX,u001,12
2.5905951827603464,1.2274967755014579,5,2,True,VREX,u002,12
1.4990710087248083,0.7103019575203334,5,3,True,VREX,u003,12
3.909986666540071,1.8526615263437818,5,4,True,VREX,u004,12
1.7872824471970086,0.8468646338279079,5,-1,True,VREX,u005,12
0.2525313695008948,0.11965645726439678,5,-1,True,VREX,u006,12
0.6799681908704759,0.3221880312645832,5,-1,True,VREX,u007,12
3.0729798577934044,1.4560641862242216,5,-1,True,VREX,u008,12
1.9213301851781956,0.9103802179030108,5,-1,True,VREX,u009,12
3.72071228950096,1.76297800919426,5,-1,True,VREX,u010,12
1.4269201664379378,0.6042076280854994,5,0,True,CORAL,u000,12
1.4459909997087996,0.6122828821937695,5,1,True,CORAL,u001,12
2.9532649243072053,1.2505150862631447,5,2,True,CORAL,u002,12
1.4565005666937725,0.6167329983877593,5,3,True,CORAL,u003,12
4.525517249302098,1.916261405069827,5,4,True,CORAL,u004,12
2.0123786891136515,0.8521111293804465,5,-1,True,CORAL,u005,12
0.2780703943740646,0.11774467652592424,5,-1,True,CORAL,u006,12
0.7983431624581352,0.3380462621053623,5,-1,True,CORAL,u007,12
3.4834020578305864,1.4749935872614268,5,-1,True,CORAL,u008,12
2.3298060636696323,0.9865209201879117,5,-1,True,CORAL,u009,12
4.144116791331818,1.7547631857011763,5,-1,True,CORAL,u010,12
1.3555781452047517,0.6114952056785011,5,0,True,ERM,u000,13
1.3602676132300717,0.613610603617609,5,1,True,ERM,u001,13
2.763193508616394,1.246464166494559,5,2,True,ERM,u002,13
1.4478367061997575,0.6531126276846093,5,3,True,ERM,u003,13
4.157251364269463,1.8753173965247207,5,4,True,ERM,u004,13
1.9050959858899061,0.8593802325966796,5,-1,True,ERM,u005,13
0.24192844377120462,0.1091328331064288,5,-1,True,ERM,u006,13
0.7326990824408395,0.3305172613637381,5,-1,True,ERM,u007,13
3.275329164542698,1.4774862579643555,5,-1,True,ERM,u008,13
2.0882850989756987,0.9420160177638557,5,-1,True,ERM,u009,13
3.8753110041564063,1.7481353678779226,5,-1,True,ERM,u010,13
0.9652273087581996,0.6957371989519724,5,0,True,IRMv1,u000,13
0.9530900602409166,0.6869886531847971,5,1,True,IRMv1,u001,13
1.9493513885196265,1.4050952169666964,5,2,True,IRMv1,u002,13
1.5591774861598915,1.12385732049528,5,3,True,IRMv1,u003,13
1.5098772074475617,1.0883216104012545,5,4,True,IRMv1,u004,13
1.349860873800485,0.972981612508519,5,-1,True,IRMv1,u005,13
0.13386576069041026,0.09649062820046314,5,-1,True,IRMv1,u006,13
0.5076759592490628,0.36593354400386274,5,-1,True,IRMv1,u007,13
2.3161088780412182,1.669454530196956,5,-1,True,IRMv1,u008,13
0.5831177556297085,0.4203120967256074,5,-1,True,IRMv1,u009,13
2.0906308373280296,1.5069296419685076,5,-1,True,IRMv1,u010,13
1.169919910682634,0.6111355723698683,5,0,True,VREX,u000,13
1.17357237599744,0.6130435247522007,5,1,True,VREX,u001,13
2.3768186173525274,1.241587900908145,5,2,True,VREX,u002,13
1.5112999778166898,0.7894635936460449,5,3,True,VREX,u003,13
3.3400779837317565,1.7447694083237406,5,4,True,VREX,u004,13
1.6452311204161647,0.8594257207483369,5,-1,True,VREX,u005,13
0.19798807926264397,0.1034237959690644,5,-1,True,VREX,u006,13
0.6333210464054652,0.33083035569764074,5,-1,True,VREX,u007,13
2.820453267040476,1.4733310425407673,5,-1,True,VREX,u008,13
1.5431450963117515,0.8060986509187347,5,-1,True,VREX,u009,13
3.325485193484903,1.737146516244931,5,-1,True,VREX,u010,13
1.3526099545387666,0.609507198634472,5,0,True,CORAL,u000,13
1.3610087576276366,0.6132918306530388,5,1,True,CORAL,u001,13
2.755138762120005,1.2415086131179895,5,2,True,CORAL,u002,13
1.4479798672632718,0.6524823727736782,5,3,True,CORAL,u003,13
4.179193580752201,1.8832099848208208,5,4,True,CORAL,u004,13
1.903993749573477,0.8579693596265143,5,-1,True,CORAL,u005,13
0.23813090736319664,0.10730551092588982,5,-1,True,CORAL,u006,13
0.730475754118696,0.3291637985283874,5,-1,True,CORAL,u007,13
3.2683921076877764,1.472788597267934,5,-1,True,CORAL,u008,13
2.1128204689050047,0.9520699451446721,5,-1,True,CORAL,u009,13
3.8856523709122768,1.7509357250514441,5,-1,True,CORAL,u010,13
1.346025362461225,0.6099729449055489,5,0,True,ERM,u000,14
1.3496257286049707,0.6116045084709063,5,1,True,ERM,u001,14
2.74219102098263,1.2426677677929066,5,2,True,ERM,u002,14
1.4699414987499424,0.6661275261499447,5,3,True,ERM,u003,14
4.125700527335013,1.869627252680693,5,4,True,ERM,u004,14
1.8875748140504722,0.8553847499207712,5,-1,True,ERM,u005,14
0.26520785256793594,0.12018318477085949,5,-1,True,ERM,u006,14
0.7418024477763998,0.3361596565914261,5,-1,True,ERM,u007,14
3.2453473469982184,1.470681113222292,5,-1,True,ERM,u008,14
2.062029188070147,0.9344415427867381,5,-1,True,ERM,u009,14
3.8639576186271,1.7510142626990057,5,-1,True,ERM,u010,14
0.963276954740592,0.6854005566977595,5,0,True,IRMv1,u000,14
0.9615479504487,0.6841703180853194,5,1,True,IRMv1,u001,14
1.9384986464147758,1.3793001533690195,5,2,True,IRMv1,u002,14
1.5652560212287128,1.1137267875505124,5,3,True,IRMv1,u003,14
1.5985299423799957,1.137402184297389,5,4,True,IRMv1,u004,14
1.3516559842481244,0.9617439299344668,5,-1,True,IRMv1,u005,14
0.15969675260517519,0.11362904780368978,5,-1,True,IRMv1,u006,14
0.49331581383358325,0.3510090548365717,5,-1,True,IRMv1,u007,14
2.31114482664488,1.6444491306429425,5,-1,True,IRMv1,u008,14
0.6345858274010548,0.45152692300245156,5,-1,True,IRMv1,u009,14
2.145372978374588,1.526497469357874,5,-1,True,IRMv1,u010,14
1.202940215255912,0.6113575411811584,5,0,True,VREX,u000,14
1.2143965838831927,0.6171798898448858,5,1,True,VREX,u001,14
2.4294517981518444,1.2346945084218357,5,2,True,VREX,u002,14
1.5001659969006766,0.7624134463188331,5,3,True,VREX,u003,14
3.4913162557254376,1.7743546142332876,5,4,True,VREX,u004,14
1.6939488112890013,0.8608976298427896,5,-1,True,VREX,u005,14
