O_norm,O_normalized_norm,O_rank_primary,basis_index,finite,method,opaque_direction_id,seed
0.13068233106637428,0.34892527624675845,3,-1,True,CORAL,u009,11
0.13068233106637428,0.34892527624675845,3,-1,True,CORAL,u010,11
0.10776464359498729,1.7579817664651438,3,0,True,FISHR,u000,11
0.10605854406778252,1.730149893593434,3,1,True,FISHR,u001,11
0.0,0.0,3,2,True,FISHR,u002,11
0.09267783996641515,1.511868339941422,3,3,True,FISHR,u003,11
0.0,0.0,3,4,True,FISHR,u004,11
0.1069149970278548,1.7441213469144397,3,-1,True,FISHR,u005,11
0.1069149970278548,1.7441213469144397,3,-1,True,FISHR,u006,11
0.07560031940893569,1.233280031615415,3,-1,True,FISHR,u007,11
0.07560031940893569,1.233280031615415,3,-1,True,FISHR,u008,11
0.06553312910597381,1.0690523554338283,3,-1,True,FISHR,u009,11
0.06553312910597381,1.0690523554338283,3,-1,True,FISHR,u010,11
0.9146870938154255,2.215234159206974,3,0,True,MLDG,u000,11
0.9308565101342077,2.2543940463486996,3,1,True,MLDG,u001,11
0.0,0.0,3,2,True,MLDG,u002,11
0.2189945623967904,0.5303717944443265,3,3,True,MLDG,u003,11
0.0,0.0,3,4,True,MLDG,u004,11
0.9228072176927706,2.2348998743042037,3,-1,True,MLDG,u005,11
0.9228072176927706,2.2348998743042037,3,-1,True,MLDG,u006,11
0.6525232413584486,1.580312856393465,3,-1,True,MLDG,u007,11
0.6525232413584486,1.580312856393465,3,-1,True,MLDG,u008,11
0.15485254011375102,0.37502949240166095,3,-1,True,MLDG,u009,11
0.15485254011375102,0.37502949240166095,3,-1,True,MLDG,u010,11
0.8790803670774147,2.2479167010306362,3,0,True,SPECTRAL_NORM_REG,u000,11
0.8976795288369173,2.2954770469445775,3,1,True,SPECTRAL_NORM_REG,u001,11
0.0,0.0,3,2,True,SPECTRAL_NORM_REG,u002,11
0.17856248474676945,0.4566062520247859,3,3,True,SPECTRAL_NORM_REG,u003,11
0.0,0.0,3,4,True,SPECTRAL_NORM_REG,u004,11
0.8884286207326484,2.271821336265449,3,-1,True,SPECTRAL_NORM_REG,u005,11
0.8884286207326484,2.271821336265449,3,-1,True,SPECTRAL_NORM_REG,u006,11
0.628213902320267,1.6064202725175825,3,-1,True,SPECTRAL_NORM_REG,u007,11
0.628213902320267,1.6064202725175825,3,-1,True,SPECTRAL_NORM_REG,u008,11
0.1262627438299601,0.3228693771388998,3,-1,True,SPECTRAL_NORM_REG,u009,11
0.1262627438299601,0.3228693771388998,3,-1,True,SPECTRAL_NORM_REG,u010,11
0.9525965061486852,2.2656092319079177,3,0,True,SPECTRAL_REG_2024,u000,11
0.970652061668683,2.3085516876163874,3,1,True,SPECTRAL_REG_2024,u001,11
0.0,0.0,3,2,True,SPECTRAL_REG_2024,u002,11
0.17904800816030703,0.42583908047569496,3,3,True,SPECTRAL_REG_2024,u003,11
0.0,0.0,3,4,True,SPECTRAL_REG_2024,u004,11
0.9616666595937354,2.2871812440319257,3,-1,True,SPECTRAL_REG_2024,u005,11
0.9616666595937354,2.2871812440319257,3,-1,True,SPECTRAL_REG_2024,u006,11
0.6800010162397455,1.6172813674576585,3,-1,True,SPECTRAL_REG_2024,u007,11
0.6800010162397455,1.6172813674576585,3,-1,True,SPECTRAL_REG_2024,u008,11
0.1266060607280974,0.30111370149860783,3,-1,True,SPECTRAL_REG_2024,u009,11
0.1266060607280974,0.30111370149860783,3,-1,True,SPECTRAL_REG_2024,u010,11
