checkpoint,gradient_norm,hessian_top_eigenvalue,hessian_trace_estimate,hutchinson_probes,method,random_direction_max_delta,random_direction_mean_delta,sam_sharpness_delta,seed,sharpness_rho,source_loss,variant
500,0.27337534084397513,2.0652132241465884,8.781318393410734,4,SPECTRAL_REG_2024,8.20457935333252e-05,2.3461878299713135e-05,0.015105336904525757,10,0.05,0.3894370496273041,SR2024_LAMBDA0P001_K2_ALL_LINEAR
500,0.3141091548752828,3.5465241229266558,7.425382631879758,4,SVB_ORTHDNN,0.00019162893295288086,2.750009298324585e-05,0.0032706856727600098,10,0.01,0.3983379602432251,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP
500,0.3141091548752828,3.5465241229266558,7.425382631879758,4,SVB_ORTHDNN,0.00019162893295288086,2.750009298324585e-05,0.018957942724227905,10,0.05,0.3983379602432251,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP
500,0.29377709513931355,3.3678903740992485,13.786288397879726,4,STABLE_RANK_NORM,4.678964614868164e-05,-4.604458808898926e-06,0.00302007794380188,10,0.01,0.38249945640563965,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR
500,0.29377709513931355,3.3678903740992485,13.786288397879726,4,STABLE_RANK_NORM,4.678964614868164e-05,-4.604458808898926e-06,0.017044126987457275,10,0.05,0.38249945640563965,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR
500,0.26520284513079784,1.6553866217402056,11.137751286159673,4,SAM,2.5987625122070312e-05,1.990795135498047e-05,0.002693474292755127,10,0.01,0.38662153482437134,SAM_RHO0P05_COMMON_ADAM
500,0.26520284513079784,1.6553866217402056,11.137751286159673,4,SAM,2.5987625122070312e-05,1.990795135498047e-05,0.014283418655395508,10,0.05,0.38662153482437134,SAM_RHO0P05_COMMON_ADAM
500,0.287967701291057,1.846671023512279,10.669762494387399,4,ASAM,4.127621650695801e-05,1.605600118637085e-05,0.0029222965240478516,10,0.01,0.3863907754421234,ASAM_RHO0P5_ETA0P01_COMMON_ADAM
500,0.287967701291057,1.846671023512279,10.669762494387399,4,ASAM,4.127621650695801e-05,1.605600118637085e-05,0.01548108458518982,10,0.05,0.3863907754421234,ASAM_RHO0P5_ETA0P01_COMMON_ADAM
500,0.32701279660723387,3.1973418836411756,15.872178481019052,4,ERM,5.6177377700805664e-05,-3.6366283893585205e-05,0.0033192038536071777,11,0.01,0.30614152550697327,ERM_CANONICAL
500,0.32701279660723387,3.1973418836411756,15.872178481019052,4,ERM,5.6177377700805664e-05,-3.6366283893585205e-05,0.017495065927505493,11,0.05,0.30614152550697327,ERM_CANONICAL
500,0.9857973518925696,4.016247682221245,18.442580543161952,4,IRMv1,-1.9848346710205078e-05,-0.0001334846019744873,0.009952306747436523,11,0.01,0.6103179454803467,IRMv1_CANONICAL
500,0.9857973518925696,4.016247682221245,18.442580543161952,4,IRMv1,-1.9848346710205078e-05,-0.0001334846019744873,0.0512961745262146,11,0.05,0.6103179454803467,IRMv1_CANONICAL
500,0.4810576169912875,1.6931934562818194,3.869566635726501,4,VREX,-5.7220458984375e-06,-4.947185516357422e-05,0.004835724830627441,11,0.01,0.6737862825393677,VREX_LAMBDA10000_ANNEAL100_RESCALE
500,0.4810576169912875,1.6931934562818194,3.869566635726501,4,VREX,-5.7220458984375e-06,-4.947185516357422e-05,0.024540185928344727,11,0.05,0.6737862825393677,VREX_LAMBDA10000_ANNEAL100_RESCALE
500,0.3330088261009285,3.214638015839828,15.850216984004149,4,CORAL,8.96751880645752e-05,-3.240257501602173e-05,0.003358125686645508,11,0.01,0.3089761435985565,CORAL_GAMMA1_SOURCE_ONLY
500,0.3330088261009285,3.214638015839828,15.850216984004149,4,CORAL,8.96751880645752e-05,-3.240257501602173e-05,0.01821121573448181,11,0.05,0.3089761435985565,CORAL_GAMMA1_SOURCE_ONLY
500,0.29891304772159294,0.42191702565442274,5.807210182242779,4,FISHR,0.00011867284774780273,3.11434268951416e-06,0.002977132797241211,11,0.01,0.663594126701355,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100
500,0.29891304772159294,0.42191702565442274,5.807210182242779,4,FISHR,0.00011867284774780273,3.11434268951416e-06,0.014530956745147705,11,0.05,0.663594126701355,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100
500,0.3179489888104787,3.217640683021835,17.178689859260047,4,MLDG,0.00011172890663146973,-1.823902130126953e-05,0.0032275915145874023,11,0.01,0.2933785617351532,MLDG_BETA1_INNERLR0P001_ONE_STEP
500,0.3179489888104787,3.217640683021835,17.178689859260047,4,MLDG,0.00011172890663146973,-1.823902130126953e-05,0.016996413469314575,11,0.05,0.2933785617351532,MLDG_BETA1_INNERLR0P001_ONE_STEP
500,0.2752731052369003,2.523392293934932,12.549474018209947,4,SPECTRAL_NORM_REG,0.00011405348777770996,2.86102294921875e-06,0.0027875304222106934,11,0.01,0.30963972210884094,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS
500,0.2752731052369003,2.523392293934932,12.549474018209947,4,SPECTRAL_NORM_REG,0.00011405348777770996,2.86102294921875e-06,0.014713197946548462,11,0.05,0.30963972210884094,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS
500,0.21342134814490882,2.011987384747399,9.156635039776624,4,SPECTRAL_REG_2024,5.519390106201172e-05,-5.960464477539062e-07,0.0021616220474243164,11,0.01,0.3172450065612793,SR2024_LAMBDA0P001_K2_ALL_LINEAR
500,0.21342134814490882,2.011987384747399,9.156635039776624,4,SPECTRAL_REG_2024,5.519390106201172e-05,-5.960464477539062e-07,0.011451423168182373,11,0.05,0.3172450065612793,SR2024_LAMBDA0P001_K2_ALL_LINEAR
500,0.2394931169142215,3.4809014753608762,5.858351825538802,4,SVB_ORTHDNN,6.794929504394531e-05,-4.505366086959839e-05,0.0024831295013427734,11,0.01,0.3612416982650757,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP
500,0.2394931169142215,3.4809014753608762,5.858351825538802,4,SVB_ORTHDNN,6.794929504394531e-05,-4.505366086959839e-05,0.014193326234817505,11,0.05,0.3612416982650757,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP
