method,lambda,source_design,valid,norm_z0,pi_O_operator_norm,A_irreducible_operator_norm,A_recoverable_operator_norm,E_operator_norm,decomposition_residual,affine_regret,information_floor,total_excess,min_local_metric_eigenvalue,condition_number,fd_error_max,fd_errors,factorization_residual,spectral_slack_min_eigenvalue,seed,status
ERM,0.0,mechanism_defined_hidden,True,0.0,2.246654257725849,10.105851856220884,14.29183275440089,14.722221289305391,0.0,158.63454205786672,51.06412086994154,107.57042118792518,0.0021314551050129484,7886.384440518571,4.908838235830284e-06,"[4.908838235830284e-06, 1.2272086498094685e-06, 3.068007444882308e-07]",0.0,-215.14084237585047,0,PASS
L2,0.001,mechanism_defined_hidden,True,0.1986584266721884,2.3841767762828816,10.105851856220884,14.29183275440089,14.776823364930733,0.0,159.61561775381597,51.06412086994154,108.55149688387442,0.0031314551050129445,5368.26293595177,4.663193278467964e-06,"[4.663193278467964e-06, 1.1657976874082336e-06, 2.914478305720832e-07]",0.0,-216.5606634314098,0,PASS
L2,0.01,mechanism_defined_hidden,True,0.7633877450426604,2.8391786110757766,10.105851856220884,14.29183275440089,15.004816045988736,0.0,163.8765860406144,51.06412086994154,112.81246517067285,0.012131455105012939,1386.4350343997764,3.820488687618186e-06,"[3.820488687618186e-06, 9.55121242666893e-07, 2.387798634744783e-07]",0.0,-222.6732028477968,0,PASS
L2,0.1,mechanism_defined_hidden,True,1.2970756040327491,3.447268549741722,10.105851856220884,14.29183275440089,15.351080277295157,0.0,170.96625486558935,51.06412086994154,119.9021339956478,0.10213145510501294,165.5657834156128,2.3476194155016095e-06,"[2.3476194155016095e-06, 5.869048290228222e-07, 1.4672516527329137e-07]",0.0,-232.1675862565188,0,PASS
IRMV1,0.001,mechanism_defined_hidden,True,0.00034725545725120975,2.2457423800369267,10.105851856220884,14.29183275440089,14.721668850718105,0.0,158.6306101050259,51.06412086994154,107.56648923508436,0.0021315761737975094,8267.381320748362,4.849239889539173e-06,"[4.849239889539173e-06, 1.212309749953793e-06, 3.030771695068328e-07]",0.0,-215.12575604992284,0,PASS
IRMV1,0.01,mechanism_defined_hidden,True,0.0034110635187411106,2.2379335575157278,10.105851856220884,14.29183275440089,14.71845418579147,0.0,158.61677486183476,51.06412086994154,107.55265399189321,0.002131344422673847,11835.321225327942,4.31254870505384e-06,"[4.31254870505384e-06, 1.0781366512087502e-06, 2.69532104050968e-07]",0.0,-215.04252490541418,0,PASS
IRMV1,0.1,mechanism_defined_hidden,True,0.03224585530882689,2.2222824097035083,10.105851856220884,14.29183275440089,14.70482892022682,0.0,158.68915724545013,51.06412086994154,107.62503637550859,0.00211866550616015,49571.50587041252,3.8785332716091525e-06,"[3.8785332716091525e-06, 9.696368425453626e-07, 2.424109500442354e-07]",0.0,-214.74091232645566,0,PASS
VREX,0.001,mechanism_defined_hidden,True,2.1266312077731454e-05,2.246424410973613,10.105851856220884,14.29183275440089,14.722173784148403,0.0,158.63408772388235,51.06412086994154,107.5699668539408,0.0021314782703061507,7886.306115023954,4.897065840954487e-06,"[4.897065840954487e-06, 1.2242663808761623e-06, 3.060658861930191e-07]",0.0,-215.13976858565087,0,PASS
VREX,0.01,mechanism_defined_hidden,True,0.00021251702020499988,2.244365896792664,10.105851856220884,14.29183275440089,14.72174706221508,0.0,158.63000704244308,51.06412086994154,107.56588617250154,0.0021316865829629893,7885.601945941787,4.793002907495575e-06,"[4.793002907495575e-06, 1.1982503680302977e-06, 2.995605397283494e-07]",0.0,-215.13012274402251,0,PASS
VREX,0.1,mechanism_defined_hidden,True,0.0021107089276561123,2.2247626282566713,10.105851856220884,14.29183275440089,14.717559908157185,0.0,158.5900086664637,51.06412086994154,107.52588779652214,0.0021337525849621985,7878.634616301415,3.949092137056586e-06,"[3.949092137056586e-06, 9.872728847064038e-07, 2.468153666991399e-07]",0.0,-215.0354391717836,0,PASS
