seed,source_design,method,lambda,step,direction,fd_norm,ift_norm,cosine,relative_error,valid
0,mechanism_defined_hidden,IRMV1,0.001,0.0005,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,IRMV1,0.001,0.00025,rho_source_1,1.5838141877711591,1.5838137645028771,0.9999999999999901,3.023932316323917e-07,True
0,mechanism_defined_hidden,IRMV1,0.001,0.00025,rho_source_2,1.5921544270889958,1.5921540002386956,0.9999999999999898,3.037524448388651e-07,True
0,mechanism_defined_hidden,IRMV1,0.001,0.00025,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,IRMV1,0.01,0.001,rho_source_1,1.5403846946318989,1.5403787428673785,0.9999999999985469,4.2231589184201105e-06,True
0,mechanism_defined_hidden,IRMV1,0.01,0.001,rho_source_2,1.6251755893464774,1.625169165054976,0.9999999999981711,4.391302911792221e-06,True
0,mechanism_defined_hidden,IRMV1,0.01,0.001,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,IRMV1,0.01,0.0005,rho_source_1,1.5403802308048653,1.5403787428673785,0.9999999999999091,1.0557893584874618e-06,True
0,mechanism_defined_hidden,IRMV1,0.01,0.0005,rho_source_2,1.6251707711239753,1.625169165054976,0.9999999999998856,1.0978250723194943e-06,True
0,mechanism_defined_hidden,IRMV1,0.01,0.0005,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,IRMV1,0.01,0.00025,rho_source_1,1.5403791148555905,1.5403787428673785,0.9999999999999942,2.6394942716607597e-07,True
0,mechanism_defined_hidden,IRMV1,0.01,0.00025,rho_source_2,1.6251695665624502,1.625169165054976,0.9999999999999928,2.744506264115441e-07,True
0,mechanism_defined_hidden,IRMV1,0.01,0.00025,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,IRMV1,0.1,0.001,rho_source_1,1.2494726211683727,1.2494682262784715,0.999999999989981,5.692985257614998e-06,True
0,mechanism_defined_hidden,IRMV1,0.1,0.001,rho_source_2,1.952887284270273,1.9528891202562773,0.999999999996475,2.8166900754826954e-06,True
0,mechanism_defined_hidden,IRMV1,0.1,0.001,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,IRMV1,0.1,0.0005,rho_source_1,1.2494693249968056,1.2494682262784715,0.9999999999993737,1.4232499325548265e-06,True
0,mechanism_defined_hidden,IRMV1,0.1,0.0005,rho_source_2,1.9528886612449752,1.9528891202562773,0.9999999999997798,7.041784749351911e-07,True
0,mechanism_defined_hidden,IRMV1,0.1,0.0005,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,IRMV1,0.1,0.00025,rho_source_1,1.2494685009583517,1.2494682262784715,0.9999999999999606,3.558141167464689e-07,True
0,mechanism_defined_hidden,IRMV1,0.1,0.00025,rho_source_2,1.952889005492457,1.9528891202562773,0.9999999999999861,1.7604677456057576e-07,True
0,mechanism_defined_hidden,IRMV1,0.1,0.00025,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,VREX,0.001,0.001,rho_source_1,1.588043415238145,1.5880365837439818,0.9999999999973083,4.887714559470055e-06,True
0,mechanism_defined_hidden,VREX,0.001,0.001,rho_source_2,1.588894035485347,1.5888871712330315,0.9999999999972954,4.90638931829527e-06,True
0,mechanism_defined_hidden,VREX,0.001,0.001,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,VREX,0.001,0.0005,rho_source_1,1.5880382916124867,1.5880365837439818,0.9999999999998318,1.2219279886483957e-06,True
0,mechanism_defined_hidden,VREX,0.001,0.0005,rho_source_2,1.58888888729322,1.5888871712330315,0.9999999999998309,1.2265978193450379e-06,True
0,mechanism_defined_hidden,VREX,0.001,0.0005,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,VREX,0.001,0.00025,rho_source_1,1.5880370107139772,1.5880365837439818,0.9999999999999896,3.05483110338743e-07,True
