adaptive_condition_holds,alpha,audit_mode,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,6.776263578034403e-21,cmnist_irmv1_source_only,0.001,VREX,-11.931608445920645,False,4,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.8431436932253575e-18,cmnist_irmv1_source_only,0.01,VREX,-11.931058205696955,False,4,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.0,L2,-12.510942743874711,False,5,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,L2,-12.491898812041375,False,5,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,L2,-12.507360142225753,False,5,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,L2,-12.420137452996329,False,5,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,IRMV1,-12.510887069328911,False,5,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_irmv1_source_only,0.01,IRMV1,-12.510392027953305,False,5,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,5.924190841813907e-19,cmnist_irmv1_source_only,0.1,IRMV1,-12.505951811110668,False,5,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,5.554482249167377e-19,cmnist_irmv1_source_only,0.001,VREX,-12.510882531739993,False,5,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_irmv1_source_only,0.01,VREX,-12.510341456523141,False,5,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,5.234991178337757e-19,cmnist_irmv1_source_only,0.1,VREX,-12.505012913006405,False,5,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.0,L2,-12.62443723811521,False,6,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,L2,-12.623849261726638,False,6,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,L2,-12.625553851403474,False,6,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,L2,-12.489197406494462,False,6,source_only_common_projection_irmv1,inf,False
