seed,method,tangent,epsilon,A_norm,PiO_norm,mismatch_norm,normalized_mismatch_if_preregistered,finite
12,ERM,source_env1_color,0.01,1.922677738547696,1.2918966263448017,1.1469596230274721,0.5965428319224384,True
12,ERM,shared_label_noise,0.01,4.749037019770949,1.1055581143116666,3.9221918579493606,0.8258920369794321,True
12,ERM,common_source_color,0.01,2.379681064868386,1.7776801036013579,1.2725859154975285,0.5347716272927995,True
12,ERM,antisymmetric_source_color,0.01,1.240769137483326,0.11113016529392189,1.2348323685365414,0.9952152509540765,True
12,ERM,source_env0_color,0.02,1.5684493576480374,1.2855289994592414,0.9029705156870734,0.575709066591171,True
12,ERM,source_env1_color,0.02,1.6072671072484888,1.209930278610232,0.8097392450983243,0.5037988032272572,True
12,ERM,shared_label_noise,0.02,4.356893244775828,1.0961597758282817,3.512441883267006,0.8061803872469518,True
12,ERM,common_source_color,0.02,2.205909958953167,1.7708165166875778,1.013826960531186,0.4595958037255093,True
12,ERM,antisymmetric_source_color,0.02,0.9969062936897054,0.057057866852382774,0.998748550024566,1.0018479734218972,True
12,IRMv1,source_env0_color,0.01,1.20195126565267,2.8543486629291186,2.763620131083714,2.2992780240412194,True
12,IRMv1,source_env1_color,0.01,1.4232902807861227,1.2718488583738017,2.269626598648193,1.5946336662923146,True
12,IRMv1,shared_label_noise,0.01,2.150256351841398,13.748295491626807,14.005846593150022,6.513570617361947,True
12,IRMv1,common_source_color,0.01,1.7078049955783337,1.8511226866588988,2.440535563464136,1.4290481464704168,True
12,IRMv1,antisymmetric_source_color,0.01,0.9485268044067164,3.0019136553561534,3.16773677730107,3.3396386507837517,True
12,IRMv1,source_env0_color,0.02,1.0679668671668863,4.057037352418791,3.9428394994565195,3.6919118192459712,True
12,IRMv1,source_env1_color,0.02,1.158763454068807,1.5858563818542768,2.2828038078720074,1.9700343498548543,True
12,IRMv1,shared_label_noise,0.02,1.9033170361184057,20.4310517952661,20.65574271736787,10.8524971538598,True
12,IRMv1,common_source_color,0.02,1.5513456466534463,2.591091328572329,2.778945708579869,1.7913130542987594,True
12,IRMv1,antisymmetric_source_color,0.02,0.7673428037189314,3.315033484347032,3.530157849499523,4.600496456590969,True
13,ERM,source_env0_color,0.01,1.609889180237765,1.2293494186100211,1.0070537049090527,0.6255422530141612,True
13,ERM,source_env1_color,0.01,1.6575821666160515,1.2613198638136953,1.1003020439861877,0.6637993977894023,True
13,ERM,shared_label_noise,0.01,5.029649732786275,1.0612471845712848,4.274566861172383,0.8498736668098757,True
13,ERM,common_source_color,0.01,2.1122104738287386,1.8724556623377115,1.1502080415959444,0.5445518123537176,True
13,ERM,antisymmetric_source_color,0.01,1.3051680480818926,0.09194949890773682,1.3204032680896733,1.0116729949297876,True
13,ERM,source_env0_color,0.02,1.5684069706231347,1.2983804914357013,0.8951484170036438,0.5707373365268822,True
13,ERM,source_env1_color,0.02,1.5201693556947276,1.2408880350936018,0.7695128771594167,0.5062020716815095,True
13,ERM,shared_label_noise,0.02,4.916289843926217,1.0576048091924215,4.120097336542823,0.838050128723179,True
13,ERM,common_source_color,0.02,2.0968202013850936,1.7687083144165472,0.8941356582313212,0.4264245726174725,True
13,ERM,antisymmetric_source_color,0.02,0.9772617098624193,0.04173407673341116,0.9827792968468613,1.0056459666113582,True
13,IRMv1,source_env0_color,0.01,1.1880131263283837,2.588431344173012,2.589739017789787,2.179890912311306,True
13,IRMv1,source_env1_color,0.01,1.1021290932694716,1.9994387157774423,2.4838287624953397,2.2536640922226714,True
13,IRMv1,shared_label_noise,0.01,2.2885292068522958,20.994392438116687,21.049612276646663,9.197877926844928,True
13,IRMv1,common_source_color,0.01,1.405546052563551,2.7121416099848994,2.9346128765170616,2.0878809848774944,True
13,IRMv1,antisymmetric_source_color,0.01,0.8530932487795166,3.029403976074106,3.1783641606634268,3.725693721302535,True
13,IRMv1,source_env0_color,0.02,1.0973218524153139,2.76342468195712,2.7866993257928785,2.539546004355129,True
13,IRMv1,source_env1_color,0.02,1.063101956758837,2.006920304698139,2.3973526643100747,2.255054323876022,True
13,IRMv1,shared_label_noise,0.02,2.1986844251484454,27.983884646828777,28.017952106919125,12.743052975884648,True
13,IRMv1,common_source_color,0.02,1.4749372309884783,2.425059671713645,2.7737473053475674,1.8805866765520918,True
13,IRMv1,antisymmetric_source_color,0.02,0.7021140809087146,2.5676541873381815,2.644337389838595,3.7662503313081945,True
