seed,method,tangent,epsilon,response_norm,whitened_response_norm,retained_hessian_rank,hessian_min_eig,hessian_max_eig,hessian_condition,hessian_damping,whitening_identity_error,finite,response_rank,response_singular_max,response_singular_min,gram_disagreement_with_epsilon_pair,reparameterization_gram_disagreement
10,IRMv1,shared_label_noise,0.02,2.9615733372997366,2.0617284203477433,65,2.5809910345468878e-08,1.3784348319441677,53407191.791588776,2.5667154016972774e-08,1.1991258518832473e-14,True,5,2.0693434132057784,0.18202390459181092,0.09418876470246933,5.5281676763725115e-14
10,IRMv1,common_source_color,0.02,2.9615733372997366,1.4729030260405096,65,2.5809910345468878e-08,1.3784348319441677,53407191.791588776,2.5667154016972774e-08,1.1991258518832473e-14,True,5,2.0693434132057784,0.18202390459181092,0.09418876470246933,5.5281676763725115e-14
10,IRMv1,antisymmetric_source_color,0.02,2.9615733372997366,0.5439509772424255,65,2.5809910345468878e-08,1.3784348319441677,53407191.791588776,2.5667154016972774e-08,1.1991258518832473e-14,True,5,2.0693434132057784,0.18202390459181092,0.09418876470246933,5.5281676763725115e-14
11,ERM,source_env0_color,0.01,5.634841923648925,1.9132611236294965,65,1.2411537493426289e-08,0.35489652829477847,28594082.60118843,7.51685393342519e-09,6.06536557847736e-13,True,5,4.464990310000413,0.35355936771201724,0.07761091488599652,1.3598827418473213e-11
11,ERM,source_env1_color,0.01,5.634841923648925,1.563256754808099,65,1.2411537493426289e-08,0.35489652829477847,28594082.60118843,7.51685393342519e-09,6.06536557847736e-13,True,5,4.464990310000413,0.35355936771201724,0.07761091488599652,1.3598827418473213e-11
11,ERM,shared_label_noise,0.01,5.634841923648925,4.44842499820034,65,1.2411537493426289e-08,0.35489652829477847,28594082.60118843,7.51685393342519e-09,6.06536557847736e-13,True,5,4.464990310000413,0.35355936771201724,0.07761091488599652,1.3598827418473213e-11
11,ERM,common_source_color,0.01,5.634841923648925,2.1114273342303913,65,1.2411537493426289e-08,0.35489652829477847,28594082.60118843,7.51685393342519e-09,6.06536557847736e-13,True,5,4.464990310000413,0.35355936771201724,0.07761091488599652,1.3598827418473213e-11
11,ERM,antisymmetric_source_color,0.01,5.634841923648925,1.183424413943458,65,1.2411537493426289e-08,0.35489652829477847,28594082.60118843,7.51685393342519e-09,6.06536557847736e-13,True,5,4.464990310000413,0.35355936771201724,0.07761091488599652,1.3598827418473213e-11
11,ERM,source_env0_color,0.02,5.622306772434263,1.6903835447482602,65,1.2411537493426289e-08,0.35489652829477847,28594082.60118843,7.51685393342519e-09,6.06536557847736e-13,True,5,4.613121168374439,0.24193273540905513,0.07761091488599652,1.0170599299841224e-11
11,ERM,source_env1_color,0.02,5.622306772434263,1.4320744601697288,65,1.2411537493426289e-08,0.35489652829477847,28594082.60118843,7.51685393342519e-09,6.06536557847736e-13,True,5,4.613121168374439,0.24193273540905513,0.07761091488599652,1.0170599299841224e-11
11,ERM,shared_label_noise,0.02,5.622306772434263,4.585992691302515,65,1.2411537493426289e-08,0.35489652829477847,28594082.60118843,7.51685393342519e-09,6.06536557847736e-13,True,5,4.613121168374439,0.24193273540905513,0.07761091488599652,1.0170599299841224e-11
11,ERM,common_source_color,0.02,5.622306772434263,2.1404747064191856,65,1.2411537493426289e-08,0.35489652829477847,28594082.60118843,7.51685393342519e-09,6.06536557847736e-13,True,5,4.613121168374439,0.24193273540905513,0.07761091488599652,1.0170599299841224e-11
11,ERM,antisymmetric_source_color,0.02,5.622306772434263,1.043618092040231,65,1.2411537493426289e-08,0.35489652829477847,28594082.60118843,7.51685393342519e-09,6.06536557847736e-13,True,5,4.613121168374439,0.24193273540905513,0.07761091488599652,1.0170599299841224e-11
11,IRMv1,source_env0_color,0.01,3.084551008729416,1.3543636991448684,65,3.0898180638700265e-08,1.1121650085693808,35994514.42057995,2.195854693918842e-08,9.04785029559358e-15,True,5,2.174090978686962,0.22095678546746306,0.10130625832322164,1.5973585429707183e-13
11,IRMv1,source_env1_color,0.01,3.084551008729416,1.0403679861924076,65,3.0898180638700265e-08,1.1121650085693808,35994514.42057995,2.195854693918842e-08,9.04785029559358e-15,True,5,2.174090978686962,0.22095678546746306,0.10130625832322164,1.5973585429707183e-13
11,IRMv1,shared_label_noise,0.01,3.084551008729416,1.9365852764333864,65,3.0898180638700265e-08,1.1121650085693808,35994514.42057995,2.195854693918842e-08,9.04785029559358e-15,True,5,2.174090978686962,0.22095678546746306,0.10130625832322164,1.5973585429707183e-13
11,IRMv1,common_source_color,0.01,3.084551008729416,1.4727096924941059,65,3.0898180638700265e-08,1.1121650085693808,35994514.42057995,2.195854693918842e-08,9.04785029559358e-15,True,5,2.174090978686962,0.22095678546746306,0.10130625832322164,1.5973585429707183e-13
11,IRMv1,antisymmetric_source_color,0.01,3.084551008729416,0.8237426648739143,65,3.0898180638700265e-08,1.1121650085693808,35994514.42057995,2.195854693918842e-08,9.04785029559358e-15,True,5,2.174090978686962,0.22095678546746306,0.10130625832322164,1.5973585429707183e-13
11,IRMv1,source_env0_color,0.02,3.032137287006773,1.2120165864895256,65,3.0898180638700265e-08,1.1121650085693808,35994514.42057995,2.195854693918842e-08,9.04785029559358e-15,True,5,2.149925952562102,0.1674390323645497,0.10130625832322164,9.303542729911603e-14
11,IRMv1,source_env1_color,0.02,3.032137287006773,1.000523498219569,65,3.0898180638700265e-08,1.1121650085693808,35994514.42057995,2.195854693918842e-08,9.04785029559358e-15,True,5,2.149925952562102,0.1674390323645497,0.10130625832322164,9.303542729911603e-14
11,IRMv1,shared_label_noise,0.02,3.032137287006773,1.9956832561546574,65,3.0898180638700265e-08,1.1121650085693808,35994514.42057995,2.195854693918842e-08,9.04785029559358e-15,True,5,2.149925952562102,0.1674390323645497,0.10130625832322164,9.303542729911603e-14
11,IRMv1,common_source_color,0.02,3.032137287006773,1.507426735689122,65,3.0898180638700265e-08,1.1121650085693808,35994514.42057995,2.195854693918842e-08,9.04785029559358e-15,True,5,2.149925952562102,0.1674390323645497,0.10130625832322164,9.303542729911603e-14
11,IRMv1,antisymmetric_source_color,0.02,3.032137287006773,0.6846444540600077,65,3.0898180638700265e-08,1.1121650085693808,35994514.42057995,2.195854693918842e-08,9.04785029559358e-15,True,5,2.149925952562102,0.1674390323645497,0.10130625832322164,9.303542729911603e-14
12,ERM,source_env0_color,0.01,6.028251345763848,1.6992298147153502,65,8.232787497704903e-09,0.323676643475549,39315559.10629079,7.192748600314873e-09,1.3136661394349162e-13,True,5,4.803395626672592,0.37950876382885007,0.05387912121075688,1.643189547214029e-11
12,ERM,source_env1_color,0.01,6.028251345763848,1.922677738547696,65,8.232787497704903e-09,0.323676643475549,39315559.10629079,7.192748600314873e-09,1.3136661394349162e-13,True,5,4.803395626672592,0.37950876382885007,0.05387912121075688,1.643189547214029e-11
12,ERM,shared_label_noise,0.01,6.028251345763848,4.749037019770949,65,8.232787497704903e-09,0.323676643475549,39315559.10629079,7.192748600314873e-09,1.3136661394349162e-13,True,5,4.803395626672592,0.37950876382885007,0.05387912121075688,1.643189547214029e-11
12,ERM,common_source_color,0.01,6.028251345763848,2.379681064868386,65,8.232787497704903e-09,0.323676643475549,39315559.10629079,7.192748600314873e-09,1.3136661394349162e-13,True,5,4.803395626672592,0.37950876382885007,0.05387912121075688,1.643189547214029e-11
12,ERM,antisymmetric_source_color,0.01,6.028251345763848,1.240769137483326,65,8.232787497704903e-09,0.323676643475549,39315559.10629079,7.192748600314873e-09,1.3136661394349162e-13,True,5,4.803395626672592,0.37950876382885007,0.05387912121075688,1.643189547214029e-11
