A_irreducible_operator_norm,A_recoverable_operator_norm,A_target_posthoc_only,E_change_operator_norm,E_operator_norm,O_Pi_source_images_labels_only,PiO_operator_norm,Pi_operator_norm,audit_mode,baseline_E_operator_norm,baseline_Pi_operator_norm,baseline_total_h_condition,baseline_z0_norm,common_base_attribution_status,lambda,method,observed_total_b_norm,observed_total_h_condition,projection_dimension,representation_method,seed,setting,z0_norm
0.0,3.0972829599275724,True,-0.0009210985905165892,3.754330334001396,True,1.0381482480735742,139.76850955928955,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,139.82807881563707,146102482.83323145,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,VREX,1.1765771455152476,146154069.78465846,56,ERM,1,source_only_common_projection_erm,0.0004095924638818752
0.0,2.840092777862171,True,0.0,3.548478039927742,True,0.983247674892452,6.1875556139638554,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,6.1875556139638554,62401.803660941245,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.0,L2,1.1256512313866174,62401.803660941245,56,IRMv1,1,source_only_common_projection_irmv1,0.0
0.0,2.840092777862171,True,-0.0008558883977092258,3.5476221515300326,True,0.9662002198869594,3.8040646874408264,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,6.1875556139638554,62401.803660941245,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,L2,1.1277794432776937,2387.164163264488,56,IRMv1,1,source_only_common_projection_irmv1,0.025614490636037858
0.0,2.840092777862171,True,-0.007302206263418487,3.5411758336643233,True,0.9359098889050065,1.6568257892507119,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,6.1875556139638554,62401.803660941245,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,L2,1.131846616872308,248.12118738804313,56,IRMv1,1,source_only_common_projection_irmv1,0.06081523306246695
0.0,2.840092777862171,True,-0.03945168604675864,3.509026353880983,True,0.8664329996805231,0.8022809251085379,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,6.1875556139638554,62401.803660941245,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,L2,1.1377324403268112,25.800512775818063,56,IRMv1,1,source_only_common_projection_irmv1,0.10442755461377286
0.0,2.840092777862171,True,-7.4752876675354685e-06,3.5484705646400743,True,0.9832334019267815,6.187435153765211,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,6.1875556139638554,62401.803660941245,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,IRMV1,1.1261229929665668,62479.971055363654,56,IRMv1,1,source_only_common_projection_irmv1,4.032733666768211e-06
0.0,2.840092777862171,True,-7.389422087911157e-05,3.5484041457068627,True,0.9831061463527697,6.186357254661803,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,6.1875556139638554,62401.803660941245,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,IRMV1,1.1303975658779506,63186.09263713376,56,IRMv1,1,source_only_common_projection_irmv1,4.0264695782038314e-05
0.0,2.840092777862171,True,-0.0006653833751495419,3.5478126565525923,True,0.9819403993265845,6.176162071497092,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,6.1875556139638554,62401.803660941245,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,IRMV1,1.1758626831101209,70442.85635206901,56,IRMv1,1,source_only_common_projection_irmv1,0.00039746122611308344
0.0,2.840092777862171,True,-8.028451237596101e-06,3.548470011476504,True,0.9832351456842549,6.1874601776978455,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,6.1875556139638554,62401.803660941245,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,VREX,1.1256501576262194,62401.871774198014,56,IRMv1,1,source_only_common_projection_irmv1,4.012084527848711e-06
0.0,2.840092777862171,True,-8.01706146709158e-05,3.548397869313071,True,0.9831229914497306,6.18660511281552,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,6.1875556139638554,62401.803660941245,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,VREX,1.125641169840824,62402.48477193933,56,IRMv1,1,source_only_common_projection_irmv1,4.011679853155039e-05
