A_target_posthoc_only,E00_operator_norm,E0K_operator_norm,EC0_operator_norm,ECK_operator_norm,E_change_operator_norm,O_Pi_source_images_labels_only,Pi00_norm,Pi0K_norm,PiC0_norm,PiCK_norm,audit_mode,common_base_attribution_status,common_base_kind,direction,filtering_norm,interaction_norm,lambda,method,projection_dimension,representation_method,seed,sensing_norm,setting,symmetric_identity_residual
True,3.7414750337097025,NA,NA,3.7414750337097025,0.0,True,1.0436514641126244,NA,NA,1.0436514641126244,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,neutral,NA,NA,0.0,L2,64,ERM,2,NA,source_only_common_projection_erm,NA
True,3.7414750337097025,NA,NA,3.726723539866656,-0.014751493843046415,True,1.0436514641126244,NA,NA,0.9980118342712506,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,L2,64,ERM,2,NA,source_only_common_projection_erm,NA
True,3.7414750337097025,NA,NA,3.7138035416407114,-0.02767149206899111,True,1.0436514641126244,NA,NA,0.9336884040852707,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,L2,64,ERM,2,NA,source_only_common_projection_erm,NA
True,3.7414750337097025,NA,NA,3.6824761733296363,-0.05899886038006619,True,1.0436514641126244,NA,NA,0.7395346308544434,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,L2,64,ERM,2,NA,source_only_common_projection_erm,NA
True,3.7414750337097025,NA,NA,3.741466291404446,-8.7423052566038e-06,True,1.0436514641126244,NA,NA,1.0436315986773321,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,IRMV1,64,ERM,2,NA,source_only_common_projection_erm,NA
True,3.7414750337097025,NA,NA,3.7413883851251954,-8.664858450702084e-05,True,1.0436514641126244,NA,NA,1.043453836079741,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,IRMV1,64,ERM,2,NA,source_only_common_projection_erm,NA
True,3.7414750337097025,NA,NA,3.7414654061772423,-9.627532460143584e-06,True,1.0436514641126244,NA,NA,1.043634161619936,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,VREX,64,ERM,2,NA,source_only_common_projection_erm,NA
True,3.7414750337097025,NA,NA,3.7413788628998184,-9.617080988411075e-05,True,1.0436514641126244,NA,NA,1.04347905000327,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,VREX,64,ERM,2,NA,source_only_common_projection_erm,NA
True,3.7414750337097025,NA,NA,3.740523728222932,-0.0009513054867702486,True,1.0436514641126244,NA,NA,1.0419881761080456,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,VREX,64,ERM,2,NA,source_only_common_projection_erm,NA
True,3.5320745830704396,NA,NA,3.5320745830704396,0.0,True,1.0004508833139,NA,NA,1.0004508833139,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,neutral,NA,NA,0.0,L2,64,IRMv1,2,NA,source_only_common_projection_irmv1,NA
