A_target_posthoc_only,E_change_operator_norm,E_operator_norm,O_Pi_source_images_labels_only,audit_mode,baseline_E_operator_norm,common_base_attribution_status,decomposition_residual,dim_kernel_O,head_method,lambda,method,norm_A_irr,norm_A_rec,norm_E,norm_PiO,projection_dimension,rank_A,rank_A_irr,rank_O,representation_method,seed,setting,slack_ratio,snapshot_passes,support_compatible,target_accuracy
True,-0.0008558883977092258,3.5476221515300326,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.001,L2,0.0,2.8400927778621705,3.5476221515300326,0.9662002198869594,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-0.007302206263418487,3.5411758336643233,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.01,L2,0.0,2.8400927778621705,3.541175833664323,0.9359098889050067,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-0.03945168604675864,3.509026353880983,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.1,L2,0.0,2.8400927778621705,3.509026353880983,0.8664329996805229,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-7.4752876675354685e-06,3.5484705646400743,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.001,IRMV1,0.0,2.8400927778621705,3.5484705658174525,0.9832334028476549,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-7.389422087911157e-05,3.5484041457068627,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.01,IRMV1,0.0,2.8400927778621705,3.5484042634378326,0.9831062388988053,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-0.0006653833751495419,3.5478126565525923,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.1,IRMV1,0.0,2.8400927778621705,3.5478244373996017,0.9819501370822811,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-8.028451237596101e-06,3.548470011476504,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.001,VREX,0.0,2.8400927778621705,3.5484700121668977,0.9832351456842553,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-8.01706146709158e-05,3.548397869313071,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.01,VREX,0.0,2.8400927778621705,3.548397938325677,0.9831229914497305,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-0.0007903611550585943,3.547687678772683,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.1,VREX,0.0,2.8400927778621705,3.5476945532945474,0.9820615117837194,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,0.0,3.7414750337097025,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.0,L2,0.0,3.077657387158274,3.7414750337097025,1.0436514641126244,64,1,0,2,ERM,2,source_only_common_projection_erm,inf,True,False,0.11299999803304672
True,-0.014751493843046415,3.726723539866656,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.001,L2,0.0,3.077657387158274,3.7267235398666556,0.998011834271251,64,1,0,2,ERM,2,source_only_common_projection_erm,inf,True,False,0.11299999803304672
True,-0.02767149206899111,3.7138035416407114,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.01,L2,0.0,3.077657387158274,3.7138035416407114,0.9336884040852705,64,1,0,2,ERM,2,source_only_common_projection_erm,inf,True,False,0.11299999803304672
True,-0.05899886038006619,3.6824761733296363,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.1,L2,0.0,3.077657387158274,3.6824761733296363,0.7395346308544432,64,1,0,2,ERM,2,source_only_common_projection_erm,inf,True,False,0.11299999803304672
True,-8.7423052566038e-06,3.741466291404446,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.001,IRMV1,0.0,3.077657387158274,3.7414662926947666,1.0436315998196972,64,1,0,2,ERM,2,source_only_common_projection_erm,inf,True,False,0.11299999803304672
True,-8.664858450702084e-05,3.7413883851251954,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.01,IRMV1,0.0,3.077657387158274,3.741388514145468,1.043453950700347,64,1,0,2,ERM,2,source_only_common_projection_erm,inf,True,False,0.11299999803304672
True,-9.627532460143584e-06,3.7414654061772423,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.001,VREX,0.0,3.077657387158274,3.741465407037893,1.0436341616199358,64,1,0,2,ERM,2,source_only_common_projection_erm,inf,True,False,0.11299999803304672
True,-9.617080988411075e-05,3.7413788628998184,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.01,VREX,0.0,3.077657387158274,3.7413789489244555,1.0434790500032698,64,1,0,2,ERM,2,source_only_common_projection_erm,inf,True,False,0.11299999803304672
True,-0.0009513054867702486,3.740523728222932,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.1,VREX,0.0,3.077657387158274,3.7405322903737543,1.0419881761080456,64,1,0,2,ERM,2,source_only_common_projection_erm,inf,True,False,0.11299999803304672
True,0.0,3.5320745830704396,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.0,L2,0.0,2.8173326941129253,3.53207458307044,1.0004508833139,64,1,0,2,IRMv1,2,source_only_common_projection_irmv1,inf,True,False,0.6786999702453613
True,0.00181006274197415,3.533884645812414,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.001,L2,0.0,2.8173326941129253,3.533884645812414,0.9893783519002771,64,1,0,2,IRMv1,2,source_only_common_projection_irmv1,inf,True,False,0.6786999702453613
True,-4.505910940144631e-05,3.532029523961038,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.01,L2,0.0,2.8173326941129253,3.5320295239610386,0.9641842473561013,64,1,0,2,IRMv1,2,source_only_common_projection_irmv1,inf,True,False,0.6786999702453613
True,-0.009205032399556945,3.5228695506708827,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.1,L2,0.0,2.8173326941129253,3.5228695506708827,0.9081635458536893,64,1,0,2,IRMv1,2,source_only_common_projection_irmv1,inf,True,False,0.6786999702453613
True,-7.919988612936635e-06,3.5320666630818267,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.001,IRMV1,0.0,2.8173326941129253,3.532066664283661,1.000435770011295,64,1,0,2,IRMv1,2,source_only_common_projection_irmv1,inf,True,False,0.6786999702453613
True,-0.0007110809351993375,3.5313635021352403,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.1,IRMV1,0.0,2.8173326941129253,3.531375535321112,0.9990673056543972,64,1,0,2,IRMv1,2,source_only_common_projection_irmv1,inf,True,False,0.6786999702453613
True,-8.584328262450924e-06,3.532065998742177,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.001,VREX,0.0,2.8173326941129253,3.532065999476207,1.0004374550675974,64,1,0,2,IRMv1,2,source_only_common_projection_irmv1,inf,True,False,0.6786999702453613
True,-8.572360603498197e-05,3.5319888594644047,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.01,VREX,0.0,2.8173326941129253,3.5319889328379706,1.0003172273389738,64,1,0,2,IRMv1,2,source_only_common_projection_irmv1,inf,True,False,0.6786999702453613
True,-0.000845317498165965,3.5312292655722737,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.1,VREX,0.0,2.8173326941129253,3.5312365734645357,0.9991767660361448,64,1,0,2,IRMv1,2,source_only_common_projection_irmv1,inf,True,False,0.6786999702453613
True,0.0,3.788726704943546,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.0,L2,0.0,3.1394539588674504,3.788726704943546,1.0339407037318866,64,1,0,2,ERM,3,source_only_common_projection_erm,inf,True,False,0.10909999907016754
True,-0.011590638796856734,3.777136066146689,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.001,L2,0.0,3.1394539588674504,3.777136066146688,0.9626844732125319,64,1,0,2,ERM,3,source_only_common_projection_erm,inf,True,False,0.10909999907016754
True,-0.033015329856060927,3.755711375087485,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.01,L2,0.0,3.1394539588674504,3.755711375087485,0.8390197616767369,64,1,0,2,ERM,3,source_only_common_projection_erm,inf,True,False,0.10909999907016754
True,-0.04929560621948248,3.7394310987240633,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.1,L2,0.0,3.1394539588674504,3.739431098724063,0.6508303277236984,64,1,0,2,ERM,3,source_only_common_projection_erm,inf,True,False,0.10909999907016754
True,-8.414173369164502e-06,3.7887182907701766,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.001,IRMV1,0.0,3.1394539588674504,3.7887182920926623,1.0339211338183634,64,1,0,2,ERM,3,source_only_common_projection_erm,inf,True,False,0.10909999907016754
True,-0.0007679012574883792,3.7879588036860574,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.1,IRMV1,0.0,3.1394539588674504,3.787971994390183,1.0321028777858379,64,1,0,2,ERM,3,source_only_common_projection_erm,inf,True,False,0.10909999907016754
True,-9.120421140984547e-06,3.788717584522405,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.001,VREX,0.0,3.1394539588674504,3.788717585372248,1.0339240134667156,64,1,0,2,ERM,3,source_only_common_projection_erm,inf,True,False,0.10909999907016754
True,-9.110631191866503e-05,3.788635598631627,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.01,VREX,0.0,3.1394539588674504,3.788635683576612,1.0337744008076952,64,1,0,2,ERM,3,source_only_common_projection_erm,inf,True,False,0.10909999907016754
True,-0.0009013179670747107,3.787825386976471,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.788726704943546,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.1,VREX,0.0,3.1394539588674504,3.7878338424391957,1.0323374274324295,64,1,0,2,ERM,3,source_only_common_projection_erm,inf,True,False,0.10909999907016754
True,0.0,3.5350199446707813,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5350199446707813,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.0,L2,0.0,2.811472318031265,3.5350199446707817,0.9951293848386034,64,1,0,2,IRMv1,3,source_only_common_projection_irmv1,inf,True,False,0.6481000185012817
True,4.9777079886403897e-05,3.5350697217506677,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5350199446707813,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.001,L2,0.0,2.811472318031265,3.5350697217506677,0.9753067747652208,64,1,0,2,IRMv1,3,source_only_common_projection_irmv1,inf,True,False,0.6481000185012817
True,-0.006918350513095195,3.528101594157686,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5350199446707813,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.01,L2,0.0,2.811472318031265,3.528101594157687,0.9455579443429771,64,1,0,2,IRMv1,3,source_only_common_projection_irmv1,inf,True,False,0.6481000185012817
True,-0.04696803716948361,3.4880519075012977,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5350199446707813,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.1,L2,0.0,2.811472318031265,3.488051907501298,0.8676364196569344,64,1,0,2,IRMv1,3,source_only_common_projection_irmv1,inf,True,False,0.6481000185012817
True,-8.010918724377092e-06,3.535011933752057,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5350199446707813,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.001,IRMV1,0.0,2.811472318031265,3.535011934959859,0.9951145432890242,64,1,0,2,IRMv1,3,source_only_common_projection_irmv1,inf,True,False,0.6481000185012817
True,-7.922890439315822e-05,3.534940715766388,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5350199446707813,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.01,IRMV1,0.0,2.811472318031265,3.5349408365143544,0.99498231799598,64,1,0,2,IRMv1,3,source_only_common_projection_irmv1,inf,True,False,0.6481000185012817
True,-0.0007169083301357126,3.5343030363406456,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5350199446707813,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.1,IRMV1,0.0,2.811472318031265,3.5343151003231084,0.9937811342073329,64,1,0,2,IRMv1,3,source_only_common_projection_irmv1,inf,True,False,0.6481000185012817
True,-8.488439888321153e-06,3.535011456230893,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5350199446707813,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.001,VREX,0.0,2.811472318031265,3.535011456933041,0.9951163331885722,64,1,0,2,IRMv1,3,source_only_common_projection_irmv1,inf,True,False,0.6481000185012817
True,-8.47631644411706e-05,3.53493518150634,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5350199446707813,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.01,VREX,0.0,2.811472318031265,3.534935251693338,0.9949994950258808,64,1,0,2,IRMv1,3,source_only_common_projection_irmv1,inf,True,False,0.6481000185012817
True,-0.0008355570912601529,3.534184387579521,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.5350199446707813,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.1,VREX,0.0,2.811472318031265,3.5341913784607226,0.9938929520661238,64,1,0,2,IRMv1,3,source_only_common_projection_irmv1,inf,True,False,0.6481000185012817
True,0.0,3.6874209638329005,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.6874209638329005,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.0,L2,0.0,3.014976408695572,3.687420963832899,1.0448136426055807,62,1,0,2,ERM,4,source_only_common_projection_erm,inf,True,False,0.10999999940395355
