A_irreducible_operator_norm,A_recoverable_operator_norm,A_target_posthoc_only,E_operator_norm,O_Pi_source_images_labels_only,PiO_operator_norm,adaptive_regret,audit_mode,common_base_attribution_status,decomposition_residual,dim_kernel_O,full_observation_recoverable_residual,information_floor,lambda,method,projection_dimension,rank_A,rank_O,representation_method,response_dimension,seed,setting,slack_ratio,snapshot_passes,source_dimension,source_state_dimension,spectral_gap_min,support_compatible,total_regret,world_dimension,zero_observation_E_norm
0.0,2.840092777862171,True,3.5478126565525923,True,0.9819403993265845,6.293487322997381,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,IRMV1,56,1,2,IRMv1,57,1,source_only_common_projection_irmv1,inf,True,57,3422,-12.586974645994765,False,6.294305491816981,2,0.0
0.0,2.840092777862171,True,3.548470011476504,True,0.9832351456842549,6.295819711174031,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,VREX,56,1,2,IRMv1,57,1,source_only_common_projection_irmv1,inf,True,57,3422,-12.59163942234805,False,6.295830916741897,2,0.0
0.0,2.840092777862171,True,3.548397869313071,True,0.9831229914497306,6.295563719472771,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,VREX,56,1,2,IRMv1,57,1,source_only_common_projection_irmv1,inf,True,57,3422,-12.591127438945549,False,6.2956757612526495,2,0.0
0.0,2.840092777862171,True,3.547687678772683,True,0.9820615117837194,6.293043933057755,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,VREX,56,1,2,IRMv1,57,1,source_only_common_projection_irmv1,inf,True,57,3422,-12.586087866115516,False,6.2941629703580055,2,0.0
0.0,3.0776573871582737,True,3.7414750337097025,True,1.0436514641126244,6.9993177139365095,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.0,L2,64,1,2,ERM,65,2,source_only_common_projection_erm,inf,True,65,4422,-13.998635427873019,False,6.999317713936508,2,0.0
0.0,3.0776573871582737,True,3.726723539866656,True,0.9980118342712506,6.94423417129813,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,L2,64,1,2,ERM,65,2,source_only_common_projection_erm,inf,True,65,4422,-13.888468342596257,False,6.96187235930313,2,0.0
0.0,3.0776573871582737,True,3.7138035416407114,True,0.9336884040852707,6.8961683729515455,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,L2,64,1,2,ERM,65,2,source_only_common_projection_erm,inf,True,65,4422,-13.79233674590309,False,6.924640271640095,2,0.0
0.0,3.0776573871582737,True,3.6824761733296363,True,0.7395346308544434,6.78031538357024,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,L2,64,1,2,ERM,65,2,source_only_common_projection_erm,inf,True,65,4422,-13.56063076714048,False,6.8602727681718205,2,0.0
0.0,3.0776573871582737,True,3.741466291404446,True,1.0436315986773321,6.999285004857869,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,IRMV1,64,1,2,ERM,65,2,source_only_common_projection_erm,inf,True,65,4422,-13.998570009715742,False,6.999292323718166,2,0.0
0.0,3.0776573871582737,True,3.7413883851251954,True,1.043453836079741,6.998993524174859,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,IRMV1,64,1,2,ERM,65,2,source_only_common_projection_erm,inf,True,65,4422,-13.997987048349728,False,6.9990664160528615,2,0.0
0.0,3.0776573871582737,True,3.7414654061772423,True,1.043634161619936,6.999281692810518,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,VREX,64,1,2,ERM,65,2,source_only_common_projection_erm,inf,True,65,4422,-13.998563385621026,False,6.999292678133191,2,0.0
0.0,3.0776573871582737,True,3.7413788628998184,True,1.04347905000327,6.998957897876769,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,VREX,64,1,2,ERM,65,2,source_only_common_projection_erm,inf,True,65,4422,-13.997915795753554,False,6.999067733778125,2,0.0
0.0,3.0776573871582737,True,3.740523728222932,True,1.0419881761080456,6.995758880699392,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,VREX,64,1,2,ERM,65,2,source_only_common_projection_erm,inf,True,65,4422,-13.991517761398791,False,6.996855518055886,2,0.0
0.0,2.8173326941129253,True,3.5320745830704396,True,1.0004508833139,6.23777543018611,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.0,L2,64,1,2,IRMv1,65,2,source_only_common_projection_irmv1,inf,True,65,4422,-12.475550860372218,False,6.237775430186108,2,0.0
0.0,2.8173326941129253,True,3.533884645812414,True,0.9893783519002771,6.244170344954365,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,L2,64,1,2,IRMv1,65,2,source_only_common_projection_irmv1,inf,True,65,4422,-12.488340689908744,False,6.257672977358048,2,0.0
0.0,2.8173326941129253,True,3.532029523961038,True,0.9641842473561013,6.237616279066219,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,L2,64,1,2,IRMv1,65,2,source_only_common_projection_irmv1,inf,True,65,4422,-12.475232558132424,False,6.279077211958944,2,0.0
