PiO_singular_value,lambda,method,mode,setting
1.84046287011935e-11,0.01,VREX,1,mechanism_defined_hidden
0.0,0.01,VREX,2,mechanism_defined_hidden
4.984703826546732,0.0,L2,0,mechanism_defined_exposed
1.839263994045675e-11,0.0,L2,1,mechanism_defined_exposed
1.9930669208512977e-15,0.0,L2,2,mechanism_defined_exposed
5.229038993866224,0.01,L2,0,mechanism_defined_exposed
1.620898983700833e-11,0.01,L2,1,mechanism_defined_exposed
1.1962511916895447e-15,0.01,L2,2,mechanism_defined_exposed
4.976708532835254,0.01,IRMV1,0,mechanism_defined_exposed
0.08677735410354201,0.01,IRMV1,1,mechanism_defined_exposed
2.7383814383610924e-15,0.01,IRMV1,2,mechanism_defined_exposed
4.9772048633391615,0.01,VREX,0,mechanism_defined_exposed
1.8404702557174662e-11,0.01,VREX,1,mechanism_defined_exposed
1.8561206987737948e-15,0.01,VREX,2,mechanism_defined_exposed
3.6766961343421842,0.0,L2,0,mechanism_defined_hidden
8.52668650414139e-12,0.0,L2,1,mechanism_defined_hidden
0.0,0.0,L2,2,mechanism_defined_hidden
3.6499629523518435,0.01,L2,0,mechanism_defined_hidden
7.764409375816171e-12,0.01,L2,1,mechanism_defined_hidden
0.0,0.01,L2,2,mechanism_defined_hidden
3.6809169046849326,0.01,IRMV1,0,mechanism_defined_hidden
0.06052191554331124,0.01,IRMV1,1,mechanism_defined_hidden
0.0,0.01,IRMV1,2,mechanism_defined_hidden
3.668073327788273,0.01,VREX,0,mechanism_defined_hidden
8.54715414411704e-12,0.01,VREX,1,mechanism_defined_hidden
0.0,0.01,VREX,2,mechanism_defined_hidden
6.368224508672746,0.0,L2,0,mechanism_defined_exposed
8.52668652510103e-12,0.0,L2,1,mechanism_defined_exposed
1.2638470865505684e-15,0.0,L2,2,mechanism_defined_exposed
6.321921279217497,0.01,L2,0,mechanism_defined_exposed
7.764409381935164e-12,0.01,L2,1,mechanism_defined_exposed
2.105036168770517e-15,0.01,L2,2,mechanism_defined_exposed
6.375364295074852,0.01,IRMV1,0,mechanism_defined_exposed
0.060523536984942276,0.01,IRMV1,1,mechanism_defined_exposed
1.7924873640422753e-15,0.01,IRMV1,2,mechanism_defined_exposed
6.353224351447788,0.01,VREX,0,mechanism_defined_exposed
8.547242976671433e-12,0.01,VREX,1,mechanism_defined_exposed
1.1197165630747447e-15,0.01,VREX,2,mechanism_defined_exposed
