method,seed,semantic_direction,alpha,local_response_acc_slope,local_response_loss_slope,finite_accuracy,finite_loss,accuracy_change,loss_change,base_accuracy,base_loss,target_posthoc,source_only_geometry
IRMv1,11,source_label_noise,0.1,-0.5253906250000051,0.34518689205796926,0.5822265625,0.674808407258306,-0.05253906250000007,0.03451868920579715,0.6347656250000001,0.6402897180525089,0.663100004196167,True
VREX,11,source_color_common,0.02,-0.24583009189688143,0.026238211344126183,0.6900052731620622,0.6718189658578478,-0.004916601837937851,0.0005247642268823016,0.694921875,0.6712942016309655,0.4814999997615814,True
VREX,11,source_color_common,0.05,-0.24583009189688143,0.026238211344126183,0.6826303704051557,0.6726061121981716,-0.012291504594844294,0.0013119105672060316,0.694921875,0.6712942016309655,0.4814999997615814,True
VREX,11,source_color_common,0.1,-0.24583009189688143,0.026238211344126183,0.6703388658103114,0.6739180227653777,-0.024583009189688587,0.0026238211344121742,0.694921875,0.6712942016309655,0.4814999997615814,True
VREX,11,source_color_contrast,0.02,5.551115123125783e-15,5.551115123125783e-15,0.6949218749999999,0.6712942016309654,-1.1102230246251565e-16,-1.1102230246251565e-16,0.694921875,0.6712942016309655,0.4814999997615814,True
VREX,11,source_color_contrast,0.05,5.551115123125783e-15,5.551115123125783e-15,0.694921875,0.6712942016309654,0.0,-1.1102230246251565e-16,0.694921875,0.6712942016309655,0.4814999997615814,True
VREX,11,source_color_contrast,0.1,5.551115123125783e-15,5.551115123125783e-15,0.6949218749999998,0.6712942016309654,-2.220446049250313e-16,-1.1102230246251565e-16,0.694921875,0.6712942016309655,0.4814999997615814,True
VREX,11,source_label_noise,0.02,-0.29296875,0.03917331963931292,0.6890625,0.6720776680237517,-0.005859375,0.0007834663927861474,0.694921875,0.6712942016309655,0.4814999997615814,True
VREX,11,source_label_noise,0.05,-0.29296875,0.03917331963931292,0.6802734375,0.6732528676129311,-0.0146484375,0.0019586659819655905,0.694921875,0.6712942016309655,0.4814999997615814,True
VREX,11,source_label_noise,0.1,-0.29296875,0.03917331963931292,0.6656250000000001,0.6752115335948967,-0.02929687499999989,0.003917331963931181,0.694921875,0.6712942016309655,0.4814999997615814,True
FISHR,11,source_color_common,0.02,-0.15744174424857094,0.028662700270692953,0.6929449151150286,0.6672800280399965,-0.0031488348849715297,0.000573254005413748,0.6960937500000002,0.6667067740345828,0.5764999985694885,True
