method,seed,semantic_direction,direction_index,logical_checkpoint,response_schedule,outcome_schedule,state_gate_pass,A_norm_0,A_norm_1,A_norm_2,A_cos_0_1,A_cos_0_2,A_cos_1_2,O_norm_0,O_norm_1,O_norm_2,O_cos_0_1,O_cos_0_2,O_cos_1_2,R_full_norm_0,R_full_alloc_0_source,R_full_alloc_0_counterfactual,R_full_alloc_0_clean,R_full_norm_1,R_full_alloc_1_source,R_full_alloc_1_counterfactual,R_full_alloc_1_clean,R_full_norm_2,R_full_alloc_2_source,R_full_alloc_2_counterfactual,R_full_alloc_2_clean,R_full_cos_0_1,R_full_cos_0_2,R_full_cos_1_2,R_color_only_norm_0,R_color_only_alloc_0_source,R_color_only_alloc_0_counterfactual,R_color_only_alloc_0_clean,R_color_only_norm_1,R_color_only_alloc_1_source,R_color_only_alloc_1_counterfactual,R_color_only_alloc_1_clean,R_color_only_cos_0_1,R_noise_only_norm_2,R_noise_only_alloc_2_source,R_noise_only_alloc_2_counterfactual,R_noise_only_alloc_2_clean,method_identity_ERM,method_identity_CORAL,method_identity_IRMv1,method_identity_VREX,method_identity_FISHR
VREX,10,source_label_noise,2,300,probe_A,independent_B,True,0.9807695148564678,0.9866865202267718,1.379703345107411,0.9756558766524471,-0.2606291257277624,-0.26627305813438584,0.5583567954181203,0.5656817380723433,0.21779770401276327,0.0,-0.0429780479797874,-0.1270536325231177,19.11018080618058,0.6070654136350154,0.7900417680982142,0.08547273383012306,18.483460748058445,0.6079531185815892,0.7879830029205285,0.09734368348930156,6.483766278833713,0.5601788936217852,0.7097216396715689,0.4271941026308415,-0.9930178463282457,-0.14576783945804495,0.25605254879731704,19.11018080618058,0.6070654136350154,0.7900417680982142,0.08547273383012306,18.483460748058445,0.6079531185815892,0.7879830029205285,0.09734368348930156,-0.9930178463282457,6.483766278833713,0.5601788936217852,0.7097216396715689,0.4271941026308415,0.0,0.0,0.0,1.0,0.0
FISHR,10,source_env0_color,0,300,probe_A,independent_B,True,0.94099114501268,0.9604938314076998,1.2411870085699825,0.9746150162335557,-0.2286591527982685,-0.24298460870238164,0.15890869720074646,0.16094203631976553,0.11841184010361214,0.0,0.019329267504939938,-0.014329589895655248,29.536082820523298,0.635402551943679,0.7620983487134162,0.12437726428791436,26.71102807324932,0.6360064217489048,0.7608166253829302,0.12904996720295456,1.3615556304975465,0.644989701663246,0.7486605382046962,0.15328301694387086,-0.999435464960404,0.8878409498033683,-0.8912749456802037,29.536082820523298,0.635402551943679,0.7620983487134162,0.12437726428791436,26.71102807324932,0.6360064217489048,0.7608166253829302,0.12904996720295456,-0.999435464960404,1.3615556304975465,0.644989701663246,0.7486605382046962,0.15328301694387086,0.0,0.0,0.0,0.0,1.0
FISHR,10,source_env1_color,1,300,probe_A,independent_B,True,0.94099114501268,0.9604938314076998,1.2411870085699825,0.9746150162335557,-0.2286591527982685,-0.24298460870238164,0.15890869720074646,0.16094203631976553,0.11841184010361214,0.0,0.019329267504939938,-0.014329589895655248,29.536082820523298,0.635402551943679,0.7620983487134162,0.12437726428791436,26.71102807324932,0.6360064217489048,0.7608166253829302,0.12904996720295456,1.3615556304975465,0.644989701663246,0.7486605382046962,0.15328301694387086,-0.999435464960404,0.8878409498033683,-0.8912749456802037,29.536082820523298,0.635402551943679,0.7620983487134162,0.12437726428791436,26.71102807324932,0.6360064217489048,0.7608166253829302,0.12904996720295456,-0.999435464960404,1.3615556304975465,0.644989701663246,0.7486605382046962,0.15328301694387086,0.0,0.0,0.0,0.0,1.0
FISHR,10,source_label_noise,2,300,probe_A,independent_B,True,0.94099114501268,0.9604938314076998,1.2411870085699825,0.9746150162335557,-0.2286591527982685,-0.24298460870238164,0.15890869720074646,0.16094203631976553,0.11841184010361214,0.0,0.019329267504939938,-0.014329589895655248,29.536082820523298,0.635402551943679,0.7620983487134162,0.12437726428791436,26.71102807324932,0.6360064217489048,0.7608166253829302,0.12904996720295456,1.3615556304975465,0.644989701663246,0.7486605382046962,0.15328301694387086,-0.999435464960404,0.8878409498033683,-0.8912749456802037,29.536082820523298,0.635402551943679,0.7620983487134162,0.12437726428791436,26.71102807324932,0.6360064217489048,0.7608166253829302,0.12904996720295456,-0.999435464960404,1.3615556304975465,0.644989701663246,0.7486605382046962,0.15328301694387086,0.0,0.0,0.0,0.0,1.0
ERM,11,source_env0_color,0,300,probe_A,independent_B,True,1.401996120346311,1.40928432255426,1.350115328715976,0.9646753979886854,-0.2861404925920246,-0.2722489341579066,1.073583815566803,1.0899343132767678,0.1819846229054667,0.0,0.6435351303898434,0.13503561461568747,128.4667876112121,0.5827146809526159,0.799748171105418,0.1443830440731525,127.71055949676847,0.5899476252190594,0.7891920117206465,0.17069788556016832,146.27069486619777,0.5340945736458776,0.7064908766510285,0.4643421449867433,0.9952408688232172,0.1926310296965589,0.19115058703016896,128.4667876112121,0.5827146809526159,0.799748171105418,0.1443830440731525,127.71055949676847,0.5899476252190594,0.7891920117206465,0.17069788556016832,0.9952408688232172,146.27069486619777,0.5340945736458776,0.7064908766510285,0.4643421449867433,1.0,0.0,0.0,0.0,0.0
ERM,11,source_env1_color,1,300,probe_A,independent_B,True,1.401996120346311,1.40928432255426,1.350115328715976,0.9646753979886854,-0.2861404925920246,-0.2722489341579066,1.073583815566803,1.0899343132767678,0.1819846229054667,0.0,0.6435351303898434,0.13503561461568747,128.4667876112121,0.5827146809526159,0.799748171105418,0.1443830440731525,127.71055949676847,0.5899476252190594,0.7891920117206465,0.17069788556016832,146.27069486619777,0.5340945736458776,0.7064908766510285,0.4643421449867433,0.9952408688232172,0.1926310296965589,0.19115058703016896,128.4667876112121,0.5827146809526159,0.799748171105418,0.1443830440731525,127.71055949676847,0.5899476252190594,0.7891920117206465,0.17069788556016832,0.9952408688232172,146.27069486619777,0.5340945736458776,0.7064908766510285,0.4643421449867433,1.0,0.0,0.0,0.0,0.0
ERM,11,source_label_noise,2,300,probe_A,independent_B,True,1.401996120346311,1.40928432255426,1.350115328715976,0.9646753979886854,-0.2861404925920246,-0.2722489341579066,1.073583815566803,1.0899343132767678,0.1819846229054667,0.0,0.6435351303898434,0.13503561461568747,128.4667876112121,0.5827146809526159,0.799748171105418,0.1443830440731525,127.71055949676847,0.5899476252190594,0.7891920117206465,0.17069788556016832,146.27069486619777,0.5340945736458776,0.7064908766510285,0.4643421449867433,0.9952408688232172,0.1926310296965589,0.19115058703016896,128.4667876112121,0.5827146809526159,0.799748171105418,0.1443830440731525,127.71055949676847,0.5899476252190594,0.7891920117206465,0.17069788556016832,0.9952408688232172,146.27069486619777,0.5340945736458776,0.7064908766510285,0.4643421449867433,1.0,0.0,0.0,0.0,0.0
CORAL,11,source_env0_color,0,300,probe_A,independent_B,True,1.4066611790046293,1.4117170442596014,1.3541637378453697,0.9614704957047602,-0.28886244201905414,-0.27311260801655857,1.0549662303721594,1.0704417355046654,0.18193669216002983,0.0,0.6460022650703354,0.1436823494103368,126.61132641482565,0.583697221851366,0.8039174218341617,0.11408037550126299,125.64542075567819,0.5917605716646014,0.7937951253364892,0.14038776590291377,148.37468060898382,0.5329731193466455,0.7061181300647935,0.4661939944354766,0.9951107011836262,0.1974053247496859,0.19972956123003574,126.61132641482565,0.583697221851366,0.8039174218341617,0.11408037550126299,125.64542075567819,0.5917605716646014,0.7937951253364892,0.14038776590291377,0.9951107011836262,148.37468060898382,0.5329731193466455,0.7061181300647935,0.4661939944354766,0.0,1.0,0.0,0.0,0.0
CORAL,11,source_env1_color,1,300,probe_A,independent_B,True,1.4066611790046293,1.4117170442596014,1.3541637378453697,0.9614704957047602,-0.28886244201905414,-0.27311260801655857,1.0549662303721594,1.0704417355046654,0.18193669216002983,0.0,0.6460022650703354,0.1436823494103368,126.61132641482565,0.583697221851366,0.8039174218341617,0.11408037550126299,125.64542075567819,0.5917605716646014,0.7937951253364892,0.14038776590291377,148.37468060898382,0.5329731193466455,0.7061181300647935,0.4661939944354766,0.9951107011836262,0.1974053247496859,0.19972956123003574,126.61132641482565,0.583697221851366,0.8039174218341617,0.11408037550126299,125.64542075567819,0.5917605716646014,0.7937951253364892,0.14038776590291377,0.9951107011836262,148.37468060898382,0.5329731193466455,0.7061181300647935,0.4661939944354766,0.0,1.0,0.0,0.0,0.0
CORAL,11,source_label_noise,2,300,probe_A,independent_B,True,1.4066611790046293,1.4117170442596014,1.3541637378453697,0.9614704957047602,-0.28886244201905414,-0.27311260801655857,1.0549662303721594,1.0704417355046654,0.18193669216002983,0.0,0.6460022650703354,0.1436823494103368,126.61132641482565,0.583697221851366,0.8039174218341617,0.11408037550126299,125.64542075567819,0.5917605716646014,0.7937951253364892,0.14038776590291377,148.37468060898382,0.5329731193466455,0.7061181300647935,0.4661939944354766,0.9951107011836262,0.1974053247496859,0.19972956123003574,126.61132641482565,0.583697221851366,0.8039174218341617,0.11408037550126299,125.64542075567819,0.5917605716646014,0.7937951253364892,0.14038776590291377,0.9951107011836262,148.37468060898382,0.5329731193466455,0.7061181300647935,0.4661939944354766,0.0,1.0,0.0,0.0,0.0
