method,semantic_direction,alpha,accuracy_change,accuracy_change,loss_change,loss_change,finite_accuracy,finite_accuracy
,,,mean,std,mean,std,mean,std
ERM,source_label_noise,0.05,-0.0007226562500000755,0.00031341419015394584,0.017937375122761223,0.00029502632139315676,0.84755859375,0.000759587362602697
ERM,source_label_noise,0.1,-0.0014453125000000622,0.0006268283803079141,0.03587475024552258,0.0005900526427863122,0.8468359375000001,0.001018625375812906
FISHR,source_color_common,0.02,-0.002850524211658412,0.0005973497988838576,0.00041779467431015684,0.0001364982447094444,0.6768760382883416,0.015115955955354289
FISHR,source_color_common,0.05,-0.007126310529145696,0.0014933744972096357,0.001044486685775592,0.00034124561177341936,0.6726002519708544,0.014554696630798477
FISHR,source_color_common,0.1,-0.014252621058291347,0.002986748994419255,0.0020889733715512503,0.0006824912235469012,0.6654739414417088,0.013698634157734696
FISHR,source_color_contrast,0.02,-8.881784197001253e-17,1.6467268631127714e-16,-1.1102230246251565e-16,7.850462293418876e-17,0.6797265625,0.01550761571033818
FISHR,source_color_contrast,0.05,-4.4408920985006264e-17,9.930136612989092e-17,-1.1102230246251565e-16,1.7554167342883506e-16,0.6797265625000001,0.015507615710338176
FISHR,source_color_contrast,0.1,-1.1102230246251565e-16,7.850462293418876e-17,-6.661338147750939e-17,1.2658490090568387e-16,0.6797265625,0.015507615710338273
FISHR,source_label_noise,0.02,-0.008734375000000072,0.0009907562265211978,0.0009533237159046637,0.0001508696234632124,0.6709921875,0.01508122640545451
FISHR,source_label_noise,0.05,-0.021835937500000104,0.002476890566303168,0.0023833092897616037,0.00037717405865790804,0.657890625,0.014545110839337504
FISHR,source_label_noise,0.1,-0.04367187500000005,0.004953781132606275,0.004766618579523274,0.0007543481173158682,0.6360546875,0.013960813994627161
Full-BIRM (Official),source_color_common,0.02,-0.0003369805754093624,0.0006196056268405781,0.0006013665113222099,0.0004510481233480219,0.6655223944245907,0.010417210784278368
Full-BIRM (Official),source_color_common,0.05,-0.0008424514385231063,0.0015490140671014386,0.0015034162783056804,0.0011276203083702098,0.665016923561477,0.009603227900047624
Full-BIRM (Official),source_color_common,0.1,-0.001684902877046146,0.0030980281342028633,0.003006832556611427,0.00225524061674043,0.6641744721229539,0.008300638934563516
Full-BIRM (Official),source_color_contrast,0.02,-6.661338147750939e-17,6.080941944488117e-17,-6.661338147750939e-17,6.080941944488117e-17,0.665859375,0.010970061742701044
Full-BIRM (Official),source_color_contrast,0.05,-1.554312234475219e-16,9.930136612989092e-17,-4.4408920985006264e-17,6.080941944488117e-17,0.6658593749999999,0.010970061742700892
Full-BIRM (Official),source_color_contrast,0.1,-1.1102230246251565e-16,7.850462293418876e-17,-4.4408920985006264e-17,6.080941944488118e-17,0.6658593749999999,0.010970061742700968
Full-BIRM (Official),source_label_noise,0.02,-0.012601562500000153,0.0005843729110925432,0.009270521377605445,0.0002637916724650717,0.6532578124999999,0.011207112261165907
Full-BIRM (Official),source_label_noise,0.05,-0.031503906250000144,0.0014609322777313569,0.023176303444013602,0.0006594791811628009,0.6343554687499999,0.011608859763129144
Full-BIRM (Official),source_label_noise,0.1,-0.0630078125000001,0.002921864555462626,0.04635260688802734,0.0013189583623256377,0.6028515624999999,0.012387802129577435
IRMv1,source_color_common,0.02,0.001077232986963783,0.0009309668193603428,0.0001999386076605214,0.0005011021933088942,0.5995147329869639,0.0261581409785519
IRMv1,source_color_common,0.05,0.0026930824674096243,0.0023274170484009937,0.000499846519151359,0.001252755483272241,0.6011305824674097,0.024808608184272066
IRMv1,source_color_common,0.1,0.005386164934819337,0.0046548340968019415,0.0009996930383028512,0.002505510966544795,0.6038236649348194,0.02257207418928227
IRMv1,source_color_contrast,0.02,-1.3322676295501878e-16,9.288792252416251e-17,-8.881784197001253e-17,1.2161883888976234e-16,0.5984375,0.02706047462830943
IRMv1,source_color_contrast,0.05,0.0,1.3597399555105182e-16,-6.661338147750939e-17,1.2658490090568387e-16,0.5984375000000001,0.02706047462830942
IRMv1,source_color_contrast,0.1,-8.881784197001253e-17,1.2161883888976234e-16,-1.1102230246251565e-16,7.850462293418876e-17,0.5984375,0.027060474628309378
IRMv1,source_label_noise,0.02,-0.010007812500000135,0.0005835890436557389,0.006250276764797969,0.0006849867858550353,0.5884296874999999,0.026687813321492074
IRMv1,source_label_noise,0.05,-0.025019531250000115,0.0014589726091392334,0.01562569191199501,0.001712466964637573,0.57341796875,0.026143291294087316
IRMv1,source_label_noise,0.1,-0.05003906250000003,0.0029179452182785505,0.031251383823990106,0.003424933929275172,0.5483984375000001,0.02527708991189575
LoRA-BIRM (Official),source_color_common,0.02,0.000298310673313007,0.0012314604138894388,0.0018057007582322094,0.0005997765887469934,0.6372514356733131,0.02861866418948604
LoRA-BIRM (Official),source_color_common,0.05,0.000745776683282684,0.003078651034723476,0.004514251895580657,0.0014994414718676127,0.6376989016832827,0.027225674594912434
LoRA-BIRM (Official),source_color_common,0.1,0.0014915533665653458,0.006157302069446852,0.00902850379116138,0.00299888294373524,0.6384446783665654,0.025035002162045898
LoRA-BIRM (Official),source_color_contrast,0.02,-1.1102230246251565e-16,1.1102230246251565e-16,-6.661338147750939e-17,6.080941944488117e-17,0.636953125,0.029574982086717962
LoRA-BIRM (Official),source_color_contrast,0.05,-2.2204460492503132e-17,9.288792252416251e-17,0.0,7.850462293418876e-17,0.636953125,0.02957498208671795
LoRA-BIRM (Official),source_color_contrast,0.1,0.0,0.0,-8.881784197001253e-17,1.2161883888976234e-16,0.636953125,0.029574982086717983
