method,seed,semantic_direction,direction_index,logical_checkpoint,horizon,finite_alpha,response_schedule,outcome_schedule,outcome_norm,outcome_source_norm,outcome_counterfactual_norm,outcome_clean_norm,target_A_norm,target_O_norm,target_R_norm,state_gate_pass
ERM,11,source_env1_color,1,300,20,0.1,probe_A,independent_B,12.28330135345459,7.352064609527588,9.670702934265137,1.817742109298706,1.40928432255426,1.0899343132767678,127.71053314208984,True
ERM,11,source_label_noise,2,300,20,0.1,probe_A,independent_B,12.895092964172363,7.069063186645508,9.154019355773926,5.7022528648376465,1.350115328715976,0.1819846229054667,146.2706756591797,True
CORAL,11,source_env0_color,0,300,20,0.1,probe_A,independent_B,12.601640701293945,7.520680904388428,9.986160278320312,1.5866296291351318,1.4066611790046293,1.0549662303721594,126.61133575439453,True
CORAL,11,source_env1_color,1,300,20,0.1,probe_A,independent_B,12.27670669555664,7.391569137573242,9.665815353393555,1.6291776895523071,1.4117170442596014,1.0704417355046654,125.64542388916016,True
CORAL,11,source_label_noise,2,300,20,0.1,probe_A,independent_B,13.05123233795166,7.075226306915283,9.186793327331543,5.989878177642822,1.3541637378453697,0.18193669216002983,148.3746795654297,True
IRMv1,11,source_env0_color,0,300,20,0.1,probe_A,independent_B,1.279137372970581,0.8374435305595398,0.9433505535125732,0.21206289529800415,0.9488843712357381,0.7195766318096094,5.776754379272461,True
IRMv1,11,source_env1_color,1,300,20,0.1,probe_A,independent_B,0.48215553164482117,0.235663041472435,0.39558103680610657,0.14301234483718872,0.9583805561941295,0.7327204078257019,12.10373306274414,True
IRMv1,11,source_label_noise,2,300,20,0.1,probe_A,independent_B,3.6470048427581787,2.3223958015441895,2.800549268722534,0.2530767023563385,1.657543235930989,0.5883844898678642,84.74567413330078,True
VREX,11,source_env0_color,0,300,20,0.1,probe_A,independent_B,1.5075552463531494,0.9122748970985413,1.189619779586792,0.15900525450706482,0.9703225942698339,0.5234869450228484,25.814977645874023,True
VREX,11,source_env1_color,1,300,20,0.1,probe_A,independent_B,2.5470523834228516,1.5829763412475586,1.9609609842300415,0.3691801130771637,0.9725768467488626,0.5272888951587811,25.402284622192383,True
VREX,11,source_label_noise,2,300,20,0.1,probe_A,independent_B,0.12494964152574539,0.07310207933187485,0.09811265021562576,0.025345804169774055,1.3827945941395354,0.23758791221058842,3.294384002685547,True
FISHR,11,source_env0_color,0,300,20,0.1,probe_A,independent_B,1.2336955070495605,0.7372677326202393,0.9823150634765625,0.11618246138095856,0.9561179870096669,0.14960048366987866,21.179414749145508,True
FISHR,11,source_env1_color,1,300,20,0.1,probe_A,independent_B,1.3269999027252197,0.8187693953514099,1.0391772985458374,0.10323001444339752,0.9615737893918219,0.14679661697166851,19.334054946899414,True
FISHR,11,source_label_noise,2,300,20,0.1,probe_A,independent_B,0.06381329894065857,0.0337788388133049,0.0495431013405323,0.0218313280493021,1.3079179591423795,0.12441856412341057,0.8955518007278442,True
ERM,12,source_env0_color,0,300,20,0.1,probe_A,independent_B,14.132284164428711,8.358203887939453,11.363304138183594,0.8586355447769165,1.372978300162221,1.076798948028535,144.20993041992188,True
ERM,12,source_env1_color,1,300,20,0.1,probe_A,independent_B,14.053070068359375,8.345133781433105,11.270772933959961,0.9040003418922424,1.384800477081788,1.0754472125507668,144.57952880859375,True
ERM,12,source_label_noise,2,300,20,0.1,probe_A,independent_B,13.669610023498535,7.0906291007995605,9.880841255187988,6.24101448059082,1.3758371755064052,0.20023057522181315,154.27406311035156,True
