method,seed,semantic_direction,A_norm,O_norm,R_norm,G_diag,G_cross_01,G_cross_03,G_cross_13,R_source_norm,R_counterfactual_norm,R_clean_norm
FISHR,11,source_env0_color,0.9558885928424007,0.1489415797399754,25.10849952697754,630.4368896484375,-571.97900390625,13.674834251403809,-12.713045120239258,15.039680480957031,19.991079330444336,2.1451475620269775
FISHR,11,source_env1_color,0.9613828028514344,0.14614088801336422,22.797008514404297,519.7037963867188,-571.97900390625,13.674834251403809,-12.713045120239258,13.83443546295166,18.017507553100586,1.9187514781951904
FISHR,11,source_label_noise,1.3068029893759652,0.12385202015570565,1.007637858390808,1.0153337717056274,-571.97900390625,13.674834251403809,-12.713045120239258,0.6215028762817383,0.7373559474945068,0.2921890318393707
ERM,12,source_env0_color,1.3768114670872893,1.0786779127716244,179.82093811035156,32335.568359375,32255.6875,1752.31201171875,2156.968994140625,104.94661712646484,144.87367248535156,18.25908088684082
ERM,12,source_env1_color,1.388980127332765,1.0775283836426501,179.71922302246094,32299.001953125,32255.6875,1752.31201171875,2156.968994140625,105.615478515625,144.18064880371094,18.876300811767578
ERM,12,source_label_noise,1.3758421606257483,0.19796441649481952,166.0760498046875,27581.255859375,32255.6875,1752.31201171875,2156.968994140625,79.3870849609375,127.57211303710938,70.74108123779297
CORAL,12,source_env0_color,1.372990009522562,1.0504108374447931,173.85989379882812,30227.26171875,30136.078125,2394.535888671875,2801.287109375,101.37921142578125,140.5777587890625,13.68979549407959
CORAL,12,source_env1_color,1.386761090685254,1.0488086110738737,173.6619110107422,30158.455078125,30136.078125,2394.535888671875,2801.287109375,101.98014068603516,139.70095825195312,15.56109619140625
CORAL,12,source_label_noise,1.377467633672488,0.19578784767701848,168.08680725097656,28253.173828125,30136.078125,2394.535888671875,2801.287109375,81.98786926269531,128.0378875732422,71.67610931396484
IRMv1,12,source_env0_color,0.9731077920800227,0.8636077177121232,5.010768413543701,25.107797622680664,24.2860050201416,-232.41477966308594,-199.65589904785156,3.1258769035339355,3.804877281188965,0.9271457195281982
IRMv1,12,source_env1_color,0.9556936224240733,0.8509944881251817,4.9441070556640625,24.444194793701172,24.2860050201416,-232.41477966308594,-199.65589904785156,3.0715560913085938,3.658223867416382,1.2755930423736572
IRMv1,12,source_label_noise,1.6323738904689542,0.5526637312011907,55.85251235961914,3119.504150390625,24.2860050201416,-232.41477966308594,-199.65589904785156,34.32080841064453,43.699012756347656,5.655282497406006
VREX,12,source_env0_color,0.9900141007541483,0.6739719416373842,5.938623905181885,35.267250061035156,-36.927825927734375,-5.970951080322266,6.184617042541504,3.619643449783325,4.6356377601623535,0.8223709464073181
VREX,12,source_env1_color,0.9806694968293653,0.6755241433915454,6.233394622802734,38.85520553588867,-36.927825927734375,-5.970951080322266,6.184617042541504,3.8091881275177,4.868053436279297,0.8045804500579834
VREX,12,source_label_noise,1.3569024919544752,0.19337220864488572,1.0743266344070435,1.1541776657104492,-36.927825927734375,-5.970951080322266,6.184617042541504,0.6226053237915039,0.830384373664856,0.27749261260032654
FISHR,12,source_env0_color,0.9720644157637606,0.17269978905452144,9.41039752960205,88.55557250976562,-68.26181030273438,2.8225741386413574,-2.3081159591674805,5.475171089172363,7.47846794128418,1.6280664205551147
FISHR,12,source_env1_color,0.9632484320168099,0.1704736889415283,7.260932922363281,52.72114562988281,-68.26181030273438,2.8225741386413574,-2.3081159591674805,4.245698928833008,5.7667412757873535,1.1999472379684448
FISHR,12,source_label_noise,1.329080155342554,0.1155666414559767,0.986454963684082,0.9730937480926514,-68.26181030273438,2.8225741386413574,-2.3081159591674805,0.6058980822563171,0.7096326947212219,0.320004403591156
ERM,13,source_env0_color,1.4043458868509144,1.1197295411259423,180.00038146972656,32400.13671875,33048.80859375,2340.30126953125,2551.678955078125,105.83635711669922,145.36129760742188,8.299971580505371
ERM,13,source_env1_color,1.3971227840106488,1.122199383883076,183.9307861328125,33830.5625,33048.80859375,2340.30126953125,2551.678955078125,107.7486343383789,148.70448303222656,10.380959510803223
ERM,13,source_label_noise,1.3593893827230799,0.199603429192495,166.40286254882812,27689.919921875,33048.80859375,2340.30126953125,2551.678955078125,81.01508331298828,123.1296615600586,77.23704528808594
CORAL,13,source_env0_color,1.4042617667915007,1.1004590397837546,179.9905548095703,32396.599609375,32938.55859375,2543.480224609375,2684.24169921875,106.15986633300781,144.9583740234375,10.665538787841797
CORAL,13,source_env1_color,1.3965058081832793,1.1033437925427991,183.30990600585938,33602.53125,32938.55859375,2543.480224609375,2684.24169921875,107.529541015625,147.90798950195312,12.773259162902832
CORAL,13,source_label_noise,1.3642700472597133,0.19986440231822183,163.77288818359375,26821.56640625,32938.55859375,2543.480224609375,2684.24169921875,79.72784423828125,120.44864654541016,77.1826400756836
IRMv1,13,source_env0_color,0.9614022739279033,0.9892964601363969,3.1724863052368164,10.06467056274414,-13.92757511138916,36.27467346191406,-116.41693115234375,1.9388601779937744,2.1699323654174805,1.2636789083480835
IRMv1,13,source_env1_color,0.9488091854135332,0.974585701373495,4.647767543792725,21.601743698120117,-13.92757511138916,36.27467346191406,-116.41693115234375,2.873849391937256,3.312870740890503,1.5387076139450073
IRMv1,13,source_label_noise,1.6081813979652588,0.5318544041911375,49.03816223144531,2404.742431640625,-13.92757511138916,36.27467346191406,-116.41693115234375,30.27153205871582,38.07307052612305,6.230396747589111
VREX,13,source_env0_color,0.9940594562652988,0.6167716432163566,6.757523536682129,45.66413497924805,-45.827117919921875,-1.083791971206665,1.1028889417648315,4.228163719177246,5.045873641967773,1.5250945091247559
VREX,13,source_env1_color,0.9837023993164637,0.6112890394735183,6.787674427032471,46.07254409790039,-45.827117919921875,-1.083791971206665,1.1028889417648315,4.257523059844971,5.063623905181885,1.518471598625183
VREX,13,source_label_noise,1.3766822551767266,0.1760314341475328,0.26033008098602295,0.06777171045541763,-45.827117919921875,-1.083791971206665,1.1028889417648315,0.1587596833705902,0.19662944972515106,0.062481433153152466
FISHR,13,source_env0_color,0.9602645122242212,0.1622145688615069,22.128761291503906,489.6822509765625,-450.3843994140625,27.2067928314209,-25.021747589111328,13.898998260498047,17.046987533569336,2.4290409088134766
FISHR,13,source_env1_color,0.9599022301757929,0.1616507599789795,20.355693817138672,414.3543701171875,-450.3843994140625,27.2067928314209,-25.021747589111328,12.773462295532227,15.689343452453613,2.244450092315674
FISHR,13,source_label_noise,1.3187546717806113,0.11341639092117309,1.4609531164169312,2.1343834400177,-450.3843994140625,27.2067928314209,-25.021747589111328,0.9984995126724243,1.0361298322677612,0.25262048840522766
ERM,14,source_env0_color,1.3754838577896988,1.058860293933628,139.14703369140625,19361.900390625,19673.689453125,4404.1962890625,4493.6083984375,79.7341079711914,111.78414154052734,22.55376434326172
ERM,14,source_env1_color,1.3861352555436277,1.0735472531669956,141.84249877929688,20119.296875,19673.689453125,4404.1962890625,4493.6083984375,81.60267639160156,112.81575775146484,27.072277069091797
ERM,14,source_label_noise,1.4126285046470253,0.1768467295194785,175.8548126220703,30924.91015625,19673.689453125,4404.1962890625,4493.6083984375,96.36397552490234,125.73409271240234,76.35335540771484
CORAL,14,source_env0_color,1.3797884533253566,1.030961065928867,137.59548950195312,18932.51953125,19240.712890625,3418.62451171875,3590.096435546875,78.44908905029297,110.77564239501953,22.51706886291504
CORAL,14,source_env1_color,1.389302176174502,1.0447751258158051,140.31747436523438,19688.98828125,19240.712890625,3418.62451171875,3590.096435546875,80.23876953125,111.79557037353516,27.431371688842773
