method,seed,semantic_direction,horizon,finite_alpha,logical_checkpoint,legacy_checkpoint_key,state_gate_pass,outcome_norm,outcome_source_norm,outcome_counterfactual_norm,outcome_clean_norm,A_norm,O_norm,R_norm,A_rank,O_rank,G_0_0,G_0_1,G_0_2,G_1_0,G_1_1,G_1_2,G_2_0,G_2_1,G_2_2
VREX,10,source_env1_color,20,0.1,300,299,True,1.957672119140625,1.2015933990478516,1.5281378030776978,0.2311861366033554,0.9866865202267718,0.5656817380723433,18.48346519470215,5,3,,,,-350.7560119628906,341.6383056640625,30.685958862304688,,,
VREX,10,source_label_noise,20,0.1,300,299,True,0.6020311713218689,0.337941437959671,0.42569661140441895,0.25888118147850037,1.379703345107411,0.21779770401276327,6.483767032623291,5,3,,,,,,,-18.061504364013672,30.685958862304688,42.03922653198242
FISHR,10,source_env0_color,20,0.1,300,299,True,1.756727933883667,1.1135085821151733,1.3354133367538452,0.25072917342185974,0.94099114501268,0.15890869720074646,29.536087036132812,5,3,872.3801879882812,-788.493896484375,35.70454406738281,,,,,,
FISHR,10,source_env1_color,20,0.1,300,299,True,1.1555018424987793,0.7346001267433167,0.8779850602149963,0.1571287363767624,0.9604938314076998,0.16094203631976553,26.711023330688477,5,3,,,,-788.493896484375,713.47900390625,-32.41437911987305,,,
FISHR,10,source_label_noise,20,0.1,300,299,True,0.1444341540336609,0.09397198259830475,0.10560224205255508,0.029642287641763687,1.2411870085699825,0.11841184010361214,1.3615553379058838,5,3,,,,,,,35.70454406738281,-32.41437911987305,1.853833794593811
ERM,11,source_env0_color,20,0.1,300,299,True,12.467336654663086,7.4110188484191895,9.888351440429688,1.6528208255767822,1.401996120346311,1.073583815566803,128.46681213378906,5,3,16503.716796875,16328.484375,3619.715087890625,,,,,,
ERM,11,source_env1_color,20,0.1,300,299,True,12.377236366271973,7.428277015686035,9.717812538146973,1.8923118114471436,1.40928432255426,1.0899343132767678,127.71053314208984,5,3,,,,16328.484375,16309.986328125,3570.752685546875,,,
ERM,11,source_label_noise,20,0.1,300,299,True,12.73261547088623,7.001739501953125,9.032422065734863,5.613424777984619,1.350115328715976,0.1819846229054667,146.2706756591797,5,3,,,,,,,3619.715087890625,3570.752685546875,21395.115234375
CORAL,11,source_env0_color,20,0.1,300,299,True,12.420831680297852,7.450128078460693,9.835503578186035,1.4267215728759766,1.4066611790046293,1.0549662303721594,126.61133575439453,5,3,16030.4287109375,15830.353515625,3708.439208984375,,,,,,
CORAL,11,source_env1_color,20,0.1,300,299,True,12.30819034576416,7.453841209411621,9.65876293182373,1.6248143911361694,1.4117170442596014,1.0704417355046654,125.64542388916016,5,3,,,,15830.353515625,15786.7734375,3723.47802734375,,,
CORAL,11,source_label_noise,20,0.1,300,299,True,12.92416000366211,7.038677215576172,9.09625244140625,5.894834041595459,1.3541637378453697,0.18193669216002983,148.3746795654297,5,3,,,,,,,3708.439208984375,3723.47802734375,22015.046875
