method,semantic_direction,K,A_norm,O_norm,source_bank_response_norm,exposure_to_task_ratio,response_to_task_ratio,response_to_exposure_ratio
FISHR,source_env0_color,1,0.9515202393334352,0.10229614855359506,0.20030059516429896,0.10758530433309237,0.21086054279203742,1.947463211348282
FISHR,source_env0_color,5,0.9515202393334352,0.10229614855359506,2.350025773048401,0.10758530433309237,2.4767996791440057,22.8115630408631
FISHR,source_env0_color,20,0.9515202393334352,0.10229614855359506,13.421013259887696,0.10758530433309237,14.15306850162678,130.6199313200007
FISHR,source_env1_color,1,0.9539800531067508,0.10167294865570978,0.1817858070135116,0.10658627497114284,0.19033620281078245,1.7765646653572784
FISHR,source_env1_color,5,0.9539800531067508,0.10167294865570978,2.0726921796798705,0.10658627497114284,2.171121049588142,20.216657191322355
FISHR,source_env1_color,20,0.9539800531067508,0.10167294865570978,12.065681076049804,0.10658627497114284,12.648901790917613,118.02153878782391
FISHR,source_label_noise,1,1.3154043404623093,0.0838576379595343,0.027715164050459817,0.06388775366783431,0.021773457272354628,0.3150269759672011
FISHR,source_label_noise,5,1.3154043404623093,0.0838576379595343,0.2339245572686195,0.06388775366783431,0.18186712947993985,2.7050414501381854
FISHR,source_label_noise,20,1.3154043404623093,0.0838576379595343,0.7056796789169312,0.06388775366783431,0.5375333200013406,8.412721749627844
IRMv1,source_color_common,1,1.3465098602683665,0.8525777030625529,0.598385238647461,0.6329551271695429,0.4435128083565473,0.7064416790428066
IRMv1,source_color_common,5,1.3465098602683665,0.8525777030625529,3.5968177556991576,0.6329551271695429,2.6658567514910128,4.194616691225651
IRMv1,source_color_common,20,1.3465098602683665,0.8525777030625529,5.61464501619339,0.6329551271695429,4.165744676557795,6.876523541414571
IRMv1,source_color_contrast,1,0.16379719535412746,0.8525777030625529,0.18149152919650074,5.412420000390388,1.156766186388717,0.20847207195600195
IRMv1,source_color_contrast,5,0.16379719535412746,0.8525777030625529,0.9401838779449463,5.412420000390388,6.405095137590697,1.016655928479564
IRMv1,source_color_contrast,20,0.16379719535412746,0.8525777030625529,3.673097199201584,5.412420000390388,23.520235962451245,4.252949673390926
IRMv1,source_env0_color,1,0.9613332157044286,0.8522785723831504,0.29816759675741195,0.8860067818741388,0.3091280539036899,0.35622875671807847
IRMv1,source_env0_color,5,0.9613332157044286,0.8522785723831504,2.247843623161316,0.8860067818741388,2.3329600794607304,2.6874118100870357
IRMv1,source_env0_color,20,0.9613332157044286,0.8522785723831504,5.733988237380982,0.8860067818741388,5.9582411687323305,6.894264002021234
IRMv1,source_env1_color,1,0.9573307570016645,0.8528438644668526,0.5498619019985199,0.8911962367486662,0.5745976808528539,0.6448939055061642
IRMv1,source_env1_color,5,0.9573307570016645,0.8528438644668526,2.84984405040741,0.8911962367486662,2.9800637124706455,3.2624683947448787
IRMv1,source_env1_color,20,0.9573307570016645,0.8528438644668526,4.200036954879761,0.8911962367486662,4.38174818377137,5.049094588770048
IRMv1,source_label_noise,1,1.5624568177976494,0.4748575765271553,5.968530464172363,0.3036649917594468,3.804655230284008,12.493283493861984
IRMv1,source_label_noise,5,1.5624568177976494,0.4748575765271553,43.16622619628906,0.3036649917594468,27.578033818924702,90.61795248820117
IRMv1,source_label_noise,20,1.5624568177976494,0.4748575765271553,35.14874610900879,0.3036649917594468,22.480784380847165,73.8285741169141
VREX,source_color_common,1,1.3925708028740849,0.581532632898066,0.01177215259522196,0.4173956177736676,0.00845364546547896,0.020532966348165597
VREX,source_color_common,5,1.3925708028740849,0.581532632898066,0.10979708656668659,0.4173956177736676,0.07903757072536861,0.1939565178298969
VREX,source_color_common,20,1.3925708028740849,0.581532632898066,0.36653855144977565,0.4173956177736676,0.26295934911329627,0.6398822268367967
VREX,source_color_contrast,1,0.16985614284074524,0.581532632898066,0.6361571475863457,3.491305735000298,3.7811890330344013,1.1318421768153624
VREX,source_color_contrast,5,0.16985614284074524,0.581532632898066,6.2792994499206545,3.491305735000298,36.87605077658348,11.218403502790878
VREX,source_color_contrast,20,0.16985614284074524,0.581532632898066,6.585410690307617,3.491305735000298,39.35324658203419,11.553592119704925
VREX,source_env0_color,1,0.9939277721288532,0.5809218248834951,0.44799637198448183,0.5841718830978947,0.45177108948005695,0.7985326433506491
VREX,source_env0_color,5,0.9939277721288532,0.5809218248834951,4.463965654373169,0.5841718830978947,4.5020989731097885,7.992284781907332
VREX,source_env0_color,20,0.9939277721288532,0.5809218248834951,4.566479969024658,0.5841718830978947,4.601180768046862,8.027806584668223
VREX,source_env1_color,1,0.9902385418665833,0.5821348559276119,0.45169708132743835,0.587718398022955,0.45577239871707353,0.8022745452065632
VREX,source_env1_color,5,0.9902385418665833,0.5821348559276119,4.416453647613525,0.587718398022955,4.461580755976655,7.87326952007393
VREX,source_env1_color,20,0.9902385418665833,0.5821348559276119,4.762117004394531,0.587718398022955,4.807802891021411,8.336700154219571
VREX,source_label_noise,1,1.3539366805613686,0.1833558435891081,0.06402407418936487,0.13544851648391246,0.04694490602312173,0.33182813500380287
VREX,source_label_noise,5,1.3539366805613686,0.1833558435891081,0.34492437541484827,0.13544851648391246,0.2536149382470853,1.837742422752998
VREX,source_label_noise,20,1.3539366805613686,0.1833558435891081,2.07545046210289,0.13544851648391246,1.5221951096638555,10.668077000098124
